Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Tzitzon Nicholas,Chief Strat & Corp Affairs Ofc,2022-07-29,Sale,438.75,"2,822","1,238,152",0,Aug 01 04:14 PM
Jackson Lawrence,Director,2022-07-29,Sale,446.40,707,"315,606",660,Aug 01 04:08 PM
Canney Jacqueline P,Chief People Officer,2022-07-15,Option Exercise,0.0,"2,895",0,"3,153",Jul 19 04:15 PM
Mastantuono Gina,Chief Financial Officer,2022-07-08,Option Exercise,0.0,"1,528",0,"6,698",Jul 11 06:55 PM
LUDDY FREDERIC B,Director,2022-07-07,Sale,497.01,"6,600","3,280,262","33,600",Jul 11 06:58 PM
LUDDY FREDERIC B,Director,2022-06-09,Sale,499.45,"6,600","3,296,383","34,200",Jun 13 06:33 PM
LUDDY FREDERIC B,Director,2022-06-08,Sale,501.92,707,"354,857",0,Jun 09 06:12 PM
Caimi Lara,Chief Customer & Partner Ofc,2022-05-31,Sale,474.48,726,"344,472",99,Jun 01 05:45 PM
Desai Chirantan Jitendra,Chief Operating Officer,2022-05-27,Sale,477.52,"7,000","3,342,653","38,980",Jun 01 05:39 PM
Smith Paul John,Chief Commercial Officer,2022-05-18,Sale,427.17,412,"175,996","1,755",May 19 06:32 PM
McDermott William R,President & CEO,2022-05-17,Option Exercise,0.0,"5,068",0,"44,409",May 19 06:10 PM
Bedi Christopher,Chief Information Officer,2022-05-17,Option Exercise,0.0,"1,425",0,"14,429",May 19 06:14 PM
Desai Chirantan Jitendra,Chief Operating Officer,2022-05-17,Option Exercise,0.0,"3,008",0,"47,109",May 19 06:16 PM
Tzitzon Nicholas,Chief Strat & Corp Affairs Ofc,2022-05-17,Option Exercise,0.0,511,0,"2,992",May 19 06:19 PM
Caimi Lara,Chief Customer & Partner Ofc,2022-05-17,Option Exercise,0.0,"1,108",0,"1,274",May 19 06:22 PM
Mastantuono Gina,Chief Financial Officer,2022-05-17,Option Exercise,0.0,"1,900",0,"5,884",May 19 06:26 PM
ELMER RUSSELL S,General Counsel,2022-05-17,Option Exercise,0.0,"1,505",0,"14,670",May 19 06:29 PM
Smith Paul John,Chief Commercial Officer,2022-05-17,Option Exercise,0.0,721,0,"2,167",May 19 06:32 PM
McDermott William R,President & CEO,2022-05-13,Option Exercise,0.0,"3,196",0,"41,538",May 16 05:14 PM
Smith Paul John,Chief Commercial Officer,2022-05-13,Sale,446.04,125,"55,754","1,446",May 16 05:20 PM
Canney Jacqueline P,Chief People Officer,2022-05-12,Option Exercise,0.0,136,0,325,May 16 04:46 PM
Bedi Christopher,Chief Information Officer,2022-05-12,Option Exercise,0.0,293,0,"13,244",May 16 05:05 PM
McDermott William R,President & CEO,2022-05-12,Option Exercise,0.0,600,0,"38,640",May 16 05:14 PM
ELMER RUSSELL S,General Counsel,2022-05-12,Option Exercise,0.0,356,0,"13,415",May 16 04:49 PM
Mastantuono Gina,Chief Financial Officer,2022-05-12,Option Exercise,0.0,227,0,"4,326",May 16 04:53 PM
Tzitzon Nicholas,Chief Strat & Corp Affairs Ofc,2022-05-12,Option Exercise,0.0,113,0,"2,590",May 16 05:07 PM
Desai Chirantan Jitendra,Chief Operating Officer,2022-05-12,Option Exercise,0.0,843,0,"44,634",May 16 05:10 PM
Smith Paul John,Chief Commercial Officer,2022-05-12,Option Exercise,0.0,227,0,"1,571",May 16 05:20 PM
Smith Paul John,Chief Commercial Officer,2022-05-09,Sale,444.36,39,"17,330","1,344",May 10 08:26 PM
Canney Jacqueline P,Chief People Officer,2022-05-09,Sale,431.51,580,"250,276",189,May 10 08:27 PM
McDermott William R,President & CEO,2022-05-06,Option Exercise,0.0,468,0,"38,273",May 10 08:11 PM
Desai Chirantan Jitendra,Chief Operating Officer,2022-05-06,Option Exercise,0.0,292,0,"44,185",May 10 08:13 PM
Mastantuono Gina,Chief Financial Officer,2022-05-06,Option Exercise,0.0,175,0,"4,186",May 10 08:15 PM
ELMER RUSSELL S,General Counsel,2022-05-06,Option Exercise,0.0,"1,014",0,"13,617",May 10 08:18 PM
Bedi Christopher,Chief Information Officer,2022-05-06,Option Exercise,0.0,105,0,"13,082",May 10 08:21 PM
Caimi Lara,Chief Customer & Partner Ofc,2022-05-06,Option Exercise,0.0,118,0,193,May 10 08:22 PM
Tzitzon Nicholas,Chief Strat & Corp Affairs Ofc,2022-05-06,Option Exercise,0.0,70,0,"2,509",May 10 08:24 PM
Smith Paul John,Chief Commercial Officer,2022-05-06,Option Exercise,0.0,63,0,"1,383",May 10 08:26 PM
LUDDY FREDERIC B,Director,2022-05-04,Sale,478.75,"6,371","3,050,098","35,029",May 06 04:09 PM
LUDDY FREDERIC B,Director,2022-05-04,Sale,493.73,229,"113,065","34,800",May 06 04:12 PM
Bedi Christopher,Chief Information Officer,2022-04-29,Option Exercise,74.97,300,"22,491","13,277",May 02 05:42 PM
Briggs Teresa,Director,2022-04-29,Sale,490.26,932,"456,922",707,May 02 05:38 PM
Bedi Christopher,Chief Information Officer,2022-04-29,Sale,489.18,495,"242,144","12,977",May 02 05:42 PM
Mastantuono Gina,Chief Financial Officer,2022-04-12,Sale,525.0,193,"101,325","4,011",Apr 14 06:32 PM
Mastantuono Gina,Chief Financial Officer,2022-04-08,Option Exercise,0.0,"1,529",0,"4,963",Apr 12 05:20 PM
LUDDY FREDERIC B,Director,2022-04-05,Sale,556.81,"6,600","3,674,925","35,400",Apr 06 07:36 PM
Bedi Christopher,Chief Information Officer,2022-03-25,Option Exercise,74.97,300,"22,491","13,872",Mar 29 04:25 PM
Bedi Christopher,Chief Information Officer,2022-03-25,Sale,581.04,700,"406,728","13,172",Mar 29 04:25 PM
LUDDY FREDERIC B,Director,2022-03-02,Sale,579.94,"6,267","3,634,497","36,333",Mar 04 06:06 PM
LUDDY FREDERIC B,Director,2022-03-02,Sale,587.5,333,"195,639","36,000",Mar 04 06:12 PM
Desai Chirantan Jitendra,Chief Operating Officer,2022-02-28,Sale,575.44,"5,000","2,877,205","43,893",Mar 01 06:30 PM
Caimi Lara,Chief Customer & Partner Ofc,2022-02-24,Sale,575.0,"3,058","1,758,350",99,Feb 25 06:52 PM
Canney Jacqueline P,Chief People Officer,2022-02-23,Sale,525.47,769,"404,090",769,Feb 25 06:49 PM
Mastantuono Gina,Chief Financial Officer,2022-02-18,Sale,565.96,719,"406,925","3,434",Feb 22 06:21 PM
Bedi Christopher,Chief Information Officer,2022-02-18,Sale,565.96,239,"135,264","13,972",Feb 22 06:18 PM
Smith Paul John,Chief Commercial Officer,2022-02-18,Sale,562.4,396,"222,710","1,320",Feb 22 06:10 PM
Mastantuono Gina,Chief Financial Officer,2022-02-17,Option Exercise,0.0,"1,901",0,"4,867",Feb 22 06:21 PM
Bedi Christopher,Chief Information Officer,2022-02-17,Option Exercise,0.0,"1,425",0,"14,747",Feb 22 06:18 PM
Smith Paul John,Chief Commercial Officer,2022-02-17,Option Exercise,0.0,721,0,"1,716",Feb 22 06:10 PM
Tzitzon Nicholas,Chief Strat & Corp Affairs Ofc,2022-02-17,Option Exercise,0.0,511,0,"2,609",Feb 22 06:06 PM
ELMER RUSSELL S,General Counsel,2022-02-17,Option Exercise,0.0,"1,506",0,"13,225",Feb 22 06:02 PM
Caimi Lara,Chief Customer & Partner Ofc,2022-02-17,Option Exercise,0.0,"1,110",0,"3,607",Feb 22 05:59 PM
