Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Kurian George,Chief Executive Officer,2022-07-26,Sale,70.00,"2,125","148,750","161,450",Jul 27 06:15 PM
Kurian George,Chief Executive Officer,2022-07-25,Sale,69.38,"2,125","147,432","163,575",Jul 27 06:15 PM
Kurian George,Chief Executive Officer,2022-07-20,Sale,70.0,"2,125","148,750","165,700",Jul 21 05:52 PM
Kurian George,Chief Executive Officer,2022-06-21,Sale,65.04,"2,125","138,210","167,825",Jun 23 05:00 PM
CERNUDA CESAR,President,2022-06-15,Sale,64.68,"18,000","1,164,235","61,075",Jun 17 02:00 PM
BERRY MICHAEL J,"EVP Finance & Operations, CFO",2022-06-03,Buy,72.04,"5,000","360,216","95,875",Jun 06 05:00 PM
O'Callahan Elizabeth M,"EVP, Chief Legal Officer",2022-06-01,Option Exercise,0.0,"3,125",0,"8,486",Jun 03 05:00 PM
Kurian George,Chief Executive Officer,2022-06-01,Option Exercise,0.0,"31,625",0,"185,629",Jun 03 05:00 PM
BERRY MICHAEL J,"EVP Finance & Operations, CFO",2022-06-01,Option Exercise,0.0,"7,625",0,"93,875",Jun 03 05:00 PM
Kurian George,Chief Executive Officer,2022-05-25,Sale,70.0,"2,125","148,750","154,004",May 27 04:53 PM
Kurian George,Chief Executive Officer,2022-05-23,Sale,66.95,"2,125","142,269","156,129",May 24 05:00 PM
O'Callahan Elizabeth M,"EVP, Chief Legal Officer",2022-05-15,Option Exercise,0.0,"7,175",0,"7,506",May 16 05:07 PM
CERNUDA CESAR,President,2022-05-15,Option Exercise,0.0,"8,925",0,"62,432",May 16 04:57 PM
Parks Robert,Chief Accounting Officer,2022-05-15,Option Exercise,0.0,"1,500",0,"4,003",May 16 05:04 PM
Kurian George,CEO,2022-04-18,Sale,75.5,"4,250","320,875","130,576",Apr 19 04:45 PM
BERRY MICHAEL J,"EVP Finance & Operations, CFO",2022-04-15,Option Exercise,0.0,"29,220",0,"91,855",Apr 19 04:45 PM
Kurian George,CEO,2022-03-21,Sale,89.86,"4,250","381,905","134,826",Mar 23 04:12 PM
CERNUDA CESAR,President,2022-03-15,Sale,80.79,"14,000","1,131,112","53,507",Mar 17 06:46 PM
Kurian George,CEO,2022-02-22,Sale,90.39,"4,250","384,162","139,076",Feb 24 05:33 PM
Parks Robert,"VP, Chief Accounting Officer",2022-02-15,Option Exercise,0.0,"3,159",0,"3,484",Feb 17 04:57 PM
Anderson Brad,"EVP, Hybrid Cloud Group",2022-02-15,Option Exercise,0.0,"21,908",0,"81,299",Feb 17 04:56 PM
Kurian George,CEO,2022-01-24,Sale,83.72,"4,250","355,801","143,326",Jan 26 04:23 PM
Kurian George,CEO,2021-12-20,Sale,87.02,"4,250","369,834","147,576",Dec 22 04:41 PM
CERNUDA CESAR,President,2021-12-15,Sale,87.13,"14,000","1,219,784","67,507",Dec 17 04:45 PM
FAWCETT MATTHEW K,"EVP, GC & Secretary",2021-12-07,Sale,91.0,"2,062","187,642","64,591",Dec 09 04:11 PM
NEVENS THOMAS MICHAEL,Director,2021-12-02,Sale,89.94,"7,500","674,571","16,584",Dec 06 05:29 PM
FAWCETT MATTHEW K,"EVP, GC & Secretary",2021-12-02,Sale,90.05,"3,437","309,511","66,653",Dec 06 05:28 PM
Kurian George,CEO,2021-11-29,Sale,89.52,"4,250","380,473","151,826",Dec 01 04:47 PM
Kurian George,CEO,2021-10-25,Sale,93.22,"4,250","396,185","156,076",Oct 27 05:36 PM
Kurian George,CEO,2021-09-27,Sale,93.48,"4,250","397,286","160,326",Sep 29 04:34 PM
Palin Carrie,Director,2021-09-21,Sale,88.73,"1,867","165,668",0,Sep 23 04:38 PM
Anderson Brad,"EVP, SSSBU and CIBU",2021-09-15,Option Exercise,0.0,"1,841",0,"66,522",Sep 17 04:21 PM
CERNUDA CESAR,President,2021-09-15,Sale,91.83,"14,000","1,285,568","81,507",Sep 17 04:21 PM
Schenkel Scott F.,Director,2021-09-09,Option Exercise,0.0,"5,634",0,"18,449",Sep 13 04:25 PM
SHAHEEN GEORGE T,Director,2021-09-09,Option Exercise,0.0,"5,634",0,"26,275",Sep 13 04:26 PM
Hill Kathryn,Director,2021-09-09,Option Exercise,0.0,"5,634",0,"39,903",Sep 13 04:24 PM
KERR DEBORAH,Director,2021-09-09,Option Exercise,0.0,"5,634",0,"12,993",Sep 13 04:25 PM
NEVENS THOMAS MICHAEL,Director,2021-09-09,Option Exercise,0.0,"7,324",0,"24,084",Sep 13 04:25 PM
Palin Carrie,Director,2021-09-09,Option Exercise,0.0,"1,867",0,"1,867",Sep 13 04:25 PM
Ahuja Deepak,Director,2021-09-09,Option Exercise,0.0,"5,634",0,"10,107",Sep 13 04:24 PM
HELD GERALD,Director,2021-09-09,Option Exercise,0.0,"5,634",0,"20,384",Sep 13 04:24 PM
Kurian George,CEO,2021-08-30,Sale,87.08,"4,250","370,090","164,576",Sep 01 05:10 PM
CERNUDA CESAR,President,2021-08-15,Option Exercise,0.0,"76,061",0,"98,273",Aug 17 04:18 PM
