Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Steele Robert Allan,Director,2022-05-04,Option Exercise,0.0,"5,167",0,"32,268",May 06 04:20 PM
SPRIESER JUDITH A,Director,2022-05-04,Option Exercise,0.0,"5,167",0,"5,167",May 06 04:19 PM
LOPEZ GERARDO I,Director,2022-05-04,Option Exercise,0.0,"5,167",0,"54,544",May 06 04:17 PM
ICAHN BRETT,Director,2022-05-04,Option Exercise,0.0,"5,167",0,"1,174,307",May 06 04:15 PM
Geller Michal J.,"President, eCommerce & Digital",2022-05-04,Option Exercise,0.0,"6,236",0,"6,236",May 06 04:13 PM
RYAN BERMAN BRIDGET,Director,2022-05-04,Option Exercise,0.0,"5,167",0,"33,118",May 06 04:11 PM
ICAHN CARL C,10% Owner,2022-02-21,Sale,25.86,"10,634,184","274,999,998","33,070,432",Feb 22 09:26 AM
Turner Bradford R,Chief Legal & Admin Off & C.S.,2022-02-18,Option Exercise,0.0,"111,166",0,"186,792",Feb 23 04:34 PM
Peterson Christopher H,"CFO & President, Bus. Op.",2022-02-18,Option Exercise,0.0,"272,573",0,"385,674",Feb 23 04:26 PM
Hurd Laurel,"Pres., Learning & Development",2022-02-18,Option Exercise,0.0,"40,919",0,"81,850",Feb 23 04:19 PM
Malkoski Kristine Kay,Business Unit CEO - Food,2021-08-19,Buy,24.37,400,"9,748","10,750",Aug 20 04:16 PM
Malkoski Kristine Kay,Business Unit CEO - Food,2021-08-18,Buy,24.77,200,"4,954","10,350",Aug 20 04:16 PM
Malkoski Kristine Kay,Business Unit CEO - Food,2021-08-18,Buy,24.83,200,"4,966",750,Aug 20 04:16 PM
Malkoski Kristine Kay,Business Unit CEO - Food,2021-08-04,Buy,24.97,150,"3,746",550,Aug 06 04:17 PM
Malkoski Kristine Kay,Business Unit CEO - Food,2021-08-02,Buy,24.94,500,"12,470","10,150",Aug 04 04:16 PM
