Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Raman Sundar G.,CEO-Fabric & Home Care,2022-07-07,Sale,145.12,"1,599","232,047","4,002",Jul 08 11:06 AM
Moeller Jon R,President and CEO,2022-04-27,Sale,159.3,81,"12,903","34,426",Apr 29 04:48 PM
Janzaruk Matthew W.,SVP - Chief Accounting Officer,2022-04-26,Sale,162.43,334,"54,252","1,220",Apr 27 08:33 AM
Taylor David S,Executive Chairman,2022-04-25,Option Exercise,88.06,"30,000","2,641,800","283,933",Apr 26 04:26 PM
Taylor David S,Executive Chairman,2022-04-25,Sale,162.83,"30,000","4,884,810","253,933",Apr 26 04:26 PM
Francisco Ma. Fatima,"CEO - Baby, Fem & Family Care",2022-04-21,Option Exercise,85.13,"16,000","1,362,080","23,020",Apr 21 04:23 PM
Taylor David S,Executive Chairman,2022-04-21,Option Exercise,88.06,"60,000","5,283,600","313,933",Apr 22 04:24 PM
Taylor David S,Executive Chairman,2022-04-21,Sale,164.52,"60,000","9,871,458","253,933",Apr 22 04:24 PM
Keith R. Alexandra,CEO - Beauty,2022-04-21,Sale,163.5,"1,335","218,272","7,571",Apr 22 04:22 PM
Keith R. Alexandra,CEO - Beauty,2022-04-21,Sale,163.5,"6,854","1,120,629","34,792",Apr 22 04:22 PM
Francisco Ma. Fatima,"CEO - Baby, Fem & Family Care",2022-04-21,Sale,164.1,"18,000","2,953,849","7,020",Apr 21 04:23 PM
Janzaruk Matthew W.,SVP - Chief Accounting Officer,2022-03-01,Sale,153.51,155,"23,794","1,554",Mar 03 10:07 AM
Majoras Deborah P,Chief Legal Officer & Secy,2022-03-01,Sale,153.51,"1,927","295,815","34,216",Mar 03 10:04 AM
Taylor David S,Executive Chairman,2022-03-01,Sale,153.51,"12,953","1,988,431","253,933",Mar 03 09:57 AM
TASTAD CAROLYN M,CEO - Health Care,2022-03-01,Sale,153.51,"3,730","572,597","28,156",Mar 03 09:54 AM
Schulten Andre,Chief Financial Officer,2022-03-01,Sale,153.51,"1,335","204,938","25,221",Mar 03 09:50 AM
Keith R. Alexandra,CEO - Beauty,2022-03-01,Sale,153.51,"1,054","161,801","8,906",Mar 03 09:47 AM
Keith R. Alexandra,CEO - Beauty,2022-03-01,Sale,153.51,"5,777","886,834","41,646",Mar 03 09:47 AM
Moeller Jon R,President and CEO,2022-03-01,Sale,153.51,315,"48,356","34,507",Mar 03 02:54 PM
Moeller Jon R,President and CEO,2022-03-01,Sale,153.51,"3,231","495,995","164,564",Mar 03 02:54 PM
Taylor David S,Executive Chairman,2022-02-02,Option Exercise,80.29,"30,095","2,416,328","296,438",Feb 03 05:54 PM
Taylor David S,Executive Chairman,2022-02-02,Sale,162.0,"30,095","4,875,390","266,343",Feb 03 05:54 PM
Taylor David S,Executive Chairman,2022-01-31,Option Exercise,80.29,"25,000","2,007,250","291,343",Feb 01 06:54 PM
Moeller Jon R,President and CEO,2022-01-31,Option Exercise,91.07,"59,156","5,387,337","226,728",Feb 01 06:51 PM
Moeller Jon R,President and CEO,2022-01-31,Option Exercise,85.13,"46,464","3,955,433","60,420",Feb 01 06:51 PM
Taylor David S,Executive Chairman,2022-01-31,Sale,160.01,"25,000","4,000,325","266,343",Feb 01 06:54 PM
Moeller Jon R,President and CEO,2022-01-31,Sale,160.01,"46,464","7,434,523","34,813",Feb 01 06:51 PM
Moeller Jon R,President and CEO,2022-01-31,Sale,160.01,"59,156","9,465,327","167,572",Feb 01 06:51 PM
Moeller Jon R,President and CEO,2022-01-28,Option Exercise,85.31,"281,271","23,994,113","317,965",Jan 28 05:44 PM
Moeller Jon R,President and CEO,2022-01-28,Sale,160.58,"281,271","45,165,710","167,572",Jan 28 05:44 PM
Taylor David S,Executive Chairman,2022-01-20,Option Exercise,80.29,"50,000","4,014,500","316,343",Jan 21 04:50 PM
Pritchard Marc S.,Chief Brand Officer,2022-01-20,Option Exercise,67.52,"51,837","3,500,034","193,035",Jan 21 04:52 PM
Jejurikar Shailesh,Chief Operating Officer,2022-01-20,Option Exercise,85.13,"49,337","4,200,059","49,611",Jan 21 04:53 PM
Pritchard Marc S.,Chief Brand Officer,2022-01-20,Sale,161.13,"51,837","8,352,496","141,198",Jan 21 04:52 PM
Taylor David S,Executive Chairman,2022-01-20,Sale,164.07,"50,000","8,203,700","266,343",Jan 21 04:50 PM
Jejurikar Shailesh,Chief Operating Officer,2022-01-20,Sale,161.13,"49,337","7,949,671",274,Jan 21 04:53 PM
Moeller Jon R,President and CEO,2022-01-05,Sale,163.4,874,"142,812","34,813",Jan 07 03:27 PM
Majoras Deborah P,Chief Legal Officer & Secy,2021-12-06,Option Exercise,148.83,70,"10,392","36,049",Dec 07 01:34 PM
Raman Sundar G.,CEO-Fabric & Home Care,2021-12-06,Option Exercise,148.83,15,"2,259","5,573",Dec 07 01:32 PM
Pritchard Marc S.,Chief Brand Officer,2021-12-06,Option Exercise,148.83,76,"11,296","141,274",Dec 07 01:30 PM
Grabowski Mary Theresa,Chief Human Resources Officer,2021-12-06,Option Exercise,148.83,41,"6,175","4,319",Dec 07 01:28 PM
Moeller Jon R,President and CEO,2021-12-06,Option Exercise,148.83,111,"16,567","167,683",Dec 07 01:25 PM
Keith R. Alexandra,CEO - Beauty,2021-12-06,Option Exercise,148.83,87,"12,953","47,250",Dec 07 01:23 PM
Francisco Ma. Fatima,"CEO - Baby, Fem & Family Care",2021-12-06,Option Exercise,148.83,49,"7,229","9,064",Dec 07 01:21 PM
Jejurikar Shailesh,Chief Operating Officer,2021-12-06,Option Exercise,148.83,34,"5,121",309,Dec 07 01:49 PM
TASTAD CAROLYN M,CEO - Health Care,2021-12-06,Option Exercise,148.83,63,"9,338","31,993",Dec 07 01:44 PM
Aguilar Moses Victor Javier,"Chf Rsch, Dev & Innov Officer",2021-12-06,Option Exercise,148.83,17,"2,560","7,943",Dec 07 01:45 PM
Taylor David S,Executive Chairman,2021-12-06,Option Exercise,148.83,178,"26,508","267,743",Dec 07 01:42 PM
Schulten Andre,Chief Financial Officer,2021-12-06,Option Exercise,148.83,39,"5,874","26,466",Dec 07 01:40 PM
Francisco Ma. Fatima,"CEO-Baby, Fem & Family Care",2021-11-22,Option Exercise,83.87,784,"65,754",784,Nov 24 01:25 PM
Francisco Ma. Fatima,"CEO-Baby, Fem & Family Care",2021-11-22,Option Exercise,83.87,"8,115","680,605","17,130",Nov 24 01:25 PM
Homan Michael G.,SVP - Chief Accounting Officer,2021-11-22,Option Exercise,85.13,"10,134","862,707","20,106",Nov 24 12:07 PM
Homan Michael G.,SVP - Chief Accounting Officer,2021-11-22,Sale,148.29,"10,134","1,502,742","9,972",Nov 24 12:07 PM
Francisco Ma. Fatima,"CEO-Baby, Fem & Family Care",2021-11-22,Sale,148.13,784,"116,137",0,Nov 24 01:25 PM
Francisco Ma. Fatima,"CEO-Baby, Fem & Family Care",2021-11-22,Sale,148.4,"8,115","1,204,266","9,015",Nov 24 01:25 PM
Coombe Gary A,CEO - Grooming,2021-11-16,Option Exercise,85.13,"15,000","1,276,950","28,867",Nov 18 04:12 PM
Taylor David S,Executive Chairman,2021-11-16,Option Exercise,80.29,"50,000","4,014,500","317,565",Nov 18 04:13 PM
Coombe Gary A,CEO - Grooming,2021-11-16,Sale,148.07,"15,000","2,221,052","13,867",Nov 18 04:12 PM
Taylor David S,Executive Chairman,2021-11-16,Sale,148.0,"50,000","7,400,000","267,565",Nov 18 04:13 PM
Homan Michael G.,SVP - Chief Accounting Officer,2021-11-10,Option Exercise,85.13,"10,000","851,300","19,914",Nov 12 04:14 PM
Taylor David S,Executive Chairman,2021-11-10,Option Exercise,80.29,"50,000","4,014,500","316,981",Nov 12 04:18 PM
Homan Michael G.,SVP - Chief Accounting Officer,2021-11-10,Sale,146.81,"10,000","1,468,111","9,914",Nov 12 04:14 PM
Taylor David S,Executive Chairman,2021-11-10,Sale,146.0,"50,000","7,300,110","266,981",Nov 12 04:18 PM
Francisco Ma. Fatima,"CEO - Baby, Fem & Family Care",2021-11-05,Sale,146.0,"3,400","496,400","9,008",Nov 08 09:40 AM
Francisco Ma. Fatima,"CEO - Baby, Fem & Family Care",2021-11-03,Sale,145.0,"3,400","493,000","12,408",Nov 04 09:33 AM
Francisco Ma. Fatima,"CEO - Baby, Fem & Family Care",2021-10-26,Sale,143.0,"1,200","171,600","15,808",Oct 26 04:36 PM
PELTZ NELSON,Director,2021-08-31,Sale,142.43,"207,000","29,482,186","5,264,066",Sep 02 05:50 PM
Schulten Andre,Chief Financial Officer,2021-08-23,Sale,144.5,"1,513","218,628","23,066",Aug 23 02:43 PM
Coombe Gary A,CEO - Grooming,2021-08-20,Option Exercise,85.13,"20,000","1,702,600","33,835",Aug 23 02:45 PM
Coombe Gary A,CEO - Grooming,2021-08-20,Sale,145.22,"20,000","2,904,366","13,835",Aug 23 02:45 PM
Homan Michael G.,SVP - Chief Accounting Officer,2021-08-19,Sale,144.39,"1,558","224,953","9,914",Aug 19 07:37 PM
TASTAD CAROLYN M,CEO - Health Care,2021-08-19,Sale,143.9,"15,456","2,224,118","28,497",Aug 19 07:38 PM
Francisco Ma. Fatima,CEO - Baby & Feminine Care,2021-08-19,Sale,145.0,"3,703","536,935","17,008",Aug 19 07:24 PM
Keith R. Alexandra,CEO - Beauty,2021-08-19,Sale,143.27,967,"138,542","5,936",Aug 19 07:36 PM
Keith R. Alexandra,CEO - Beauty,2021-08-19,Sale,143.27,"15,355","2,199,911","43,472",Aug 19 07:36 PM
Grabowski Mary Theresa,Chief Human Resources Officer,2021-08-19,Sale,144.24,"8,704","1,255,485","1,953",Aug 19 06:46 PM
Majoras Deborah P,Chief Legal Officer & Secy,2021-08-19,Sale,145.2,"14,299","2,076,180","30,669",Aug 19 07:40 PM
Taylor David S,"Chairman, President & CEO",2021-08-18,Sale,144.01,"40,106","5,775,625","251,308",Aug 19 05:03 PM
Francisco Ma. Fatima,CEO - Baby & Feminine Care,2021-08-17,Sale,144.37,"9,726","1,404,152","20,711",Aug 19 07:24 PM
TASTAD CAROLYN M,CEO - Health Care,2021-08-17,Sale,144.37,"12,696","1,832,934","43,953",Aug 19 07:38 PM
Homan Michael G.,SVP - Chief Accounting Officer,2021-08-17,Sale,144.37,667,"96,295","11,472",Aug 19 07:37 PM
Keith R. Alexandra,CEO - Beauty,2021-08-17,Sale,144.37,840,"121,272","6,903",Aug 19 07:36 PM
Keith R. Alexandra,CEO - Beauty,2021-08-17,Sale,144.37,"13,325","1,923,744","58,827",Aug 19 07:36 PM
Coombe Gary A,CEO - Grooming,2021-08-17,Sale,144.37,"12,006","1,733,318","13,835",Aug 19 07:32 PM
Grabowski Mary Theresa,Chief Human Resources Officer,2021-08-17,Sale,144.37,"7,150","1,032,253","10,657",Aug 19 06:46 PM
Schulten Andre,Chief Financial Officer,2021-08-17,Sale,144.37,"1,010","145,815","24,579",Aug 19 05:52 PM
Taylor David S,"Chairman, President & CEO",2021-08-17,Sale,144.37,"53,477","7,720,528","291,414",Aug 19 05:03 PM
Majoras Deborah P,Chief Legal Officer & Secy,2021-08-17,Sale,144.37,"11,746","1,695,782","44,968",Aug 19 07:40 PM
Moeller Jon R,Vice Chairman and COO,2021-08-17,Sale,144.37,"26,107","3,769,094","151,877",Aug 19 08:01 PM
Moeller Jon R,Vice Chairman and COO,2021-08-17,Sale,144.37,810,"116,941","6,642",Aug 19 08:01 PM
Jejurikar Shailesh,CEO - Fabric & Home Care,2021-08-17,Sale,144.37,"10,948","1,580,574","27,062",Aug 19 08:13 PM
FergusonMchugh MaryLynn,CEO - Family Care & P&G Ventur,2021-08-17,Sale,144.37,"12,934","1,867,295","136,602",Aug 19 08:24 PM
Pritchard Marc S.,Chief Brand Officer,2021-08-17,Sale,144.37,"13,126","1,895,014","141,064",Aug 19 08:34 PM
Aguilar Moses Victor Javier,"Chf Rsch, Dev & Innov Officer",2021-08-17,Sale,144.37,926,"133,688","7,913",Aug 19 08:47 PM
Coombe Gary A,CEO - Grooming,2021-08-16,Option Exercise,78.66,"13,360","1,050,898","13,360",Aug 16 04:56 PM
Coombe Gary A,CEO - Grooming,2021-08-16,Sale,144.5,"13,360","1,930,528",0,Aug 16 04:56 PM
Jejurikar Shailesh,CEO - Fabric & Home Care,2021-08-12,Sale,142.91,"5,800","828,849","10,322",Aug 13 02:07 PM
Jejurikar Shailesh,CEO - Fabric & Home Care,2021-08-11,Option Exercise,78.66,"38,196","3,004,497","38,466",Aug 13 02:07 PM
Jejurikar Shailesh,CEO - Fabric & Home Care,2021-08-11,Sale,142.75,"22,344","3,189,606","16,122",Aug 13 02:07 PM
PELTZ NELSON,Director,2021-08-10,Sale,142.15,"315,295","44,819,783","5,471,066",Aug 12 05:18 PM
FergusonMchugh MaryLynn,CEO - Family Care & P&G Ventur,2021-08-04,Option Exercise,78.66,"49,899","3,925,055","170,520",Aug 05 09:03 AM
