Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
NIBLOCK ROBERT A,Director,2022-05-06,Buy,167.07,"2,000","334,145","6,063",May 10 01:55 PM
Deborah Guild,Executive Vice President,2022-05-03,Sale,170.56,"1,257","214,398","23,360",May 05 01:48 PM
Lyons Michael P.,Executive Vice President,2022-03-14,Sale,182.59,"5,500","1,004,228","178,151",Mar 16 03:07 PM
HANNON MICHAEL J,Executive Vice President,2022-02-16,Sale,208.36,"3,000","625,083","44,991",Feb 17 04:20 PM
Pfinsgraff Martin,Director,2021-12-15,Sale,199.31,7,"1,395","1,550",Dec 17 03:55 PM
Lyons Michael P.,Executive Vice President,2021-12-14,Sale,198.6,"5,000","993,025","158,820",Dec 15 02:17 PM
Fallon Kieran John,Executive Vice President,2021-12-01,Sale,202.02,125,"25,252","7,178",Dec 02 03:02 PM
Fallon Kieran John,Executive Vice President,2021-11-16,Sale,204.99,125,"25,624","7,303",Nov 17 11:26 AM
Fallon Kieran John,Executive Vice President,2021-11-01,Sale,213.28,125,"26,660","7,428",Nov 03 02:21 PM
HANNON MICHAEL J,Executive Vice President,2021-10-25,Sale,216.2,"3,000","648,597","44,325",Oct 27 09:27 AM
Fallon Kieran John,Executive Vice President,2021-10-18,Sale,197.79,125,"24,724","7,553",Oct 19 11:19 AM
Fallon Kieran John,Executive Vice President,2021-10-01,Sale,194.53,125,"24,316","7,678",Oct 05 03:37 PM
Fallon Kieran John,Executive Vice President,2021-09-16,Sale,191.61,125,"23,951","7,803",Sep 17 03:42 PM
Fallon Kieran John,Executive Vice President,2021-09-01,Sale,191.75,125,"23,969","7,928",Sep 03 08:41 AM
Fallon Kieran John,Executive Vice President,2021-08-16,Sale,188.96,125,"23,620","8,053",Aug 17 04:56 PM
Fallon Kieran John,Executive Vice President,2021-08-02,Sale,183.53,125,"22,941","8,178",Aug 04 04:42 PM
HANNON MICHAEL J,Executive Vice President,2021-07-21,Sale,184.16,"4,200","773,464","47,625",Jul 23 02:53 PM
Fallon Kieran John,Executive Vice President,2021-07-16,Sale,190.13,125,"23,766","8,303",Jul 19 02:18 PM
Fallon Kieran John,Executive Vice President,2021-07-01,Sale,191.47,125,"23,934","8,418",Jul 06 03:49 PM
