Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Arvan Peter D,President/CEO,2022-05-18,Buy,387.08,500,"193,542","61,825",May 19 04:52 PM
GERVASI MARTHA S,Director,2022-05-06,Buy,391.86,300,"117,557",808,May 09 04:41 PM
PEREZ DE LA MESA MANUEL J,Vice Chairman,2021-11-22,Option Exercise,45.61,743,"33,888","61,377",Nov 23 05:08 PM
PEREZ DE LA MESA MANUEL J,Vice Chairman,2021-11-22,Sale,577.43,743,"429,032","60,634",Nov 23 05:08 PM
PEREZ DE LA MESA MANUEL J,Vice Chairman,2021-11-19,Option Exercise,45.61,"21,278","970,490","81,412",Nov 23 05:08 PM
PEREZ DE LA MESA MANUEL J,Vice Chairman,2021-11-19,Sale,578.32,"21,278","12,305,399","60,634",Nov 23 05:08 PM
PEREZ DE LA MESA MANUEL J,Vice Chairman,2021-11-18,Option Exercise,45.61,"20,000","912,200","79,334",Nov 19 06:28 PM
PEREZ DE LA MESA MANUEL J,Vice Chairman,2021-11-18,Sale,577.22,"20,000","11,544,483","60,634",Nov 19 06:28 PM
PEREZ DE LA MESA MANUEL J,Vice Chairman,2021-11-17,Option Exercise,45.61,"9,067","413,546","69,701",Nov 19 06:28 PM
PEREZ DE LA MESA MANUEL J,Vice Chairman,2021-11-17,Sale,575.09,"9,067","5,214,321","60,634",Nov 19 06:28 PM
PEREZ DE LA MESA MANUEL J,Vice Chairman,2021-11-16,Option Exercise,45.61,"15,980","728,848","72,025",Nov 17 07:17 PM
PEREZ DE LA MESA MANUEL J,Vice Chairman,2021-11-16,Sale,576.47,"15,980","9,212,003","60,634",Nov 17 07:17 PM
PEREZ DE LA MESA MANUEL J,Vice Chairman,2021-11-15,Option Exercise,45.61,"20,000","912,200","79,934",Nov 17 07:17 PM
PEREZ DE LA MESA MANUEL J,Vice Chairman,2021-11-15,Sale,572.26,"20,000","11,445,148","60,634",Nov 17 07:17 PM
HOUSEY HART MELANIE,VP/CHIEF FINANCIAL OFFICER/,2021-08-10,Sale,487.13,"1,674","815,456","9,863",Aug 12 04:42 PM
PEREZ DE LA MESA MANUEL J,Vice Chairman,2021-08-04,Option Exercise,37.13,"8,724","323,922","69,358",Aug 16 05:08 PM
PEREZ DE LA MESA MANUEL J,Vice Chairman,2021-08-04,Sale,484.49,"8,724","4,226,710","60,634",Aug 16 05:08 PM
SLEDD ROBERT C,Director,2021-08-03,Sale,479.5,"3,300","1,582,350","1,865",Aug 05 05:16 PM
Joslin Mark W,Senior Vice President,2021-08-03,Sale,482.5,"15,000","7,237,500","85,195",Aug 05 05:14 PM
St Romain Kenneth G,Group Vice President,2021-08-02,Sale,475.12,"9,982","4,742,617","70,945",Aug 04 05:43 PM
PEREZ DE LA MESA MANUEL J,Vice Chairman,2021-07-30,Option Exercise,37.13,"10,000","371,300","70,620",Aug 02 05:36 PM
PEREZ DE LA MESA MANUEL J,Vice Chairman,2021-07-30,Sale,480.39,"10,000","4,803,871","60,620",Aug 02 05:36 PM
PEREZ DE LA MESA MANUEL J,Vice Chairman,2021-07-29,Option Exercise,37.13,"9,086","337,363","69,706",Aug 02 05:36 PM
PEREZ DE LA MESA MANUEL J,Vice Chairman,2021-07-29,Sale,478.01,"9,086","4,343,231","60,620",Aug 02 05:36 PM
NEIL JENNIFER M,General Counsel/Secretary,2021-07-27,Sale,470.0,"3,000","1,410,000","9,794",Jul 29 05:10 PM
