Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Shivananda Sripada,"EVP, Chief Technology Officer",2022-07-15,Option Exercise,0.00,"2,169",0,"67,193",Jul 18 07:50 PM
Britto Mark,"EVP, Chief Product Officer",2022-05-06,Buy,81.04,"7,370","597,229","175,836",May 09 06:08 PM
Alford Peggy,"EVP, Global Sales",2022-05-06,Sale,85.32,"14,767","1,259,920","39,891",May 09 06:08 PM
LORES ENRIQUE,Director,2022-05-04,Buy,88.13,"1,100","96,947","5,235",May 05 06:57 PM
Alford Peggy,"EVP, Global Sales",2022-04-15,Option Exercise,0.0,"21,964",0,"58,180",Apr 15 04:18 PM
Auerbach Jonathan,"EVP,Chief Strategy,Growth & Da",2022-03-04,Option Exercise,37.31,"40,749","1,520,345","142,650",Mar 07 05:04 PM
Auerbach Jonathan,"EVP,Chief Strategy,Growth & Da",2022-03-04,Sale,100.62,"40,749","4,100,014","101,901",Mar 07 05:04 PM
Shivananda Sripada,"EVP, Chief Technology Officer",2022-03-01,Option Exercise,0.0,"15,190",0,"50,310",Mar 02 04:43 PM
SCHULMAN DANIEL H,President and CEO,2022-03-01,Option Exercise,0.0,"84,624",0,"259,722",Mar 02 04:44 PM
Karbowski Jeffrey William,"VP, Chief Accounting Officer",2022-03-01,Option Exercise,0.0,"3,257",0,"8,369",Mar 02 04:43 PM
Britto Mark,"EVP, Chief Product Officer",2022-03-01,Option Exercise,0.0,"20,261",0,"139,220",Mar 02 04:40 PM
Rainey John D,"CFO and EVP,Global Customer Op",2022-03-01,Option Exercise,0.0,"35,270",0,"144,192",Mar 02 04:41 PM
Karczmer Aaron,"EVP, Risk, Platforms & Legal",2022-03-01,Option Exercise,0.0,"28,920",0,"68,568",Mar 02 04:37 PM
Auerbach Jonathan,EVP,2022-03-01,Option Exercise,0.0,"27,052",0,"86,327",Mar 02 04:38 PM
Alford Peggy,"EVP, Global Sales",2022-03-01,Option Exercise,0.0,"14,253",0,"29,236",Mar 02 04:38 PM
Alford Peggy,"EVP, Global Sales",2022-02-28,Sale,110.31,926,"102,147","14,983",Mar 02 04:38 PM
Yeary Frank D,Director,2022-02-18,Buy,103.96,"4,500","467,834","4,500",Feb 22 05:48 PM
DORMAN DAVID W,Director,2022-02-08,Buy,119.33,"8,400","1,002,372","53,880",Feb 09 04:41 PM
Yeary Frank D,Director,2022-02-04,Buy,124.85,"4,000","499,400","4,000",Feb 08 04:55 PM
Alford Peggy,"EVP, Global Sales",2022-02-04,Sale,124.34,"4,245","527,823","14,983",Feb 08 04:57 PM
SCHULMAN DANIEL H,President and CEO,2022-02-03,Buy,124.57,"7,994","995,842","196,544",Feb 07 05:55 PM
Auerbach Jonathan,"EVP,Chief Strategy,Growth & Da",2021-12-16,Option Exercise,0.0,"1,602",0,"59,196",Dec 17 06:38 PM
SCHULMAN DANIEL H,President and CEO,2021-12-10,Sale,188.81,"10,000","1,888,094","188,550",Dec 13 05:36 PM
LORES ENRIQUE,Director,2021-12-03,Buy,180.08,"2,770","498,822","3,622",Dec 06 04:17 PM
DORMAN DAVID W,Director,2021-11-23,Buy,186.47,"1,547","288,469",605,Nov 23 09:26 PM
Auerbach Jonathan,"EVP,Chief Strategy,Growth & Da",2021-11-23,Sale,187.32,"12,314","2,306,689","57,594",Nov 23 09:22 PM
Karbowski Jeffrey William,"VP, Chief Accounting Officer",2021-11-16,Sale,215.0,"1,800","387,000","4,962",Nov 17 04:04 PM
Karbowski Jeffrey William,"VP, Chief Accounting Officer",2021-11-15,Option Exercise,0.0,"1,221",0,"7,368",Nov 16 04:42 PM
SCHULMAN DANIEL H,President and CEO,2021-11-12,Sale,206.38,"10,000","2,063,792","198,550",Nov 15 05:57 PM
Donahoe John J,Director,2021-11-09,Buy,204.42,"9,780","1,999,228","67,750",Nov 17 06:32 PM
SCHULMAN DANIEL H,President and CEO,2021-10-29,Sale,234.53,"10,000","2,345,288","208,550",Nov 01 06:03 PM
SCHULMAN DANIEL H,President and CEO,2021-09-10,Sale,285.93,"10,000","2,859,324","218,550",Sep 13 04:03 PM
Auerbach Jonathan,"EVP,Chief Strategy,Growth & Da",2021-08-24,Sale,278.64,"12,314","3,431,208","69,908",Aug 25 05:43 PM
Karbowski Jeffrey William,"VP, Chief Accounting Officer",2021-08-16,Sale,273.56,"1,800","492,408","6,136",Aug 17 04:06 PM
SCHULMAN DANIEL H,President and CEO,2021-08-12,Sale,275.23,"10,000","2,752,326","228,550",Aug 13 04:06 PM
SCHULMAN DANIEL H,President and CEO,2021-07-30,Sale,276.81,"10,000","2,768,092","238,550",Aug 02 04:08 PM
Britto Mark,"EVP, Chief Product Officer",2021-07-30,Sale,279.15,"9,000","2,512,358","117,875",Aug 02 04:07 PM
Shivananda Sripada,"EVP, Chief Technology Officer",2021-07-15,Option Exercise,0.0,"2,169",0,"35,273",Jul 16 04:17 PM
Britto Mark,"EVP, Chief Product Officer",2021-07-15,Option Exercise,0.0,"2,949",0,"128,036",Jul 16 04:16 PM
