Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
POLEK ERIN L,"SVP, Controller & CAO",2022-05-23,Sale,129.95,"1,521","197,654",0,May 23 06:21 PM
ACE HEATHER S,Chief Human Resources Officer,2022-05-20,Option Exercise,0.0,"7,023",0,"10,500",May 23 06:28 PM
Palkhiwala Akash J.,Chief Financial Officer,2022-05-20,Option Exercise,0.0,"1,949",0,"40,828",May 23 06:26 PM
CATHEY JAMES J,Chief Commercial Officer,2022-05-20,Option Exercise,0.0,"3,217",0,"3,398",May 23 06:26 PM
POLEK ERIN L,"SVP, Controller & CAO",2022-05-20,Option Exercise,0.0,"2,322",0,"1,837",May 23 06:21 PM
CATHEY JAMES J,Chief Commercial Officer,2022-05-04,Sale,145.04,"1,600","232,064",855,May 06 04:15 PM
ROSENFELD IRENE B,Director,2022-03-12,Option Exercise,0.0,"4,559",0,"6,749",Mar 15 04:07 PM
LIVERMORE ANN M,Director,2022-03-12,Option Exercise,0.0,"4,559",0,"13,417",Mar 15 04:08 PM
Henderson Jeffrey William,Director,2022-03-12,Option Exercise,0.0,"4,559",0,"8,574",Mar 15 04:08 PM
Palkhiwala Akash J.,Chief Financial Officer,2022-02-10,Sale,179.83,"3,100","557,473","38,879",Feb 11 04:28 PM
POLEK ERIN L,"SVP, Controller & CAO",2022-02-02,Sale,180.6,68,"12,281",0,Feb 03 07:56 PM
Palkhiwala Akash J.,Chief Financial Officer,2022-01-10,Sale,180.0,"3,100","558,000","41,896",Jan 11 07:00 PM
AMON CRISTIANO R,President & CEO,2021-12-13,Sale,189.5,"5,402","1,023,679","119,672",Dec 14 04:21 PM
THOMPSON JAMES H,Chief Technology Officer,2021-12-10,Sale,183.39,"9,900","1,815,526","197,985",Dec 13 05:51 PM
Palkhiwala Akash J.,Chief Financial Officer,2021-12-10,Sale,185.51,"1,974","366,197","44,996",Dec 13 05:51 PM
ROGERS ALEXANDER H,President QTL & Global Affairs,2021-12-07,Sale,179.94,"21,006","3,779,923","37,388",Dec 08 06:55 PM
POLEK ERIN L,"SVP, Controller & CAO",2021-11-22,Sale,180.98,"2,847","515,250",0,Nov 23 04:09 PM
Palkhiwala Akash J.,Chief Financial Officer,2021-11-20,Option Exercise,0.0,"4,317",0,"49,111",Nov 23 04:09 PM
POLEK ERIN L,"SVP, Controller & CAO",2021-11-20,Option Exercise,0.0,"4,648",0,"4,648",Nov 23 04:09 PM
AMON CRISTIANO R,President & CEO,2021-11-16,Sale,180.86,"5,402","976,983","72,560",Nov 17 05:24 PM
ROGERS ALEXANDER H,President QTL & Global Affairs,2021-10-04,Sale,128.92,"9,157","1,180,520","32,136",Oct 05 04:21 PM
Rosenberg Donald J,General Counsel,2021-10-04,Sale,126.44,"11,457","1,448,677","2,720",Oct 05 04:29 PM
Rosenberg Donald J,General Counsel,2021-10-01,Option Exercise,0.0,"25,090",0,"25,281",Oct 05 04:29 PM
THOMPSON JAMES H,Chief Technology Officer,2021-10-01,Option Exercise,0.0,"45,700",0,"183,133",Oct 05 04:29 PM
AMON CRISTIANO R,President & CEO,2021-10-01,Option Exercise,0.0,"51,276",0,"102,220",Oct 05 04:21 PM
ROGERS ALEXANDER H,President QTL & Global Affairs,2021-10-01,Option Exercise,0.0,"25,638",0,"52,675",Oct 05 04:21 PM
Palkhiwala Akash J.,Chief Financial Officer,2021-10-01,Option Exercise,0.0,"5,225",0,"47,385",Oct 05 04:21 PM
Palkhiwala Akash J.,Chief Financial Officer,2021-08-23,Option Exercise,0.0,"14,318",0,"49,259",Aug 24 04:47 PM
POLEK ERIN L,"SVP, Controller & CAO",2021-08-02,Sale,150.0,66,"9,900",0,Aug 02 05:34 PM
