Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
McCourt Marion,EVP Commercial,2022-08-01,Option Exercise,342.93,"1,100","377,223","20,744",Aug 02 04:28 PM
McCourt Marion,EVP Commercial,2022-08-01,Sale,581.53,"1,100","639,683","19,644",Aug 02 04:28 PM
McCourt Marion,EVP Commercial,2022-07-01,Option Exercise,342.93,"1,100","377,223","20,744",Jul 05 04:03 PM
McCourt Marion,EVP Commercial,2022-07-01,Sale,587.76,"1,100","646,536","19,644",Jul 05 04:03 PM
McCourt Marion,EVP Commercial,2022-06-01,Option Exercise,342.93,"1,100","377,223","20,744",Jun 03 04:00 PM
McCourt Marion,EVP Commercial,2022-06-01,Sale,669.51,"1,100","736,461","19,644",Jun 03 04:00 PM
MURPHY ANDREW J,EVP Research,2022-05-17,Sale,663.68,"3,543","2,351,411","58,470",May 18 04:05 PM
MURPHY ANDREW J,EVP Research,2022-05-16,Option Exercise,179.13,"10,000","1,791,300","68,470",May 18 04:05 PM
McCourt Marion,EVP Commercial,2022-05-02,Option Exercise,342.93,"1,100","377,223","20,744",May 03 05:09 PM
McCourt Marion,EVP Commercial,2022-05-02,Sale,656.97,"1,100","722,667","19,644",May 03 05:09 PM
RYAN ARTHUR F,Director,2022-05-02,Sale,650.78,100,"65,078","22,182",May 03 05:10 PM
Landry Robert E,EVP Finance CFO,2022-04-11,Sale,734.06,"1,862","1,366,821","28,744",Apr 11 06:01 PM
Fenimore Christopher R.,SVP Controller,2022-04-08,Option Exercise,364.23,"7,450","2,713,542","30,066",Apr 11 04:40 PM
Landry Robert E,EVP Finance CFO,2022-04-08,Option Exercise,386.36,"8,000","3,090,840","34,744",Apr 11 06:01 PM
Landry Robert E,EVP Finance CFO,2022-04-08,Sale,737.79,325,"239,780","28,744",Apr 11 06:01 PM
Bassler Bonnie L,Director,2022-04-07,Option Exercise,380.95,"1,240","472,378","2,322",Apr 11 04:38 PM
Landry Robert E,EVP Finance CFO,2022-04-07,Option Exercise,399.66,"1,500","599,490","30,244",Apr 11 06:01 PM
Bassler Bonnie L,Director,2022-04-07,Sale,725.0,"1,240","899,000","1,082",Apr 11 04:38 PM
LAROSA JOSEPH J,EVP General Counsel and Secret,2022-04-07,Sale,721.1,"5,114","3,687,705","16,900",Apr 11 04:41 PM
SCHLEIFER LEONARD S,President & CEO,2022-04-06,Sale,710.04,"2,653","1,883,736","11,178",Apr 07 04:04 PM
SCHLEIFER LEONARD S,President & CEO,2022-04-05,Sale,710.05,"4,461","3,167,533","13,831",Apr 07 04:04 PM
McCourt Marion,EVP Commercial,2022-04-01,Option Exercise,342.93,"1,000","342,930","20,644",Apr 04 04:05 PM
Landry Robert E,EVP Finance CFO,2022-04-01,Sale,695.81,316,"219,875","28,744",Apr 01 04:07 PM
RYAN ARTHUR F,Director,2022-04-01,Sale,692.81,100,"69,281","22,282",Apr 04 04:03 PM
McCourt Marion,EVP Commercial,2022-04-01,Sale,701.82,"1,000","701,820","19,644",Apr 04 04:05 PM
LAROSA JOSEPH J,EVP General Counsel and Secret,2022-04-01,Sale,690.73,"5,114","3,532,373","22,014",Apr 04 04:04 PM
Landry Robert E,EVP Finance CFO,2022-03-31,Option Exercise,399.66,"1,500","599,490","30,244",Apr 01 04:07 PM
Fenimore Christopher R.,SVP Controller,2022-03-31,Option Exercise,317.97,"12,000","3,815,640","31,628",Apr 01 04:07 PM
SCHLEIFER LEONARD S,President & CEO,2022-03-31,Sale,710.01,"2,886","2,049,089","18,292",Apr 04 04:03 PM
BROWN MICHAEL S,Director,2022-03-30,Option Exercise,374.12,408,"152,641","1,490",Mar 31 04:04 PM
