Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Carter Horace,"President, Fixed Income",2022-07-15,Option Exercise,0.00,446,0,"19,173",Jul 19 03:04 PM
Carter Horace,"President, Fixed Income",2022-05-15,Option Exercise,0.0,150,0,"18,727",May 17 04:08 PM
Bunn James E,Pres-GlobEq&Inv Banking-RJA,2022-05-03,Sale,100.21,"6,000","601,287","25,096",May 04 04:01 PM
Carter Horace,"President, Fixed Income",2022-04-15,Option Exercise,0.0,144,0,"18,577",Apr 18 04:07 PM
Gates Anne,Director,2022-02-24,Option Exercise,0.0,"1,925",0,"9,255",Feb 28 09:51 AM
STORY SUSAN N,Director,2022-02-24,Option Exercise,0.0,"1,925",0,"44,538",Feb 28 08:42 AM
DUTKOWSKY ROBERT M,Director,2022-02-24,Option Exercise,0.0,"1,925",0,"7,823",Feb 28 08:41 AM
Esty Benjamin,Director,2022-02-24,Option Exercise,0.0,"1,925",0,"24,201",Feb 25 10:50 AM
DEBEL MARLENE,Director,2022-02-24,Option Exercise,0.0,"1,925",0,"2,530",Feb 25 03:08 PM
Seshadri Raj,Director,2022-02-24,Option Exercise,0.0,"1,925",0,"6,189",Feb 25 12:29 PM
Johnson Gordon L,Director,2022-02-24,Option Exercise,0.0,"2,248",0,"36,187",Feb 25 10:12 AM
Johnson Gordon L,Director,2022-02-17,Option Exercise,0.0,90,0,"33,939",Feb 22 08:21 AM
Allaire Bella Loykhter,Executive Vice President-RJA,2022-02-10,Sale,114.78,"15,000","1,721,700","70,357",Feb 14 11:59 AM
Dowdle Jeffrey A,COO & Head of Asset Mgmt.,2022-02-07,Sale,112.73,"18,972","2,138,668","43,437",Feb 09 01:26 PM
Bunn James E,Pres-GlobEq&Inv Banking-RJA,2021-12-14,Option Exercise,0.0,"9,179",0,"44,354",Dec 16 01:47 PM
Curtis Scott A,"President, PCG",2021-12-14,Option Exercise,0.0,"3,969",0,"160,959",Dec 16 01:45 PM
Allaire Bella Loykhter,Executive Vice President-RJA,2021-12-14,Option Exercise,0.0,"4,466",0,"88,256",Dec 16 01:43 PM
REILLY PAUL C,Chairman & CEO,2021-12-14,Option Exercise,0.0,"43,662",0,"232,789",Dec 16 04:55 PM
Carson John C Jr.,President,2021-12-14,Option Exercise,0.0,"3,473",0,"95,131",Dec 16 04:52 PM
JAMES THOMAS A,Chairman Emeritus,2021-12-14,Option Exercise,0.0,"5,459",0,"17,602,700",Dec 16 04:27 PM
Allison Paul D,"Chair, President & CEO RJ Ltd.",2021-12-14,Option Exercise,0.0,"2,507",0,"17,110",Dec 16 04:23 PM
Catanese George,Chief Risk Officer,2021-12-14,Option Exercise,0.0,"1,092",0,"11,267",Dec 16 01:57 PM
Shoukry Paul M,CFO and Treasurer,2021-12-14,Option Exercise,0.0,716,0,"11,887",Dec 16 01:55 PM
Santelli Jonathan N,"EVP, Gen Counsel, Secy",2021-12-14,Option Exercise,0.0,"1,290",0,"9,756",Dec 16 01:55 PM
Raney Steven M,President & CEO RJBank,2021-12-14,Option Exercise,0.0,"2,084",0,"53,884",Dec 16 01:53 PM
Elwyn Tashtego S,CEO & President - RJA,2021-12-14,Option Exercise,0.0,"3,473",0,"56,560",Dec 16 01:51 PM
Perry Jodi,"President, ICD for RJFS",2021-12-14,Option Exercise,0.0,338,0,"6,654",Dec 16 01:50 PM
Dowdle Jeffrey A,COO & Head of Asset Mgmt.,2021-12-14,Option Exercise,0.0,"3,846",0,"64,906",Dec 16 01:49 PM
Bunn James E,Pres-GlobEq&Inv Banking-RJA,2021-12-14,Sale,96.15,"6,447","619,890","34,296",Dec 16 01:47 PM
DEBEL MARLENE,Director,2021-12-02,Option Exercise,0.0,605,0,605,Dec 03 11:04 AM
Raney Steven M,President & CEO RJBank,2021-12-02,Sale,96.12,"5,000","480,600","52,800",Dec 06 03:10 PM
Santelli Jonathan N,"EVP, Gen Counsel, Secy",2021-12-01,Sale,100.05,"3,400","340,175","8,466",Dec 02 07:57 PM
Perry Jodi,"President, ICD for RJFS",2021-11-30,Option Exercise,0.0,300,0,"5,962",Dec 01 04:02 PM
Raney Steven M,President & CEO RJBank,2021-11-30,Option Exercise,0.0,"3,000",0,"55,820",Dec 01 03:57 PM
Oorlog Jonathan W JR,Senior VP and Controller,2021-11-30,Option Exercise,0.0,450,0,"11,371",Dec 01 03:47 PM
Catanese George,Chief Risk Officer,2021-11-30,Option Exercise,0.0,"1,500",0,"9,313",Dec 01 03:45 PM
Elwyn Tashtego S,CEO & President - RJA,2021-11-30,Option Exercise,0.0,"3,000",0,"49,673",Dec 01 03:40 PM
Allaire Bella Loykhter,Executive Vice President-RJA,2021-11-30,Option Exercise,0.0,"3,600",0,"79,205",Dec 01 02:42 PM
Carson John C Jr.,President,2021-11-30,Option Exercise,0.0,"3,000",0,"88,108",Dec 01 01:58 PM
Curtis Scott A,"President, PCG",2021-11-30,Option Exercise,0.0,"3,000",0,"153,739",Dec 01 01:58 PM
Santelli Jonathan N,"EVP, Gen Counsel, Secy",2021-11-30,Option Exercise,0.0,"3,000",0,"11,391",Dec 01 05:59 PM
REILLY PAUL C,Chairman & CEO,2021-11-30,Option Exercise,0.0,"6,750",0,"108,605",Dec 01 05:58 PM
Dowdle Jeffrey A,COO & Head of Asset Mgmt.,2021-11-30,Option Exercise,0.0,"3,000",0,"56,960",Dec 01 04:44 PM
Shoukry Paul M,CFO and Treasurer,2021-11-30,Option Exercise,0.0,900,0,"12,390",Dec 01 04:36 PM
Bunn James E,Pres-GlobEq&Inv Banking-RJA,2021-11-30,Option Exercise,0.0,"3,300",0,"24,320",Dec 01 02:58 PM
Perry Jodi,"President, ICD for RJFS",2021-11-29,Option Exercise,0.0,"4,500",0,"6,757",Dec 01 04:02 PM
Raney Steven M,President & CEO RJBank,2021-11-29,Option Exercise,0.0,"4,500",0,"53,915",Dec 01 03:57 PM
Oorlog Jonathan W JR,Senior VP and Controller,2021-11-29,Option Exercise,0.0,"1,350",0,"11,228",Dec 01 03:47 PM
Catanese George,Chief Risk Officer,2021-11-29,Option Exercise,0.0,"2,700",0,"8,470",Dec 01 03:45 PM
Elwyn Tashtego S,CEO & President - RJA,2021-11-29,Option Exercise,0.0,"4,500",0,"47,768",Dec 01 03:40 PM
Allaire Bella Loykhter,Executive Vice President-RJA,2021-11-29,Option Exercise,0.0,"4,500",0,"76,700",Dec 01 02:42 PM
Carson John C Jr.,President,2021-11-29,Option Exercise,0.0,"4,500",0,"86,203",Dec 01 01:58 PM
Curtis Scott A,"President, PCG",2021-11-29,Option Exercise,0.0,"4,500",0,"152,509",Dec 01 01:58 PM
Santelli Jonathan N,"EVP, Gen Counsel, Secy",2021-11-29,Option Exercise,0.0,"4,500",0,"9,486",Dec 01 05:59 PM
REILLY PAUL C,Chairman & CEO,2021-11-29,Option Exercise,0.0,"11,250",0,"106,281",Dec 01 05:58 PM
Dowdle Jeffrey A,COO & Head of Asset Mgmt.,2021-11-29,Option Exercise,0.0,"4,500",0,"55,055",Dec 01 04:44 PM
Shoukry Paul M,CFO and Treasurer,2021-11-29,Option Exercise,0.0,"2,700",0,"12,147",Dec 01 04:36 PM
Bunn James E,Pres-GlobEq&Inv Banking-RJA,2021-11-29,Option Exercise,0.0,"4,500",0,"22,115",Dec 01 02:58 PM
Shoukry Paul M,CFO and Treasurer,2021-11-22,Option Exercise,0.0,900,0,"9,666",Nov 23 03:15 PM
Perry Jodi,"President, ICD for RJFS",2021-11-22,Option Exercise,0.0,300,0,"2,330",Nov 23 02:53 PM
Oorlog Jonathan W JR,Senior VP and Controller,2021-11-22,Option Exercise,0.0,450,0,"9,985",Nov 23 02:52 PM
Bunn James E,Pres-GlobEq&Inv Banking-RJA,2021-11-11,Sale,100.73,"15,166","1,527,739","17,615",Nov 15 09:08 AM
Allison Paul D,"Chair, President & CEO RJ Ltd.",2021-09-30,Option Exercise,0.0,"7,500",0,"35,419",Oct 04 04:11 PM
Curtis Scott A,"President, PCG",2021-09-07,Option Exercise,55.49,"5,334","295,984","98,673",Sep 08 12:18 PM
Curtis Scott A,"President, PCG",2021-07-16,Option Exercise,55.49,"5,300","294,097","93,339",Jul 20 11:29 AM
