Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Ciarfella Mark R,EVP - Operations,2022-06-07,Option Exercise,156.5,"1,000","156,500","24,884",Jun 09 05:30 PM
Ciarfella Mark R,EVP - Operations,2022-06-07,Sale,338.05,"1,000","338,050","23,884",Jun 09 05:30 PM
STOOPS JEFFREY,Chief Executive Officer & Pres,2022-05-24,Sale,344.07,"30,000","10,321,986","83,668",May 26 05:52 PM
BEEBE KEVIN L,Director,2022-05-03,Option Exercise,113.55,"1,899","215,631","16,712",May 04 05:54 PM
BEEBE KEVIN L,Director,2022-05-03,Sale,347.72,"1,889","656,843","14,813",May 04 05:54 PM
SILBERSTEIN JASON V,EVP - Site Leasing,2022-04-28,Option Exercise,117.98,"2,541","299,775","21,785",Apr 29 05:18 PM
BAGWELL KURT L,EVP; Pres. - International,2022-03-09,Sale,330.0,"3,757","1,239,936","29,529",Mar 11 05:17 PM
COCROFT DUNCAN,Director,2022-03-08,Option Exercise,113.55,"1,899","215,631","66,491",Mar 10 05:42 PM
Krouse George R Jr,Director,2022-03-08,Sale,328.88,500,"164,440","8,515",Mar 10 05:41 PM
LANGER JACK,Director,2022-02-10,Option Exercise,113.55,"1,899","215,631","5,179",Feb 11 06:02 PM
BERNSTEIN STEVEN E,Chairman,2022-01-19,Option Exercise,113.55,"1,899","215,631","6,738",Jan 21 05:48 PM
Ciarfella Mark R,EVP - Operations,2021-12-15,Option Exercise,182.3,"3,000","546,900","24,052",Dec 21 01:27 PM
Ciarfella Mark R,EVP - Operations,2021-12-15,Sale,370.0,"3,000","1,110,000","21,052",Dec 21 01:27 PM
HUNT THOMAS P,Executive VP/General Counsel,2021-12-15,Sale,365.93,"1,087","397,762","117,492",Dec 16 07:14 PM
HUNT THOMAS P,Executive VP/General Counsel,2021-12-14,Option Exercise,124.76,"282,402","35,233,296","287,867",Dec 16 07:14 PM
Ciarfella Mark R,EVP - Operations,2021-12-13,Option Exercise,182.3,"3,000","546,900","24,052",Dec 15 05:00 PM
Ciarfella Mark R,EVP - Operations,2021-12-13,Sale,365.67,"3,000","1,097,010","21,052",Dec 15 05:00 PM
Krouse George R Jr,Director,2021-11-19,Option Exercise,212.31,"1,000","212,310","11,090",Nov 23 06:07 PM
Krouse George R Jr,Director,2021-11-19,Sale,350.0,"1,000","350,000","10,090",Nov 23 06:07 PM
STOOPS JEFFREY,Chief Executive Officer & Pres,2021-11-18,Option Exercise,105.18,"375,249","39,469,423","564,822",Nov 22 05:35 PM
Cavanagh Brendan Thomas,Executive Vice President & CFO,2021-11-17,Buy,350.37,4,"1,401","31,767",Mar 29 06:06 PM
Patel Dipan D,"EVP Tech., Strat. & New Bus.",2021-09-10,Option Exercise,182.3,"1,096","199,801","2,231",Sep 14 06:01 PM
Lazarus Brian D,SVP & Chief Accounting Officer,2021-09-07,Option Exercise,115.17,868,"99,968","21,195",Sep 08 05:49 PM
Lazarus Brian D,SVP & Chief Accounting Officer,2021-09-03,Option Exercise,115.17,"24,263","2,794,370","44,590",Sep 08 05:49 PM
Lazarus Brian D,SVP & Chief Accounting Officer,2021-09-03,Sale,366.17,"24,263","8,884,479","20,327",Sep 08 05:49 PM
HUNT THOMAS P,Executive VP/General Counsel,2021-09-03,Sale,365.47,"67,112","24,527,156","5,465",Sep 03 05:50 PM
Cavanagh Brendan Thomas,Executive Vice President & CFO,2021-09-02,Option Exercise,115.17,"60,163","6,928,973","91,170",Sep 03 05:48 PM
Cavanagh Brendan Thomas,Executive Vice President & CFO,2021-09-02,Sale,365.51,"60,163","21,990,261","31,007",Sep 03 05:48 PM
Ciarfella Mark R,EVP - Operations,2021-08-19,Option Exercise,156.5,"6,759","1,057,784","27,777",Aug 20 06:12 PM
Ciarfella Mark R,EVP - Operations,2021-08-19,Sale,358.01,"6,759","2,419,790","21,018",Aug 20 06:12 PM
HUNT THOMAS P,Executive VP/General Counsel,2021-08-19,Sale,357.69,"50,000","17,884,645","72,577",Aug 20 06:11 PM
STOOPS JEFFREY,Chief Executive Officer & Pres,2021-08-16,Sale,353.3,"37,278","13,170,384","189,573",Aug 18 06:04 PM
Ciarfella Mark R,EVP - Operations,2021-08-11,Option Exercise,115.17,"2,377","273,759","23,395",Aug 13 06:07 PM
Ciarfella Mark R,EVP - Operations,2021-08-11,Sale,345.0,"2,377","820,065","21,018",Aug 13 06:07 PM
BAGWELL KURT L,EVP; Pres. - International,2021-08-05,Option Exercise,148.84,"44,800","6,668,003","75,749",Aug 06 05:37 PM
BAGWELL KURT L,EVP; Pres. - International,2021-08-05,Sale,346.15,"44,800","15,507,354","30,949",Aug 06 05:37 PM
