Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Binns Justin T,"President, The Americas Group",2022-05-23,Sale,259.99,"1,542","400,905","6,877",May 25 08:44 AM
Young Bryan J,SVP - Corp Strategy & Devel.,2022-03-11,Option Exercise,136.85,521,"71,299","7,805",Mar 14 03:55 PM
MORIKIS JOHN G,"Chairman, President & CEO",2022-02-25,Buy,259.55,"2,000","519,100","320,774",Feb 28 08:05 AM
Mistysyn Allen J,SVP - Finance & CFO,2022-02-24,Buy,253.91,"1,000","253,910","43,908",Feb 25 12:12 PM
GARCEAU MARY L,"SVP, Gen. Counsel & Secretary",2021-12-10,Option Exercise,67.74,765,"51,821","9,435",Dec 14 04:36 PM
Young Bryan J,SVP - Corp Strategy & Devel.,2021-11-09,Option Exercise,136.85,209,"28,602","4,849",Nov 12 02:40 PM
Young Bryan J,SVP - Corp Strategy & Devel.,2021-11-09,Sale,322.7,750,"242,025","4,099",Nov 12 02:40 PM
MORIKIS JOHN G,"Chairman, President & CEO",2021-11-05,Option Exercise,136.85,731,"100,037","278,462",Nov 09 04:35 PM
Young Bryan J,SVP - Corp Strategy & Devel.,2021-09-14,Option Exercise,128.0,791,"101,250","4,640",Sep 15 06:02 PM
Sladek Joseph F,"Pres. & GM, Glob. Supply Chain",2021-09-13,Option Exercise,72.15,801,"57,789",801,Sep 15 06:07 PM
Young Bryan J,SVP - Corp Strategy & Devel.,2021-09-13,Sale,303.75,"1,662","504,832","3,849",Sep 15 06:02 PM
Sladek Joseph F,"Pres. & GM, Glob. Supply Chain",2021-09-13,Sale,302.32,432,"130,602",369,Sep 15 06:07 PM
IPPOLITO PETER J.,"SVP, Strategic Initiatives",2021-08-26,Option Exercise,84.82,"14,331","1,215,518","14,331",Aug 30 01:46 PM
IPPOLITO PETER J.,"SVP, Strategic Initiatives",2021-08-26,Sale,302.42,"12,390","3,746,984","1,941",Aug 30 01:46 PM
GARCEAU MARY L,"SVP, Gen. Counsel & Secretary",2021-08-23,Option Exercise,79.85,"2,589","206,732","11,259",Aug 25 03:29 PM
GARCEAU MARY L,"SVP, Gen. Counsel & Secretary",2021-08-23,Sale,306.33,"2,589","793,088","8,670",Aug 25 03:29 PM
CRONIN JANE M.,SVP - Corporate Controller,2021-08-16,Option Exercise,96.57,"8,436","814,702","17,808",Aug 18 02:10 PM
CRONIN JANE M.,SVP - Corporate Controller,2021-08-16,Sale,308.22,"7,722","2,380,075","10,086",Aug 18 02:10 PM
GILLIGAN THOMAS P,SVP-Human Resources,2021-08-12,Option Exercise,77.88,"9,780","761,666","30,690",Aug 16 02:25 PM
GILLIGAN THOMAS P,SVP-Human Resources,2021-08-12,Sale,302.87,"9,780","2,962,069","20,910",Aug 16 02:25 PM
Padden Brian E,"President, Consumer Brands Grp",2021-07-30,Option Exercise,75.91,699,"53,061","8,313",Aug 03 01:47 PM
Padden Brian E,"President, Consumer Brands Grp",2021-07-30,Sale,289.53,"3,153","912,888","5,160",Aug 03 01:47 PM
MORIKIS JOHN G,"Chairman, President & CEO",2021-07-29,Option Exercise,127.98,"155,520","19,903,450","433,251",Aug 02 05:36 PM
MORIKIS JOHN G,"Chairman, President & CEO",2021-07-29,Sale,288.92,"155,520","44,933,132","277,731",Aug 02 05:36 PM
Mistysyn Allen J,SVP - Finance & CFO,2021-07-28,Option Exercise,88.22,"22,749","2,007,008","56,099",Jul 30 05:13 PM
Mistysyn Allen J,SVP - Finance & CFO,2021-07-28,Sale,286.46,"22,749","6,516,679","33,350",Jul 30 05:13 PM
