Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Draper Daniel E,"CEO, S&P Dow Jones Indices",2022-07-01,Option Exercise,343.33,"1,257","431,566","2,253",Jul 06 09:19 AM
Manis Dimitra,"EVP, Chief Purpose Officer",2022-05-16,Sale,336.53,"2,000","673,060","4,839",May 16 06:10 PM
Luquette Nancy,"EVP, Chief Risk Officer",2022-05-13,Option Exercise,70.96,"2,287","162,280","7,954",May 16 09:12 PM
Luquette Nancy,"EVP, Chief Risk Officer",2022-05-13,Sale,333.74,"2,287","763,263","5,667",May 16 09:12 PM
ESCULIER JACQUES,Director,2022-03-10,Option Exercise,382.75,477,"182,572","1,273",Mar 14 09:20 PM
Evans Gay Huey,Director,2022-03-10,Option Exercise,382.75,477,"182,572",704,Mar 14 09:34 PM
CHEUNG MARTINA,"President, S&P Global Ratings",2022-03-10,Sale,381.28,"3,870","1,475,554","9,783",Mar 14 08:58 PM
Kemps Steven J,"EVP, General Counsel",2022-03-04,Sale,407.23,"1,591","647,903","12,013",Mar 04 07:05 PM
Manis Dimitra,Chief Purpose Officer,2022-03-02,Sale,405.41,"2,636","1,068,661","6,839",Mar 04 07:11 PM
Kemps Steven J,"EVP, General Counsel",2022-03-02,Sale,404.04,"3,183","1,286,059","13,604",Mar 04 07:05 PM
Saha Saugata,"President, S&P Global Platts",2021-12-31,Option Exercise,471.93,704,"332,239","2,090",Jan 04 09:16 PM
Steenbergen Ewout L,EVP & Chief Financial Officer,2021-12-31,Option Exercise,471.93,"3,177","1,499,322","21,893",Jan 04 09:11 PM
Peterson Douglas L.,CEO & President,2021-12-31,Option Exercise,471.93,"10,296","4,858,991","160,639",Jan 04 09:07 PM
CHEUNG MARTINA,"President, Market Intelligence",2021-12-31,Option Exercise,471.93,"1,960","924,983","10,644",Jan 04 03:56 PM
Craig Christopher,SVP and Controller,2021-12-31,Option Exercise,471.93,397,"187,356","5,291",Jan 04 03:50 PM
BERISFORD JOHN L,"President, S&P Ratings",2021-12-31,Option Exercise,471.93,"2,023","954,714","33,246",Jan 04 03:39 PM
Luquette Nancy,"EVP, Chief Risk Officer",2021-12-31,Option Exercise,471.93,632,"298,260","4,021",Jan 04 05:31 PM
Kemps Steven J,"EVP, General Counsel",2021-12-31,Option Exercise,471.93,"1,395","658,342","12,819",Jan 04 05:26 PM
Draper Daniel E,"CEO, S&P Dow Jones Indices",2021-12-31,Option Exercise,471.93,398,"187,828","1,074",Jan 04 05:24 PM
Saha Saugata,"President, S&P Global Platts",2021-11-01,Option Exercise,463.18,318,"147,291","1,706",Nov 03 10:26 AM
Draper Daniel E,"CEO, S&P Dow Jones Indices",2021-07-01,Option Exercise,412.2,"1,257","518,135","1,382",Jul 06 11:44 AM
