Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Fochtman Jeffrey D.,"SVP, Business & Marketing",2022-05-20,Option Exercise,0.0,"1,007",0,"7,555",May 24 06:00 PM
LUCZO STEPHEN J,Director,2022-03-04,Sale,103.26,"50,000","5,163,235","225,941",Mar 08 06:46 PM
Romano Gianluca,EVP & CFO,2022-02-22,Option Exercise,47.89,"20,495","981,598","39,886",Feb 24 04:07 PM
"ValueAct Holdings, L.P.",Director,2022-02-22,Sale,108.01,"272,297","29,410,799","13,437,070",Feb 22 07:31 PM
Romano Gianluca,EVP & CFO,2022-02-22,Sale,107.36,"20,495","2,200,394","19,391",Feb 24 04:07 PM
"ValueAct Holdings, L.P.",Director,2022-02-18,Sale,109.06,"27,703","3,021,289","13,709,367",Feb 22 07:31 PM
"ValueAct Holdings, L.P.",Director,2022-02-17,Sale,108.0,"1,750,000","189,000,000","13,737,070",Feb 22 07:31 PM
Geldmacher Jay L,Director,2022-01-31,Sale,107.5,"4,300","462,250","2,725",Feb 01 04:38 PM
Nygaard Jeffrey D.,Executive Vice President,2022-01-05,Option Exercise,36.09,"3,158","113,972","15,628",Jan 06 06:19 PM
Nygaard Jeffrey D.,Executive Vice President,2022-01-05,Sale,115.55,"3,158","364,898","12,470",Jan 06 06:19 PM
Adams Mark,Director,2021-12-10,Sale,103.12,"7,000","721,859","12,285",Dec 13 05:01 PM
Tilenius Stephanie,Director,2021-12-10,Sale,102.04,"14,000","1,428,549","6,210",Dec 13 04:46 PM
"ValueAct Holdings, L.P.",Director,2021-11-15,Sale,106.26,"300,000","31,878,000","15,487,070",Nov 15 05:14 PM
"ValueAct Holdings, L.P.",Director,2021-11-12,Sale,110.66,"775,000","85,761,500","15,787,070",Nov 15 05:14 PM
"ValueAct Holdings, L.P.",Director,2021-11-11,Sale,105.39,"815,000","85,892,850","16,562,070",Nov 15 05:14 PM
Fochtman Jeffrey D.,"SVP, Business & Marketing",2021-11-09,Option Exercise,30.95,"2,293","70,968","8,841",Nov 10 05:42 PM
Fochtman Jeffrey D.,"SVP, Business & Marketing",2021-11-09,Sale,98.84,"2,293","226,652","6,548",Nov 10 05:42 PM
Naik Ravi,EVP & CIO,2021-11-05,Option Exercise,31.46,"20,000","629,200","47,052",Nov 09 07:51 PM
Naik Ravi,EVP & CIO,2021-11-05,Sale,96.36,"20,000","1,927,124","27,052",Nov 09 07:51 PM
Naik Ravi,EVP & CIO,2021-11-01,Sale,91.56,323,"29,549","27,052",Nov 09 07:51 PM
Haggart Dylan G.,Director,2021-10-20,Option Exercise,0.0,"5,847",0,"5,847",Oct 22 08:16 PM
LUCZO STEPHEN J,Director,2021-10-20,Option Exercise,0.0,"5,847",0,"5,847",Oct 22 08:11 PM
ZANDER EDWARD J,Director,2021-10-20,Option Exercise,0.0,"5,847",0,"5,847",Oct 22 08:05 PM
Geldmacher Jay L,Director,2021-10-20,Option Exercise,0.0,"5,847",0,"9,130",Oct 22 08:04 PM
Tilenius Stephanie,Director,2021-10-20,Option Exercise,0.0,"5,847",0,"22,315",Oct 22 08:04 PM
CANNON MICHAEL R,Director,2021-10-20,Option Exercise,0.0,"5,847",0,"26,022",Oct 22 08:00 PM
BHATT PRAT,Director,2021-10-20,Option Exercise,0.0,"4,838",0,"4,838",Oct 22 07:59 PM
BRUNER JUDY,Director,2021-10-20,Option Exercise,0.0,"5,847",0,"5,847",Oct 22 08:00 PM
Arumugavelu Shankar,Director,2021-10-20,Option Exercise,0.0,"2,896",0,"2,896",Oct 22 07:56 PM
Adams Mark,Director,2021-10-20,Option Exercise,0.0,"5,847",0,"5,847",Oct 22 07:52 PM
Naik Ravi,EVP & CIO,2021-10-07,Buy,81.28,201,"16,322","27,375",Nov 09 07:51 PM
Romano Gianluca,EVP & CFO,2021-10-04,Option Exercise,47.54,"26,139","1,242,529","47,653",Oct 06 07:14 PM
Romano Gianluca,EVP & CFO,2021-10-04,Sale,84.4,"26,139","2,206,010","21,514",Oct 06 07:14 PM
Teh Ban Seng,"EVP, Global Sales",2021-09-14,Sale,83.99,623,"52,326","8,710",Sep 15 07:20 PM
Teh Ban Seng,"EVP, Global Sales",2021-09-13,Option Exercise,30.95,"1,037","32,095","12,155",Sep 15 07:20 PM
Teh Ban Seng,"EVP, Global Sales",2021-09-13,Sale,83.86,"2,822","236,653","9,333",Sep 15 07:20 PM
Fochtman Jeffrey D.,"SVP, Business & Marketing",2021-09-11,Option Exercise,0.0,"1,148",0,"7,118",Sep 15 07:13 PM
Teh Ban Seng,"EVP, Global Sales",2021-09-11,Option Exercise,0.0,623,0,"11,118",Sep 15 07:20 PM
Nygaard Jeffrey D.,Executive Vice President,2021-09-11,Option Exercise,0.0,"2,488",0,"16,043",Sep 15 07:19 PM
Teh Ban Seng,"EVP, Global Sales",2021-09-10,Option Exercise,0.0,"1,785",0,"10,495",Sep 14 07:23 PM
SCHUELKE KATHERINE,"SVP, CLO & Corporate Secretary",2021-09-10,Option Exercise,0.0,"3,908",0,"22,831",Sep 14 07:19 PM
Fochtman Jeffrey D.,"SVP, Business & Marketing",2021-09-10,Option Exercise,0.0,"1,620",0,"6,568",Sep 14 07:31 PM
Naik Ravi,EVP & CIO,2021-09-10,Option Exercise,0.0,"3,333",0,"28,705",Sep 14 07:29 PM
Teh Ban Seng,"EVP, Global Sales",2021-09-10,Sale,87.23,"2,340","204,118","8,710",Sep 14 07:23 PM
Teh Ban Seng,"EVP, Global Sales",2021-09-09,Option Exercise,0.0,"5,803",0,"11,050",Sep 14 11:03 AM
Fochtman Jeffrey D.,"SVP, Business & Marketing",2021-09-09,Option Exercise,0.0,"5,364",0,"6,279",Sep 14 10:58 AM
SCHUELKE KATHERINE,"SVP, CLO & Corporate Secretary",2021-09-09,Option Exercise,0.0,"5,654",0,"20,831",Sep 14 10:55 AM
Naik Ravi,EVP & CIO,2021-09-09,Option Exercise,0.0,"5,992",0,"26,436",Sep 14 07:21 PM
MOSLEY WILLIAM D,Chief Executive Officer,2021-09-01,Option Exercise,60.83,"31,500","1,916,145","582,113",Sep 03 04:23 PM
MOSLEY WILLIAM D,Chief Executive Officer,2021-09-01,Sale,86.95,"31,500","2,739,059","550,613",Sep 03 04:23 PM
Naik Ravi,EVP & CIO,2021-08-21,Option Exercise,0.0,"7,695",0,"23,355",Aug 24 06:17 PM
Teh Ban Seng,"EVP, Global Sales",2021-08-06,Option Exercise,60.87,"7,250","441,308","10,739",Aug 10 06:41 PM
Teh Ban Seng,"EVP, Global Sales",2021-08-06,Sale,91.35,"7,250","662,288","3,489",Aug 10 06:41 PM
Naik Ravi,EVP & CIO,2021-07-08,Buy,87.73,122,"10,695","27,174",Nov 09 07:51 PM
