Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
KEANE MARGARET M,See remarks,2022-06-15,Sale,30.03,"70,000","2,102,100","828,694",Jun 17 04:02 PM
MELITO DAVID P,See remarks,2022-04-18,Sale,40.0,"1,116","44,640","14,404",Apr 20 04:14 PM
MELITO DAVID P,See remarks,2022-03-02,Sale,40.0,"4,141","165,640","16,486",Mar 03 04:20 PM
MOTHNER JONATHAN S,See remarks,2022-03-02,Sale,40.0,"20,000","800,000","126,410",Mar 03 04:19 PM
Casellas Alberto,See remarks,2022-03-01,Sale,42.47,"15,702","666,864","66,939",Mar 03 04:19 PM
Howse Curtis,See remarks,2021-09-01,Option Exercise,27.89,"32,039","893,471","76,049",Sep 03 04:53 PM
Whynott Paul,See remarks,2021-09-01,Option Exercise,29.79,"23,534","701,060","72,425",Sep 03 04:53 PM
GREIG HENRY F,See remarks,2021-09-01,Option Exercise,24.06,"21,121","508,277","200,624",Sep 03 04:53 PM
MOTHNER JONATHAN S,See remarks,2021-09-01,Option Exercise,23.81,"11,401","271,470","143,699",Sep 03 04:54 PM
QUINDLEN THOMAS M,See remarks,2021-09-01,Option Exercise,24.55,"12,771","313,528","175,291",Sep 03 04:54 PM
Casellas Alberto,See remarks,2021-09-01,Option Exercise,23.0,"39,977","919,471","96,324",Sep 03 04:55 PM
KEANE MARGARET M,See remarks,2021-09-01,Option Exercise,29.33,"118,087","3,463,492","914,287",Sep 03 04:54 PM
KEANE MARGARET M,See remarks,2021-09-01,Sale,49.11,"145,747","7,157,210","768,540",Sep 03 04:54 PM
Casellas Alberto,See remarks,2021-09-01,Sale,49.09,"39,977","1,962,471","56,347",Sep 03 04:55 PM
QUINDLEN THOMAS M,See remarks,2021-09-01,Sale,49.09,"44,731","2,195,845","130,560",Sep 03 04:54 PM
MOTHNER JONATHAN S,See remarks,2021-09-01,Sale,49.09,"31,401","1,541,475","117,733",Sep 03 04:54 PM
GREIG HENRY F,See remarks,2021-09-01,Sale,49.09,"21,121","1,036,830","186,112",Sep 03 04:53 PM
Whynott Paul,See remarks,2021-09-01,Sale,49.09,"23,534","1,155,284","58,898",Sep 03 04:53 PM
Howse Curtis,See remarks,2021-09-01,Sale,49.09,"42,039","2,063,695","54,197",Sep 03 04:53 PM
