Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
LYNCH THOMAS J,Director,2022-05-06,Sale,126.86,"12,600","1,598,499","11,750",May 10 04:13 PM
MITTS HEATH A,EVP & Chief Financial Officer,2021-12-27,Sale,159.3,"8,698","1,385,600","28,163",Dec 28 04:23 PM
CURTIN TERRENCE R,Chief Exec. Officer & Director,2021-12-09,Sale,158.06,"24,299","3,840,641","54,969",Dec 13 04:41 PM
CALASTRI MARIO,SVP & Treasurer,2021-11-15,Option Exercise,0.0,"8,909",0,"9,721",Nov 17 04:32 PM
RESCH ERIC,Sr VP & Chief Tax Officer,2021-11-15,Option Exercise,0.0,"8,909",0,"46,672",Nov 17 04:32 PM
Ott Robert J,Sr VP & Corporate Controller,2021-11-03,Option Exercise,93.36,"8,737","815,686","29,444",Nov 04 04:59 PM
Ott Robert J,Sr VP & Corporate Controller,2021-11-03,Sale,153.46,"8,737","1,340,745","20,707",Nov 04 04:59 PM
Jenkins John S,EVP & General Counsel,2021-09-21,Option Exercise,0.0,838,0,"17,229",Sep 22 04:15 PM
Jenkins John S,EVP & General Counsel,2021-09-12,Option Exercise,0.0,720,0,"16,699",Sep 13 04:18 PM
Jenkins John S,EVP & General Counsel,2021-09-11,Option Exercise,0.0,712,0,"16,282",Sep 13 04:18 PM
MERKT STEVEN T,"President, Transportation Sol.",2021-08-24,Option Exercise,74.37,"52,280","3,888,199","92,402",Aug 25 04:15 PM
MERKT STEVEN T,"President, Transportation Sol.",2021-08-24,Sale,151.09,"52,280","7,898,985","40,122",Aug 25 04:15 PM
MITTS HEATH A,EVP & Chief Financial Officer,2021-08-23,Option Exercise,66.74,"79,100","5,279,134","107,263",Aug 24 04:20 PM
MITTS HEATH A,EVP & Chief Financial Officer,2021-08-23,Sale,150.11,"79,100","11,873,701","28,163",Aug 24 04:20 PM
Jenkins John S,EVP & General Counsel,2021-08-11,Option Exercise,76.66,"25,025","1,918,416","40,595",Aug 12 04:11 PM
Jenkins John S,EVP & General Counsel,2021-08-11,Sale,150.47,"25,025","3,765,512","15,570",Aug 12 04:11 PM
Phelan Daniel J,Director,2021-08-10,Buy,150.25,231,"34,708","34,151",Aug 11 04:36 PM
LYNCH THOMAS J,Director,2021-08-05,Option Exercise,66.74,"100,000","6,674,000","208,177",Aug 06 04:10 PM
LYNCH THOMAS J,Director,2021-08-05,Sale,148.31,"100,000","14,830,549","108,177",Aug 06 04:10 PM
CURTIN TERRENCE R,Chief Exec. Officer & Director,2021-08-03,Option Exercise,65.95,"111,900","7,379,805","166,869",Aug 04 04:20 PM
CURTIN TERRENCE R,Chief Exec. Officer & Director,2021-08-03,Sale,148.65,"111,900","16,634,101","54,969",Aug 04 04:20 PM
Stucki Aaron Kyle,Pres. Communications Solutions,2021-08-02,Option Exercise,65.95,"14,900","982,655","26,796",Aug 03 04:36 PM
Stucki Aaron Kyle,Pres. Communications Solutions,2021-08-02,Sale,150.0,"14,900","2,235,000","11,896",Aug 03 04:36 PM
