Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Mulligan John J,Executive Officer,2022-06-17,Sale,139.98,"45,490","6,367,896","157,333",Jun 22 03:59 PM
Kremer Melissa K,Executive Officer,2022-04-20,Sale,250.0,"8,602","2,150,500","9,909",Apr 22 06:14 PM
SANDO JILL,Executive Officer,2022-04-20,Sale,250.0,"2,000","500,000","25,207",Apr 22 06:14 PM
SYLVESTER CARA A,Executive Officer,2022-04-20,Sale,250.0,"2,030","507,500","7,891",Apr 22 06:14 PM
LIU DON H,Executive Officer,2022-04-18,Sale,240.0,"8,500","2,040,000","51,759",Apr 19 05:37 PM
LIU DON H,Executive Officer,2022-04-08,Sale,233.0,"8,500","1,980,500","60,259",Apr 11 08:01 PM
LIU DON H,Executive Officer,2022-04-07,Sale,219.0,"18,674","4,089,606",0,Apr 11 08:01 PM
FIDDELKE MICHAEL J,Executive Officer,2022-04-04,Sale,210.19,"5,000","1,050,950","31,130",Apr 05 06:02 PM
BAKER DOUGLAS M JR,Director,2022-03-30,Option Exercise,67.12,"5,570","373,858","34,565",Mar 31 03:44 PM
BOYLAN KATIE M,Executive Officer,2022-03-22,Sale,223.71,"3,617","809,159","8,738",Mar 23 04:46 PM
Mulligan John J,Executive Officer,2022-03-18,Sale,221.62,"29,462","6,529,500","159,265",Mar 21 06:49 PM
Cornell Brian C,Executive Officer,2022-03-16,Sale,216.35,"30,000","6,490,468","179,064",Mar 17 08:16 PM
HARRISON ROBERT M,Chief Accounting Officer,2022-03-16,Sale,217.87,"2,080","453,165","4,109",Mar 17 08:16 PM
Mulligan John J,Executive Officer,2021-12-17,Sale,223.6,"28,918","6,466,007","182,419",Dec 20 04:47 PM
Cornell Brian C,Executive Officer,2021-12-02,Sale,244.72,"30,000","7,341,593","189,998",Dec 06 06:11 PM
SANDO JILL,Executive Officer,2021-11-24,Option Exercise,60.48,"3,186","192,689","25,848",Nov 29 06:48 PM
SANDO JILL,Executive Officer,2021-11-24,Sale,247.61,"3,186","788,885","22,662",Nov 29 06:48 PM
Gomez Richard H.,Executive Officer,2021-11-19,Option Exercise,55.6,"44,183","2,456,575","119,987",Nov 22 07:50 PM
HENNINGTON CHRISTINA,Executive Officer,2021-11-19,Sale,250.95,"4,173","1,047,214","19,636",Nov 22 07:50 PM
Gomez Richard H.,Executive Officer,2021-11-19,Sale,250.95,"22,242","5,581,630","97,745",Nov 22 07:50 PM
Cornell Brian C,Executive Officer,2021-09-02,Sale,245.98,"25,000","6,149,467","195,563",Sep 03 03:33 PM
Mulligan John J,Executive Officer,2021-08-19,Sale,247.2,"80,782","19,969,553","211,012",Aug 20 03:50 PM
LIU DON H,Executive Officer,2021-08-06,Sale,261.93,"3,000","785,790","62,017",Aug 09 04:46 PM
LIU DON H,Executive Officer,2021-08-04,Sale,261.2,"13,977","3,650,792","65,017",Aug 05 04:08 PM
LIU DON H,Executive Officer,2021-07-16,Sale,253.9,"13,985","3,550,792","78,994",Jul 20 03:17 PM
