Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
GOODWIN C KIM,Director,2022-06-07,Option Exercise,0.0,"1,316",0,"5,449",Jun 09 06:01 PM
HINES MICHAEL F,Director,2022-06-07,Option Exercise,0.0,"1,316",0,"2,840",Jun 09 06:00 PM
CHING DAVID T,Director,2022-06-07,Option Exercise,0.0,"1,316",0,"19,635",Jun 09 06:00 PM
Abdalla Zein,Director,2022-06-07,Option Exercise,0.0,"25,594",0,"32,004",Jun 09 06:00 PM
BERKERY ROSEMARY T,Director,2022-06-07,Option Exercise,0.0,"1,316",0,"8,908",Jun 09 06:00 PM
LANE AMY B,Director,2022-06-07,Option Exercise,0.0,658,0,"29,731",Jun 09 06:00 PM
OBRIEN JOHN F,Director,2022-06-07,Option Exercise,0.0,"1,316",0,"130,751",Jun 09 06:00 PM
Sherr Richard,"SEVP, Group President",2022-06-03,Sale,62.25,"46,997","2,925,563","104,127",Jun 06 05:00 PM
Canestrari Kenneth,SEVP - Group President,2022-05-19,Sale,61.04,"35,827","2,186,927","160,899",May 20 05:00 PM
Goldenberg Scott,"SEVP, CFO",2022-05-19,Sale,62.03,"30,000","1,860,891","119,127",May 20 05:00 PM
Herrman Ernie,CEO & President,2021-12-08,Sale,74.18,"40,000","2,967,124","592,250",Dec 09 05:00 PM
Herrman Ernie,CEO & President,2021-12-03,Option Exercise,29.85,"58,460","1,745,031","693,734",Dec 06 06:00 PM
Herrman Ernie,CEO & President,2021-11-19,Option Exercise,29.85,"30,000","895,500","683,274",Nov 22 06:01 PM
Herrman Ernie,CEO & President,2021-11-19,Sale,71.59,"18,000","1,288,615","635,274",Nov 22 06:01 PM
MEYROWITZ CAROL,Executive Chairman,2021-08-20,Sale,74.07,"72,546","5,373,156","261,875",Aug 24 05:50 PM
Goldenberg Scott,"SEVP, CFO",2021-08-19,Option Exercise,36.6,"13,026","476,817","145,897",Aug 20 05:00 PM
Goldenberg Scott,"SEVP, CFO",2021-08-19,Sale,72.98,"39,643","2,893,225","93,228",Aug 20 05:00 PM
