Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
KIRKLAND JAMES A,Senior Vice President,2022-05-23,Sale,66.92,"5,612","375,583","72,544",May 25 03:41 PM
Sweet Thomas W,Director,2022-05-20,Buy,64.25,600,"38,550","3,682",May 23 04:23 PM
PAINTER ROBERT G,President & CEO,2022-05-16,Option Exercise,0.0,"40,422",0,"149,267",May 18 05:51 PM
Langley James Joel,Sr. Vice President,2022-05-16,Option Exercise,0.0,"7,857",0,"15,736",May 18 05:45 PM
Large Peter,Senior Vice President,2022-05-16,Option Exercise,0.0,"1,726",0,"2,687",May 18 05:40 PM
KOTZABASAKIS MANOLIS E,Senior Vice President,2022-05-16,Option Exercise,0.0,"13,884",0,"63,016",May 18 05:33 PM
KIRKLAND JAMES A,Senior Vice President,2022-05-16,Option Exercise,0.0,"7,631",0,"80,610",May 18 05:28 PM
Bisio Ronald,Sr. Vice President,2022-05-16,Option Exercise,0.0,"7,857",0,"60,937",May 18 05:22 PM
Shepard Julie A,Vice President Finance,2022-05-16,Option Exercise,0.0,"2,945",0,"42,326",May 18 05:11 PM
Barnes David G,CFO,2022-05-16,Option Exercise,0.0,"15,126",0,"20,767",May 18 05:02 PM
MATTHEWS DARRYL R,SVP & Sector Head,2022-05-16,Option Exercise,0.0,"7,857",0,"43,206",May 18 04:55 PM
PEEK MARK S,Director,2022-05-12,Option Exercise,0.0,"3,436",0,"67,198",May 16 04:38 PM
MacQuillan Sandra,Director,2022-05-12,Option Exercise,0.0,"3,436",0,"9,827",May 16 04:16 PM
Sweet Thomas W,Director,2022-05-12,Option Exercise,0.0,"1,382",0,"2,882",May 16 04:59 PM
Dalton James Calvin,Director,2022-05-12,Option Exercise,0.0,"3,436",0,"3,436",May 16 03:55 PM
Gabriel Kaigham,Director,2022-05-12,Option Exercise,0.0,"3,436",0,"18,447",May 16 04:09 PM
Fandozzi Ann,Director,2022-05-12,Option Exercise,0.0,"2,682",0,"2,682",May 16 03:59 PM
Lloyd Meaghan,Director,2022-05-12,Option Exercise,0.0,"3,436",0,"37,800",May 16 03:51 PM
Sweet Thomas W,Director,2022-05-12,Buy,61.97,200,"12,394","3,082",May 16 04:59 PM
Sweet Thomas W,Director,2022-05-09,Buy,62.28,"1,500","93,425","3,082",May 16 05:50 PM
Langley James Joel,Sr. Vice President,2022-04-18,Option Exercise,67.47,"1,852","124,954","9,192",Apr 20 01:19 PM
PAINTER ROBERT G,President & CEO,2022-04-01,Sale,72.63,"1,700","123,471","119,403",Apr 05 04:40 PM
KOTZABASAKIS MANOLIS E,Senior Vice President,2022-03-15,Option Exercise,66.22,"3,867","256,073","55,020",Mar 17 04:14 PM
KIRKLAND JAMES A,Senior Vice President,2022-03-15,Option Exercise,66.22,"2,509","166,146","75,182",Mar 17 04:06 PM
Langley James Joel,Sr. Vice President,2022-03-15,Option Exercise,66.22,"3,171","209,984","8,311",Mar 17 04:07 PM
Barnes David G,CFO,2022-03-15,Option Exercise,66.22,"3,867","256,073","10,269",Mar 17 04:10 PM
MATTHEWS DARRYL R,SVP & Sector Head,2022-03-15,Option Exercise,66.22,"3,397","224,949","39,221",Mar 17 04:03 PM
Bisio Ronald,Sr. Vice President,2022-03-15,Option Exercise,66.22,"2,900","192,038","55,424",Mar 17 03:58 PM
Shepard Julie A,Vice President Finance,2022-03-15,Option Exercise,66.22,"1,497","99,131","40,198",Mar 17 03:56 PM
PAINTER ROBERT G,President & CEO,2022-03-15,Option Exercise,66.22,"10,273","680,278","125,613",Mar 17 06:46 PM
Bisio Ronald,Sr. Vice President,2022-03-11,Option Exercise,25.29,"2,660","67,271","55,184",Mar 15 03:26 PM
Bisio Ronald,Sr. Vice President,2022-03-11,Sale,65.98,"2,660","175,507","52,524",Mar 15 03:26 PM
KOTZABASAKIS MANOLIS E,Senior Vice President,2022-02-21,Option Exercise,0.0,"9,341",0,"55,595",Feb 23 04:10 PM
