Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
HEYMAN WILLIAM H,Vice Chairman,2022-05-31,Option Exercise,126.18,"10,000","1,261,800","261,605",Jun 01 04:17 PM
HEYMAN WILLIAM H,Vice Chairman,2022-05-31,Sale,178.62,"10,000","1,786,250","251,605",Jun 01 04:17 PM
HEYMAN WILLIAM H,Vice Chairman,2022-05-27,Option Exercise,118.78,"5,500","653,290","257,105",May 31 04:23 PM
HEYMAN WILLIAM H,Vice Chairman,2022-05-27,Sale,176.68,"5,500","971,750","251,605",May 31 04:23 PM
HEYMAN WILLIAM H,Vice Chairman,2022-05-17,Option Exercise,118.78,"3,000","356,340","254,605",May 19 04:09 PM
HEYMAN WILLIAM H,Vice Chairman,2022-05-17,Sale,177.25,"3,000","531,750","251,605",May 19 04:09 PM
BESSETTE ANDY F,EVP and Chief Admin Officer,2022-05-13,Option Exercise,126.18,"20,000","2,523,600","34,228",May 16 06:29 PM
Klein Michael Frederick,"EVP & President, Personal Ins.",2022-05-13,Option Exercise,106.03,"10,000","1,060,300","19,107",May 16 06:31 PM
Klein Michael Frederick,"EVP & President, Personal Ins.",2022-05-13,Sale,172.78,"10,000","1,727,789","9,107",May 16 06:31 PM
BESSETTE ANDY F,EVP and Chief Admin Officer,2022-05-13,Sale,173.32,"20,000","3,466,418","14,228",May 16 06:29 PM
Kurtzman Diane,EVP & Chief HR Officer,2022-05-03,Option Exercise,80.35,"2,671","214,615","4,406",May 05 04:04 PM
Kurtzman Diane,EVP & Chief HR Officer,2022-05-03,Sale,172.74,"2,671","461,389","1,735",May 05 04:04 PM
Frey Daniel S.,EVP & Chief Financial Officer,2022-04-21,Option Exercise,119.35,"16,710","1,994,284","22,350",Apr 22 04:06 PM
HEYMAN WILLIAM H,Vice Chairman,2022-04-21,Option Exercise,118.78,"3,013","357,884","254,618",Apr 22 04:09 PM
Klein Michael Frederick,"EVP & President, Personal Ins.",2022-04-21,Option Exercise,106.03,"10,000","1,060,300","19,107",Apr 22 04:11 PM
Klein Michael Frederick,"EVP & President, Personal Ins.",2022-04-21,Sale,177.92,"10,000","1,779,232","9,107",Apr 22 04:11 PM
HEYMAN WILLIAM H,Vice Chairman,2022-04-21,Sale,179.19,"3,013","539,902","251,605",Apr 22 04:09 PM
Frey Daniel S.,EVP & Chief Financial Officer,2022-04-21,Sale,177.81,"16,710","2,971,150","5,640",Apr 22 04:06 PM
