Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
JAMISON CYNTHIA T,Director,2022-05-18,Sale,207.62,"7,150","1,484,483","17,130",May 20 04:10 PM
JAMISON CYNTHIA T,Director,2022-05-12,Sale,195.1,"5,200","1,014,522","24,280",May 13 04:07 PM
Lawton III Harry A,President & CEO,2022-02-10,Sale,222.35,"20,049","4,457,955","74,964",Feb 11 04:25 PM
Yankee Colin,EVP Supply Chain,2022-02-08,Sale,217.94,"1,213","264,361","7,397",Feb 08 07:26 PM
Yankee Colin,EVP Supply Chain,2022-02-07,Option Exercise,90.51,"6,214","562,413","12,830",Feb 08 07:26 PM
Yankee Colin,EVP Supply Chain,2022-02-07,Sale,217.64,"6,659","1,449,265","8,610",Feb 08 07:26 PM
Yankee Colin,EVP Supply Chain,2022-02-03,Option Exercise,143.18,"2,323","332,607","11,913",Feb 07 06:09 PM
Yankee Colin,EVP Supply Chain,2022-02-03,Sale,219.42,"2,323","509,713","9,590",Feb 07 06:09 PM
Barton Kurt D,EVP Chief Financial Officer,2021-11-16,Sale,225.0,"4,822","1,084,950","32,886",Nov 18 06:36 PM
Mills Robert D,EVP Chief Technology Officer,2021-10-29,Option Exercise,79.14,"10,532","833,505","20,586",Nov 02 06:12 PM
Mills Robert D,EVP Chief Technology Officer,2021-10-29,Sale,215.0,"11,844","2,546,460","15,586",Nov 02 06:12 PM
Kersey Melissa,EVP Chief HR Officer,2021-10-26,Sale,210.01,850,"178,508","3,874",Oct 28 08:04 PM
Barton Kurt D,EVP Chief Financial Officer,2021-09-13,Sale,205.37,"3,527","724,340","38,708",Sep 15 06:30 PM
Ordus John P,EVP Chief Stores Officer,2021-09-10,Option Exercise,69.16,"17,258","1,193,480","20,523",Sep 14 07:34 PM
Ordus John P,EVP Chief Stores Officer,2021-09-10,Sale,205.0,"1,069","219,145",235,Sep 14 07:34 PM
Ordus John P,EVP Chief Stores Officer,2021-09-10,Sale,205.0,"19,429","3,982,945","8,750",Sep 14 07:34 PM
Estep Jonathan S,EVP - CMO,2021-08-20,Sale,198.0,"1,514","299,772",118,Aug 24 05:24 PM
Estep Jonathan S,EVP - CMO,2021-08-20,Sale,198.0,"3,786","749,628","9,455",Aug 24 05:24 PM
