Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Tu Amy,EVP&Chief Legal Officer,2022-05-11,Sale,90.3,"3,346","302,130","51,381",May 12 11:25 AM
White Noel W,Director,2022-03-17,Sale,87.19,"22,540","1,965,348","38,781",Mar 21 10:45 AM
Miller Shane,Group President Fresh Meats,2022-03-03,Option Exercise,42.26,"4,000","169,040","26,540",Mar 04 04:39 PM
Miller Shane,Group President Fresh Meats,2022-03-03,Sale,96.0,"5,050","484,790","22,540",Mar 04 04:39 PM
Nichol Jason,Chief Customer Officer,2022-02-11,Option Exercise,59.18,"8,470","501,276","14,359",Feb 14 05:41 PM
Nichol Jason,Chief Customer Officer,2022-02-11,Sale,98.08,"11,395","1,117,579","7,751",Feb 14 05:41 PM
Bray David R.,Group President Poultry,2022-02-11,Sale,98.28,"2,925","287,468","10,511",Feb 14 05:35 PM
Miller Shane,Group President Fresh Meats,2022-02-10,Option Exercise,42.26,"3,900","164,814","27,490",Feb 14 05:40 PM
Miller Shane,Group President Fresh Meats,2022-02-10,Sale,99.0,"3,900","386,100","23,590",Feb 14 05:40 PM
White Noel W,Director,2022-02-09,Sale,99.21,"50,305","4,990,993","61,321",Feb 11 08:22 AM
TYSON JOHN H,Chairman of the Board,2021-12-21,Option Exercise,19.36,"60,600","1,173,216","2,686,590",Dec 21 06:42 PM
TYSON JOHN H,Chairman of the Board,2021-12-20,Option Exercise,19.36,"100,000","1,936,000","2,725,990",Dec 21 06:42 PM
TYSON JOHN H,Chairman of the Board,2021-12-20,Sale,84.85,"100,000","8,484,940","2,625,990",Dec 21 06:42 PM
Thurber Robert C.,Director,2021-12-16,Sale,86.7,"3,000","260,100","46,760",Dec 17 09:46 AM
White Noel W,Director,2021-12-14,Sale,86.04,"22,500","1,935,792","98,410",Dec 14 02:10 PM
TYSON JOHN H,Chairman of the Board,2021-11-29,Option Exercise,0.0,"54,942",0,"2,659,579",Dec 01 05:30 PM
O'Mara Noelle,Group President Prepared Foods,2021-11-29,Option Exercise,0.0,"2,842",0,"34,341",Dec 01 05:29 PM
Spradley Jay Scott,EVP&Chf Technology&Automation,2021-11-29,Option Exercise,0.0,"12,315",0,"44,238",Dec 01 05:29 PM
Thomas Phillip W,"VP, Controller & CAO",2021-11-29,Option Exercise,0.0,829,0,"15,422",Dec 01 05:29 PM
Tu Amy,EVP&Chief Legal Officer,2021-11-29,Option Exercise,0.0,"13,262",0,"60,354",Dec 01 05:30 PM
Miller Shane,Group President Fresh Meats,2021-11-29,Option Exercise,0.0,"2,842",0,"24,638",Dec 01 05:28 PM
Nichol Jason,Chief Customer Officer,2021-11-29,Option Exercise,0.0,"2,842",0,"11,496",Dec 01 05:28 PM
Bray David R.,Group President Poultry,2021-11-29,Option Exercise,0.0,"2,842",0,"14,241",Dec 01 05:27 PM
Glendinning Stewart,EVP & Chief Financial Officer,2021-11-29,Option Exercise,0.0,"17,998",0,"62,169",Dec 01 05:27 PM
White Noel W,Director,2021-11-29,Option Exercise,0.0,"52,101",0,"150,510",Dec 21 06:43 PM
White Noel W,Director,2021-11-23,Sale,83.01,"6,000","498,060","11,279",Nov 23 05:36 PM
Langholz Christopher Lynn,President International,2021-11-23,Sale,83.0,"6,014","499,162","55,948",Nov 23 05:31 PM
White Noel W,Director,2021-10-26,Sale,82.9,"30,000","2,486,972","127,001",Oct 28 12:26 PM
Banister Gaurdie E. JR.,Director,2021-08-13,Sale,82.28,"20,095","1,653,453","24,056",Aug 17 02:01 PM
Thurber Robert C.,Director,2021-08-10,Sale,78.82,"10,696","843,091","49,242",Aug 12 10:55 AM
