Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Gebo Kate,EVP HR and Labor Relations,2021-08-31,Option Exercise,0.0,286,0,"26,392",Mar 02 09:33 PM
Jojo Linda P,"EVP, Tech & Chief Digital Ofcr",2021-06-14,Option Exercise,0.0,"2,149",0,"68,354",Jun 15 05:30 PM
Hart Brett J,President,2021-06-14,Option Exercise,0.0,"3,224",0,"107,458",Jun 15 05:30 PM
Roitman Jonathan,EVP & COO,2021-06-14,Sale,36.85,"13,939","513,667","13,938",Jun 15 05:30 PM
SHAPIRO EDWARD,Director,2021-06-13,Buy,37.69,"50,000","1,884,465","100,000",Jun 15 05:30 PM
SHAPIRO EDWARD,Director,2021-06-03,Buy,44.21,"25,000","1,105,355","50,000",Jun 06 05:30 PM
SHAPIRO EDWARD,Director,2021-06-02,Buy,45.2,"25,000","1,129,918","25,000",Jun 06 05:30 PM
KENNY CHRIS,Vice President & Controller,2021-05-31,Sale,47.88,"9,700","464,436","19,605",Jun 01 05:30 PM
Enqvist Torbjorn J,EVP & Chief Customer Officer,2021-04-22,Sale,51.33,"8,900","456,837","19,190",Apr 25 06:00 PM
Jojo Linda P,"EVP, Tech & Chief Digital Ofcr",2021-02-28,Option Exercise,0.0,"18,227",0,"74,271",Mar 02 06:57 PM
Roitman Jonathan,EVP & COO,2021-02-28,Option Exercise,0.0,"10,338",0,"32,449",Mar 02 06:57 PM
KENNY CHRIS,Vice President & Controller,2021-02-28,Option Exercise,0.0,"5,081",0,"30,815",Mar 02 06:53 PM
Hart Brett J,President,2021-02-28,Option Exercise,0.0,"39,900",0,"121,901",Mar 02 06:52 PM
Enqvist Torbjorn J,EVP & Chief Customer Officer,2021-02-28,Option Exercise,0.0,"7,235",0,"30,930",Mar 02 06:51 PM
Nocella Andrew P,EVP & Chief Commercial Officer,2021-02-28,Option Exercise,0.0,"15,885",0,"60,086",Mar 02 06:44 PM
LADERMAN GERALD,EVP and CFO,2021-02-28,Option Exercise,0.0,"18,446",0,"110,696",Mar 02 06:42 PM
KIRBY J SCOTT,Chief Executive Officer,2021-02-28,Option Exercise,0.0,"83,439",0,"328,207",Mar 02 06:38 PM
Gebo Kate,EVP HR and Labor Relations,2021-02-28,Option Exercise,0.0,"5,469",0,"31,734",Mar 02 09:33 PM
Gebo Kate,EVP HR and Labor Relations,2021-02-28,Option Exercise,0.0,"14,496",0,"64,564",Mar 02 09:33 PM
Roitman Jonathan,EVP & COO,2020-09-14,Option Exercise,0.0,"1,418",0,"1,418",Sep 16 06:30 PM
Roitman Jonathan,EVP & COO,2020-09-14,Sale,43.94,"3,760","165,218",0,Sep 16 06:30 PM
Hart Brett J,President,2020-09-10,Sale,45.14,"77,777","3,510,776","35,076",Sep 10 07:00 PM
Hart Brett J,President,2020-08-31,Option Exercise,0.0,"5,310",0,"115,195",Sep 02 06:37 PM
LADERMAN GERALD,EVP and CFO,2020-08-31,Option Exercise,0.0,"7,809",0,"59,008",Sep 02 06:29 PM
Jojo Linda P,"EVP, Tech & Chief Digital Ofcr",2020-08-31,Option Exercise,0.0,"7,957",0,"26,329",Sep 02 06:29 PM
Nocella Andrew P,EVP & Chief Commercial Officer,2020-08-31,Option Exercise,0.0,"6,709",0,"17,733",Sep 02 06:27 PM
Enqvist Torbjorn J,EVP & Chief Customer Officer,2020-08-31,Option Exercise,0.0,"2,023",0,"8,042",Sep 02 06:26 PM
KENNY CHRIS,Vice President & Controller,2020-08-31,Option Exercise,0.0,"2,454",0,"13,738",Sep 02 06:24 PM
Gebo Kate,EVP HR and Labor Relations,2020-08-31,Option Exercise,0.0,"1,523",0,"13,446",Sep 02 06:24 PM
Gebo Kate,EVP HR and Labor Relations,2020-08-31,Option Exercise,0.0,"5,606",0,"24,164",Sep 02 06:24 PM
KIRBY J SCOTT,Chief Executive Officer,2020-08-31,Option Exercise,0.0,"28,489",0,"159,387",Sep 02 06:21 PM
