Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Cesarone Nando,"President, US Operations",2022-05-18,Sale,179.23,"19,292","3,457,697","17,505",May 20 04:09 PM
Cesarone Nando,"President, US Operations",2022-05-13,Option Exercise,0.0,"8,693",0,"40,717",May 17 04:28 PM
Gutmann Kathleen M.,"Pres Intl, Healthcare and SCS",2022-05-13,Option Exercise,0.0,"8,693",0,"106,477",May 17 04:28 PM
Gutmann Kathleen M.,"Pres Intl, Healthcare and SCS",2022-03-25,Option Exercise,0.0,273,0,"97,893",Mar 29 04:52 PM
Gilbert Philippe R,"Pres, Supply Chain Solutions",2022-03-03,Sale,215.37,"3,897","839,281",0,Mar 04 04:44 PM
Lane Laura J,"CHF Crp Aff, Com & Sustain Off",2022-02-18,Option Exercise,0.0,"3,474",0,"28,082",Feb 22 06:41 PM
Gilbert Philippe R,"Pres, Supply Chain Solutions",2022-02-18,Option Exercise,0.0,"3,514",0,"20,962",Feb 22 06:40 PM
Gutmann Kathleen M.,Chief Sales & Solutions Off,2022-02-18,Option Exercise,0.0,"37,616",0,"114,571",Feb 22 06:41 PM
Newman Brian,Chief Financial Officer,2022-02-18,Option Exercise,0.0,"5,244",0,"6,698",Feb 22 06:41 PM
Perez Juan R.,Chief Info. & Engineering Off.,2022-02-18,Option Exercise,0.0,"36,449",0,"55,482",Feb 22 06:41 PM
Price Scott A.,"President, UPS International",2022-02-18,Option Exercise,0.0,"53,417",0,"57,728",Feb 22 06:41 PM
Thomas Charlene A,"CHF Diversity, Equity & In Off",2022-02-18,Option Exercise,0.0,"34,759",0,"45,281",Feb 22 06:41 PM
WARREN KEVIN M,Chief Marketing Officer,2022-02-18,Option Exercise,0.0,"41,333",0,"44,975",Feb 22 06:41 PM
Ford Darrell L,Chief Human Resources Officer,2022-02-18,Option Exercise,0.0,"3,167",0,"9,624",Feb 22 06:41 PM
Brothers Norman M. Jr,Chief Legal & Compliance Off,2022-02-18,Option Exercise,0.0,"4,096",0,"59,337",Feb 22 06:40 PM
Cesarone Nando,"President, US Operations",2022-02-18,Option Exercise,0.0,"32,787",0,"46,783",Feb 22 06:40 PM
Gilbert Philippe R,"Pres, Supply Chain Solutions",2022-02-18,Sale,208.85,"11,685","2,440,429","3,897",Feb 22 06:40 PM
Brothers Norman M. Jr,Chief Legal & Compliance Off,2022-02-18,Sale,208.54,"17,360","3,620,304",0,Feb 22 06:40 PM
Lane Laura J,"CHF Crp Aff, Com & Sustain Off",2022-02-18,Sale,208.28,"6,988","1,455,444",0,Feb 22 06:41 PM
Brothers Norman M. Jr,Chief Legal & Compliance Off,2022-02-17,Option Exercise,0.0,"31,622",0,"69,503",Feb 22 06:40 PM
Gilbert Philippe R,"Pres, Supply Chain Solutions",2022-02-17,Option Exercise,0.0,"28,383",0,"30,249",Feb 22 06:40 PM
Lane Laura J,"CHF Crp Aff, Com & Sustain Off",2022-02-17,Option Exercise,0.0,"12,729",0,"30,349",Feb 22 06:41 PM
Perez Juan R.,Chief Info. & Engineering Off.,2022-02-07,Sale,223.54,"12,996","2,905,143","19,209",Feb 09 04:06 PM
Cesarone Nando,"President, US Operations",2022-02-03,Option Exercise,106.62,"7,129","760,064","21,125",Feb 04 04:19 PM
Cesarone Nando,"President, US Operations",2022-02-03,Sale,229.8,"5,384","1,237,257","13,996",Feb 04 04:19 PM
Brothers Norman M. Jr,Chief Legal & Compliance Off,2022-02-02,Option Exercise,104.94,"6,907","724,826","44,788",Feb 04 04:19 PM
Brothers Norman M. Jr,Chief Legal & Compliance Off,2022-02-02,Sale,227.52,"5,677","1,291,637","37,881",Feb 04 04:19 PM
Lane Laura J,"CHF Crp Aff, Com & Sustain Off",2022-01-26,Option Exercise,0.0,752,0,"17,986",Jan 28 07:51 PM
Perez Juan R.,Chief Info. & Engineering Off.,2022-01-26,Option Exercise,0.0,"1,606",0,"32,951",Jan 28 07:52 PM
Thomas Charlene A,"CHF Diversity, Equity & In Off",2022-01-26,Option Exercise,0.0,397,0,"10,737",Jan 28 07:52 PM
Price Scott A.,"President, UPS International",2022-01-26,Option Exercise,0.0,"7,076",0,"7,524",Jan 28 07:52 PM
Brothers Norman M. Jr,Chief Legal & Compliance Off,2022-01-26,Option Exercise,0.0,"1,542",0,"38,599",Jan 28 07:51 PM
Gutmann Kathleen M.,Chief Sales & Solutions Off,2022-01-26,Option Exercise,0.0,"1,540",0,"77,669",Jan 28 07:51 PM
Ford Darrell L,Chief Human Resources Officer,2022-01-05,Option Exercise,0.0,"6,066",0,"6,109",Jan 07 04:10 PM
Price Scott A.,"President, UPS International",2021-08-19,Sale,193.22,"6,600","1,275,231","38,727",Aug 20 04:15 PM
Cesarone Nando,"President, US Operations",2021-08-17,Sale,195.52,"8,224","1,608,038","13,994",Aug 18 04:22 PM
Stokes Russell,Director,2021-08-09,Buy,191.39,100,"19,139",400,Nov 09 04:50 PM
Stokes Russell,Director,2021-08-04,Buy,192.16,300,"57,648",300,Nov 09 04:50 PM
Perez Juan R.,Chief Info. & Engineering Off.,2021-08-02,Sale,191.84,"28,882","5,540,733","31,508",Aug 03 04:22 PM
