Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Clement David P,Senior Vice President,2022-06-07,Sale,165.23,"3,377","557,985","3,970",Jun 08 11:18 AM
Clement David P,Senior Vice President,2022-06-03,Option Exercise,92.02,"2,800","257,656","9,377",Jun 08 11:18 AM
Perkins Jerry F Jr,Senior Vice President,2021-11-23,Sale,199.04,493,"98,127","6,115",Nov 23 05:54 PM
Clement David P,Senior Vice President,2021-11-23,Sale,197.71,"4,000","790,840","5,266",Nov 23 05:53 PM
Perkins Jerry F Jr,Senior Vice President,2021-11-22,Sale,198.37,"2,968","588,757","4,923",Nov 23 05:54 PM
Clement David P,Senior Vice President,2021-11-22,Sale,198.16,"2,743","543,560","1,698",Nov 23 05:53 PM
Perkins Jerry F Jr,Senior Vice President,2021-11-19,Option Exercise,55.41,"1,230","68,154","7,871",Nov 23 05:54 PM
Clement David P,Senior Vice President,2021-11-19,Option Exercise,73.49,"4,380","321,896","11,365",Nov 23 05:53 PM
Teter Jason P,Senior Vice President,2021-11-18,Sale,201.52,"1,390","280,118","11,613",Nov 18 04:33 PM
Teter Jason P,Senior Vice President,2021-11-16,Option Exercise,120.02,"6,168","740,300","13,196",Nov 18 04:33 PM
Bass Stanley G,Chief Strategy Officer,2021-09-01,Option Exercise,103.35,"29,000","2,997,222","23,104",Sep 02 05:59 PM
Bass Stanley G,Chief Strategy Officer,2021-09-01,Sale,185.85,"17,057","3,170,062",0,Sep 03 04:19 PM
Bass Stanley G,Chief Strategy Officer,2021-08-31,Sale,185.52,"33,521","6,218,817",1,Sep 02 05:59 PM
Hill J Thomas,"Chairman, President & CEO",2021-08-31,Sale,186.12,"23,109","4,300,969","29,531",Sep 01 07:56 PM
Hill J Thomas,"Chairman, President & CEO",2021-08-30,Sale,186.48,"69,558","12,971,042","52,640",Sep 01 07:56 PM
Clement David P,Senior Vice President,2021-08-24,Sale,184.34,"3,716","685,007","7,593",Aug 26 04:48 PM
Clement David P,Senior Vice President,2021-08-20,Option Exercise,66.0,"3,600","237,600","12,216",Aug 24 07:40 PM
