Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Bhatia Sangeeta N.,Director,2022-07-29,Sale,278.77,621,"173,116","5,282",Aug 02 04:16 PM
LEIDEN JEFFREY M,Executive Chairman,2022-07-25,Option Exercise,91.05,"60,342","5,494,139","134,502",Jul 27 04:17 PM
LEIDEN JEFFREY M,Executive Chairman,2022-07-25,Sale,281.38,"132,079","37,164,481","2,423",Jul 27 04:17 PM
ALTSHULER DAVID,"EVP, Global Research and CSO",2022-07-19,Option Exercise,174.33,"17,765","3,096,948","53,942",Jul 21 04:48 PM
ALTSHULER DAVID,"EVP, Global Research and CSO",2022-07-19,Sale,288.65,"17,865","5,156,730","36,077",Jul 21 04:48 PM
Kewalramani Reshma,CEO & President,2022-06-24,Sale,291.3,"11,689","3,405,006","111,153",Jun 28 04:05 PM
Sanna Bastiano,"EVP, Cell & Genetic Therapies",2022-05-16,Sale,252.83,45,"11,377","41,749",May 18 04:22 PM
Arbuckle Stuart A,"EVP, COO",2022-05-16,Sale,251.19,133,"33,408","64,760",May 18 04:21 PM
Liu Joy,"SVP, General Counsel",2022-05-16,Sale,252.88,133,"33,633","14,334",May 18 04:18 PM
Sanna Bastiano,"EVP, Cell & Genetic Therapies",2022-05-04,Sale,275.09,36,"9,903","41,660",May 06 04:05 PM
Arbuckle Stuart A,"EVP, COO",2022-05-02,Sale,263.98,306,"80,778","64,760",May 04 05:21 PM
Sanna Bastiano,"EVP, Cell & Genetic Therapies",2022-05-02,Sale,259.16,320,"82,930","41,696",May 04 05:10 PM
Bhatia Sangeeta N.,Director,2022-05-02,Sale,258.94,737,"190,842","5,903",May 04 05:09 PM
WAGNER CHARLES F JR,EVP & Chief Financial Officer,2022-05-02,Sale,258.83,343,"88,778","42,730",May 04 05:07 PM
Liu Joy,"SVP, General Counsel",2022-04-29,Sale,275.41,120,"33,049","14,334",May 03 04:28 PM
Ambrose Kristen,SVP & Chief Accounting Officer,2022-04-25,Sale,269.55,327,"88,143","3,496",Apr 27 04:05 PM
Lee Yuchun,Director,2022-04-18,Option Exercise,81.54,"2,000","163,080","3,875",Apr 20 04:05 PM
Lee Yuchun,Director,2022-04-18,Sale,284.23,"2,000","568,467","1,875",Apr 20 04:05 PM
Lee Yuchun,Director,2022-04-14,Option Exercise,81.54,"2,000","163,080","3,875",Apr 18 04:05 PM
Lee Yuchun,Director,2022-04-14,Sale,289.06,"2,000","578,117","1,875",Apr 18 04:05 PM
Lee Yuchun,Director,2022-04-13,Option Exercise,81.54,"2,000","163,080","3,875",Apr 14 04:35 PM
LEIDEN JEFFREY M,Executive Chairman,2022-04-13,Sale,289.04,"15,789","4,563,653","74,160",Apr 14 04:35 PM
Lee Yuchun,Director,2022-04-13,Sale,287.5,"2,000","575,010","1,875",Apr 14 04:35 PM
Lee Yuchun,Director,2022-04-12,Option Exercise,81.54,"2,000","163,080","3,875",Apr 14 04:35 PM
Lee Yuchun,Director,2022-04-12,Sale,281.03,"2,000","562,051","1,875",Apr 14 04:35 PM
Lee Yuchun,Director,2022-04-11,Option Exercise,81.54,"2,000","163,080","3,875",Apr 12 04:07 PM
Lee Yuchun,Director,2022-04-11,Sale,280.3,"2,000","560,599","1,875",Apr 12 04:07 PM
MCGLYNN MARGARET G,Director,2022-04-08,Option Exercise,127.54,"5,000","637,700","6,099",Apr 12 04:05 PM
Bhatia Sangeeta N.,Director,2022-04-08,Option Exercise,125.71,"1,907","239,729","7,098",Apr 12 04:05 PM
Lee Yuchun,Director,2022-04-08,Option Exercise,81.54,"2,000","163,080","3,875",Apr 12 04:07 PM
Lee Yuchun,Director,2022-04-08,Sale,278.57,"2,000","557,141","1,875",Apr 12 04:07 PM
Bhatia Sangeeta N.,Director,2022-04-08,Sale,280.2,"1,907","534,341","5,191",Apr 12 04:05 PM
MCGLYNN MARGARET G,Director,2022-04-08,Sale,280.22,"5,000","1,401,080","1,099",Apr 12 04:05 PM
Lee Yuchun,Director,2022-04-07,Option Exercise,81.54,"2,000","163,080","3,875",Apr 08 05:57 PM
Lee Yuchun,Director,2022-04-07,Sale,274.86,"2,000","549,720","1,875",Apr 08 05:57 PM
Sanna Bastiano,"EVP, Cell & Genetic Therapies",2022-04-07,Sale,276.18,561,"154,935","42,782",Apr 08 04:34 PM
Lee Yuchun,Director,2022-04-06,Option Exercise,81.54,"2,000","163,080","3,875",Apr 08 05:57 PM
Lee Yuchun,Director,2022-04-06,Sale,271.62,"2,000","543,243","1,875",Apr 08 05:57 PM
Lee Yuchun,Director,2022-04-05,Option Exercise,81.54,"2,000","163,080","3,875",Apr 06 04:59 PM
Sanna Bastiano,"EVP, Cell & Genetic Therapies",2022-04-05,Sale,275.23,"3,163","870,552","43,343",Apr 06 05:02 PM
Lee Yuchun,Director,2022-04-05,Sale,272.5,"2,000","544,993","1,875",Apr 06 04:59 PM
Lee Yuchun,Director,2022-04-04,Option Exercise,81.54,"2,000","163,080","3,875",Apr 06 04:59 PM
Lee Yuchun,Director,2022-04-04,Sale,267.72,"2,000","535,431","1,875",Apr 06 04:59 PM
Sanna Bastiano,"EVP, Cell & Genetic Therapies",2022-04-04,Sale,267.71,562,"150,452","46,506",Apr 06 05:02 PM
WAGNER CHARLES F JR,EVP & Chief Financial Officer,2022-04-01,Sale,264.76,"2,582","683,602","43,620",Apr 05 04:06 PM
MCGLYNN MARGARET G,Director,2022-03-31,Option Exercise,127.54,"5,000","637,700","6,099",Apr 04 04:05 PM
MCGLYNN MARGARET G,Director,2022-03-31,Sale,262.27,"5,000","1,311,346","1,099",Apr 04 04:05 PM
Tatsis Ourania,"EVP, Chief Reg. & Quality Off.",2022-03-17,Sale,250.11,"2,833","708,572","47,356",Mar 21 04:15 PM
WAGNER CHARLES F JR,EVP & Chief Financial Officer,2022-03-17,Sale,250.15,"3,171","793,218","46,202",Mar 21 04:12 PM
Sanna Bastiano,"EVP, Cell & Genetic Therapies",2022-03-17,Sale,250.06,"2,122","530,627","48,412",Mar 21 04:10 PM
Tatsis Ourania,"EVP, Chief Reg. & Quality Off.",2022-02-25,Sale,230.95,325,"75,058","50,189",Feb 28 05:27 PM
Tatsis Ourania,"EVP, Chief Reg. & Quality Off.",2022-02-18,Sale,231.0,519,"119,889","53,104",Feb 22 05:03 PM
ALTSHULER DAVID,"EVP, Global Research and CSO",2022-02-18,Sale,230.97,"4,312","995,949","49,687",Feb 22 04:51 PM
ALTSHULER DAVID,"EVP, Global Research and CSO",2022-02-14,Sale,232.02,"2,444","567,057","57,438",Feb 16 04:05 PM
ALTSHULER DAVID,"EVP, Global Research and CSO",2022-02-11,Sale,235.02,"2,297","539,837","59,882",Feb 14 04:11 PM
ALTSHULER DAVID,"EVP, Global Research and CSO",2022-02-02,Option Exercise,86.52,"4,660","403,183","70,357",Feb 03 04:06 PM
ALTSHULER DAVID,"EVP, Global Research and CSO",2022-02-02,Sale,251.47,"4,660","1,171,842","65,697",Feb 03 04:06 PM
WAGNER CHARLES F JR,EVP & Chief Financial Officer,2022-02-02,Sale,250.07,"2,944","736,206","57,435",Feb 03 04:29 PM
Sanna Bastiano,"EVP, Cell & Genetic Therapies",2022-02-02,Sale,250.98,"1,040","261,017","54,952",Feb 03 04:26 PM
MCGLYNN MARGARET G,Director,2022-01-28,Option Exercise,127.54,"5,000","637,700","6,099",Feb 01 04:09 PM
MCGLYNN MARGARET G,Director,2022-01-28,Sale,241.79,"5,000","1,208,960","1,099",Feb 01 04:09 PM
Sachdev Amit,"EVP, Chief Patient Officer",2021-11-15,Sale,187.19,51,"9,547","31,928",Nov 16 04:07 PM
Arbuckle Stuart A,"EVP, COO",2021-11-15,Sale,187.26,3,562,"41,103",Nov 16 04:05 PM
ALTSHULER DAVID,"EVP, Global Research and CSO",2021-11-15,Sale,187.22,34,"6,365","33,589",Nov 16 04:04 PM
Kewalramani Reshma,CEO & President,2021-08-19,Buy,195.65,"10,000","1,956,492","73,754",Aug 23 08:30 AM
SACHS BRUCE I,Director,2021-08-02,Buy,197.91,"15,000","2,968,650","41,210",Aug 04 04:05 PM
