Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Schweitzer Pascal,"President, Services Group",2022-03-01,Option Exercise,0.0,"1,000",0,"16,477",Mar 03 02:43 PM
Jain Nalin,"President, Equipment Group",2022-03-01,Option Exercise,0.0,666,0,"7,197",Mar 03 02:37 PM
Leroux Lilian,"President, Transit Group",2022-03-01,Option Exercise,0.0,"5,551",0,"9,297",Mar 03 02:27 PM
NEUPAVER ALBERT J,Director,2022-02-22,Sale,96.8,"55,877","5,408,886","638,640",Feb 22 05:40 PM
DeNinno David L,"Exec VP, General Counsel, Sec.",2022-02-18,Sale,95.36,"5,000","476,800","68,645",Feb 18 12:09 PM
Mastalerz John A Jr,"VP Fin., Corp. Controller, CAO",2022-02-18,Sale,95.34,"5,012","477,844","12,148",Feb 22 08:35 AM
Leroux Lilian,"President, Transit Group",2021-12-31,Option Exercise,0.0,625,0,"4,371",Jan 04 12:06 PM
Olin John A,Executive Vice President & CFO,2021-11-30,Buy,91.66,"11,000","1,008,276","22,109",Dec 02 03:07 PM
DeNinno David L,"Exec VP, General Counsel, Sec.",2021-11-19,Sale,95.47,"5,000","477,350","74,515",Nov 22 12:10 PM
Harty Linda S,Director,2021-11-19,Sale,94.15,"5,000","470,750","10,442",Nov 22 12:08 PM
KASSLING WILLIAM E,Director,2021-11-18,Sale,94.5,"100,000","9,450,159","821,654",Nov 19 12:42 PM
Hehir Brian,Director,2021-11-16,Sale,96.0,"1,835","176,160","28,942",Nov 16 03:24 PM
NEUPAVER ALBERT J,Director,2021-11-15,Option Exercise,39.29,"30,800","1,210,209","725,317",Nov 16 03:22 PM
NEUPAVER ALBERT J,Director,2021-11-15,Sale,95.83,"30,800","2,951,678","694,517",Nov 16 03:22 PM
DeNinno David L,"Exec VP, General Counsel, Sec.",2021-08-31,Sale,89.36,"2,533","226,338","79,515",Sep 01 11:20 AM
DeNinno David L,"Exec VP, General Counsel, Sec.",2021-08-30,Sale,89.95,"4,000","359,817","82,048",Sep 01 11:20 AM
DUGAN PATRICK D,EVP & Chief Financial Officer,2021-08-30,Sale,90.02,"17,033","1,533,275","69,516",Sep 01 11:14 AM
HOWELL MICHAEL W D,Director,2021-08-19,Sale,86.39,"4,446","384,106","5,128",Aug 20 04:47 PM
Mastalerz John A Jr,"VP Fin., Corp. Controller, CAO",2021-08-13,Sale,88.42,"2,700","238,734","17,487",Aug 16 12:24 PM
