Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Zamiska Gene M.,SVP & Princ. Acctg Officer,2022-05-04,Sale,63.0,"4,776","300,888","26,719",May 06 04:49 PM
Goeckeler David,Chief Executive Officer,2022-03-09,Option Exercise,0.0,"1,246",0,"369,095",Mar 10 04:55 PM
Sivaram Srinivasan,"President, Tech & Strategy",2022-02-15,Option Exercise,40.63,"11,380","462,369","265,887",Feb 17 04:43 PM
Sivaram Srinivasan,"President, Tech & Strategy",2022-02-15,Sale,53.37,"11,380","607,385","254,507",Feb 17 04:43 PM
Price Paula A,Director,2022-01-31,Sale,51.82,"4,150","215,054","7,545",Feb 01 07:55 PM
Zamiska Gene M.,SVP & Princ. Acctg Officer,2021-11-02,Sale,55.0,"2,607","143,385","31,495",Nov 03 06:47 PM
RAY MICHAEL CHARLES,"EVP, Chief Legal Officer & Sec",2021-09-04,Option Exercise,0.0,183,0,"99,409",Sep 07 06:55 PM
Sivaram Srinivasan,"President, Tech & Strategy",2021-09-04,Option Exercise,0.0,234,0,"258,800",Sep 07 06:55 PM
EULAU ROBERT K,EVP & CFO,2021-09-04,Option Exercise,0.0,234,0,"134,589",Sep 07 06:54 PM
Hunkler Sean,"EVP, Global Operations",2021-09-04,Option Exercise,0.0,112,0,"157,815",Sep 07 06:55 PM
Hunkler Sean,"EVP, Global Operations",2021-08-30,Option Exercise,0.0,"1,246",0,"171,005",Aug 31 07:31 PM
RAY MICHAEL CHARLES,"EVP, Chief Legal Officer & Sec",2021-08-30,Option Exercise,0.0,743,0,"108,013",Aug 31 07:31 PM
Sivaram Srinivasan,"President, Tech & Strategy",2021-08-30,Option Exercise,0.0,"1,153",0,"271,481",Aug 31 07:31 PM
Zamiska Gene M.,SVP & Princ. Acctg Officer,2021-08-12,Option Exercise,0.0,107,0,"28,940",Aug 13 05:34 PM
Sundberg Lori S,EVP & Chief Human Res Officer,2021-08-06,Sale,67.92,"3,380","229,570","62,795",Aug 10 06:02 PM
Sivaram Srinivasan,"President, Tech & Strategy",2021-08-02,Option Exercise,0.0,282,0,"232,793",Aug 04 06:14 PM
RAY MICHAEL CHARLES,"EVP, Chief Legal Officer & Sec",2021-08-02,Option Exercise,0.0,282,0,"85,060",Aug 04 06:13 PM
