Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Russell David Eric,"Vice President, Controller",2022-04-01,Option Exercise,118.53,"4,608","546,186","17,578",Apr 04 02:52 PM
Gibbs David W,Chief Executive Officer,2022-01-14,Option Exercise,45.88,"2,227","102,175","21,393",Jan 19 10:18 AM
Gibbs David W,Chief Executive Officer,2022-01-14,Sale,128.12,"1,433","183,596","19,166",Jan 19 10:18 AM
Gibbs David W,Chief Executive Officer,2021-12-15,Option Exercise,45.88,"2,227","102,175","21,393",Dec 15 12:30 PM
Gibbs David W,Chief Executive Officer,2021-12-15,Sale,132.01,"1,452","191,679","19,166",Dec 15 12:30 PM
GRADDICK WEIR MIRIAN M,Director,2021-11-24,Option Exercise,44.48,"1,894","84,245","1,894",Nov 29 03:45 PM
Gibbs David W,Chief Executive Officer,2021-11-15,Option Exercise,45.88,"2,227","102,175","22,255",Nov 16 10:28 AM
Gibbs David W,Chief Executive Officer,2021-11-15,Sale,125.9,"1,411","177,645","20,028",Nov 16 10:28 AM
Lowings Anthony,CEO-KFC Division,2021-11-09,Option Exercise,45.88,"10,468","480,272","52,078",Nov 10 10:58 AM
Lowings Anthony,CEO-KFC Division,2021-11-09,Sale,126.54,"6,662","843,009","41,610",Nov 10 10:58 AM
Gibbs David W,Chief Executive Officer,2021-10-15,Option Exercise,45.88,"2,227","102,175","22,255",Oct 18 10:07 AM
Gibbs David W,Chief Executive Officer,2021-10-15,Sale,126.19,"1,409","177,802","20,028",Oct 18 10:07 AM
Gibbs David W,Chief Executive Officer,2021-09-15,Option Exercise,45.88,"2,227","102,175","22,255",Sep 16 10:31 AM
Gibbs David W,Chief Executive Officer,2021-09-15,Sale,128.66,"1,434","184,498","20,028",Sep 16 10:31 AM
Gibbs David W,Chief Executive Officer,2021-08-16,Option Exercise,45.88,"2,227","102,175","22,255",Aug 17 01:57 PM
Gibbs David W,Chief Executive Officer,2021-08-16,Sale,134.48,"1,469","197,551","20,028",Aug 17 01:57 PM
Lowings Anthony,CEO-KFC Division,2021-08-11,Option Exercise,45.88,"6,280","288,126","47,890",Aug 12 11:28 AM
Lowings Anthony,CEO-KFC Division,2021-08-11,Sale,133.39,"4,114","548,766","41,610",Aug 12 11:28 AM
King Mark James,CEO - Taco Bell,2021-08-09,Option Exercise,133.2,"4,357","580,352","8,626",Aug 10 02:13 PM
Turner Christopher Lee,Chief Financial Officer,2021-08-09,Option Exercise,133.2,"4,357","580,352","7,437",Aug 10 02:39 PM
NELSON THOMAS C,Director,2021-08-05,Option Exercise,3747.0,"2,833","10,615,251","18,193",Aug 06 04:48 PM
Skeans Tracy L,COO and CPO,2021-07-30,Option Exercise,49.66,"30,417","1,510,508","25,813",Aug 02 09:19 PM
Skeans Tracy L,COO and CPO,2021-07-30,Sale,129.71,"18,824","2,441,573","10,595",Aug 02 09:19 PM
Skeans Tracy L,COO and CPO,2021-07-27,Option Exercise,52.64,"8,455","445,071","19,050",Jul 28 09:30 AM
Skeans Tracy L,COO and CPO,2021-07-27,Sale,125.0,"4,894","611,750","10,595",Jul 28 09:30 AM
Gibbs David W,Chief Executive Officer,2021-07-15,Option Exercise,45.88,"2,227","102,175","22,255",Jul 16 11:05 AM
Gibbs David W,Chief Executive Officer,2021-07-15,Sale,116.81,"1,354","158,161","20,028",Jul 16 11:05 AM
Lowings Anthony,CEO-KFC Division,2021-07-01,Option Exercise,45.88,"4,187","192,100","45,797",Jul 02 03:49 PM
Lowings Anthony,CEO-KFC Division,2021-07-01,Sale,115.49,"2,517","290,688","41,610",Jul 02 03:49 PM
