Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Law Scott A.,Executive Vice President,2022-05-17,Option Exercise,29.02,"1,327","38,510","20,137",May 18 05:38 PM
Law Scott A.,Executive Vice President,2022-05-17,Sale,54.16,713,"38,616","19,424",May 18 05:38 PM
SIMMONS HARRIS H,Chairman & CEO,2022-05-06,Option Exercise,40.91,"13,000","531,830","1,242,034",May 09 07:19 PM
Richards Robert Ryan,Controller,2022-05-03,Option Exercise,0.0,"2,350",0,"5,116",May 05 05:49 PM
Richards Robert Ryan,Controller,2022-05-03,Option Exercise,0.0,"2,350",0,"5,116",May 04 05:24 PM
Abbott James R,Senior Vice President,2022-05-02,Buy,57.03,"10,000","570,348","77,918",May 03 04:54 PM
Abbott James R,Senior Vice President,2022-04-13,Option Exercise,29.02,"3,832","111,205","67,918",Apr 14 05:06 PM
LAURSEN THOMAS E,Executive VP &,2022-02-15,Option Exercise,29.02,"6,269","181,926","29,727",Feb 16 05:02 PM
ANDERSON A SCOTT,Exec VP and,2022-02-14,Option Exercise,29.02,"17,915","519,893","32,205",Feb 16 04:51 PM
ANDERSON A SCOTT,Exec VP and,2022-02-14,Sale,71.85,"30,703","2,206,006","17,735",Feb 16 04:51 PM
Forney Alan M,Exec VP & Division CEO,2022-02-10,Option Exercise,29.02,"2,047","59,404","18,199",Feb 11 04:50 PM
Forney Alan M,Exec VP & Division CEO,2022-02-10,Sale,74.6,"2,047","152,713","16,152",Feb 11 04:50 PM
Forney Alan M,Exec VP & Division CEO,2022-02-04,Option Exercise,29.02,"1,933","56,096","19,311",Feb 07 04:52 PM
Forney Alan M,Exec VP & Division CEO,2022-02-04,Sale,70.63,"3,029","213,945","16,282",Feb 07 04:52 PM
Robinson Rebecca K,Executive Vice President,2022-02-03,Option Exercise,49.52,"11,720","580,374","23,883",Feb 04 04:48 PM
Robinson Rebecca K,Executive Vice President,2022-02-03,Sale,69.52,"15,120","1,051,201","17,763",Feb 04 04:48 PM
SHIREY TERRY ALAN,Executive Vice President &,2021-11-10,Option Exercise,49.46,"8,867","438,537","28,699",Nov 12 07:02 PM
SHIREY TERRY ALAN,Executive Vice President &,2021-11-10,Sale,65.71,"8,867","582,633","19,832",Nov 12 07:02 PM
ANDERSON A SCOTT,Exec VP and,2021-11-08,Sale,65.65,"1,520","99,790","30,043",Nov 09 04:55 PM
Young Mark Richard,Exec VP,2021-11-03,Option Exercise,55.68,"1,262","70,268","11,290",Nov 04 04:21 PM
Young Mark Richard,Exec VP,2021-11-03,Sale,65.0,"1,262","82,030","10,028",Nov 04 04:21 PM
STEPHENS STEVEN DAN,Executive Vice President,2021-11-01,Sale,64.4,"8,000","515,199","52,746",Nov 02 07:33 PM
Young Mark Richard,Exec VP,2021-10-29,Option Exercise,55.68,"1,935","107,741","12,137",Nov 01 06:38 PM
Young Mark Richard,Exec VP,2021-10-29,Sale,63.07,403,"25,418","10,028",Nov 01 06:38 PM
Maio Keith D,EVP - Chief Risk Officer,2021-10-25,Option Exercise,44.0,"6,302","277,267","43,819",Oct 26 06:08 PM
Maio Keith D,EVP - Chief Risk Officer,2021-10-25,Sale,66.25,"11,785","780,786","32,034",Oct 26 06:08 PM
ALEXANDER BRUCE K,Exec VP and,2021-10-25,Sale,66.39,"2,946","195,585","13,657",Oct 26 06:06 PM
