Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1991-04-02,6.875,7.375,6.5625,7.34375,9147200,0,0.0
1991-04-03,7.28125,7.34375,6.875,7.3125,3403200,0,0.0
1991-04-04,7.28125,7.28125,7.09375,7.21875,831200,0,0.0
1991-04-05,7.125,7.1875,7.09375,7.125,457200,0,0.0
1991-04-08,7.0625,7.1875,6.875,7.125,608800,0,0.0
1991-04-09,7.125,7.25,7.125,7.1875,472400,0,0.0
1991-04-10,7.125,7.5,7.125,7.5,781600,0,0.0
1991-04-11,7.75,8.28125,7.75,8.0625,1339200,0,0.0
1991-04-12,8.125,8.25,8.0625,8.15625,468800,0,0.0
1991-04-15,8.21875,8.21875,7.9375,8.0,352800,0,0.0
1991-04-16,7.96875,8.15625,7.78125,8.09375,266400,0,0.0
1991-04-17,8.125,8.125,7.90625,7.9375,246400,0,0.0
1991-04-18,7.96875,8.0625,7.875,8.0,298800,0,0.0
1991-04-19,7.9375,8.0625,7.9375,8.03125,204800,0,0.0
1991-04-22,8.0,8.0625,7.59375,7.59375,388000,0,0.0
1991-04-23,7.71875,7.84375,7.65625,7.8125,256400,0,0.0
1991-04-24,7.84375,8.0625,7.84375,8.03125,254000,0,0.0
1991-04-25,8.09375,8.125,8.0625,8.0625,82400,0,0.0
1991-04-26,8.03125,8.0625,7.875,8.0,106800,0,0.0
1991-04-29,8.1875,8.25,8.125,8.1875,306400,0,0.0
1991-04-30,8.125,8.125,7.75,8.0625,187600,0,0.0
1991-05-01,8.125,8.1875,8.0625,8.1875,196400,0,0.0
1991-05-02,8.125,8.28125,8.125,8.25,155200,0,0.0
1991-05-03,8.25,8.28125,8.125,8.25,85600,0,0.0
1991-05-06,8.1875,8.21875,8.03125,8.15625,55200,0,0.0
1991-05-07,8.21875,8.21875,8.03125,8.03125,138400,0,0.0
1991-05-08,8.0,8.0,7.96875,8.0,102400,0,0.0
1991-05-09,8.0,8.09375,7.96875,8.0625,124400,0,0.0
1991-05-10,8.03125,8.03125,7.9375,7.9375,61600,0,0.0
1991-05-13,7.90625,7.9375,7.78125,7.78125,85600,0,0.0
1991-05-14,7.8125,7.8125,7.4375,7.5,296000,0,0.0
1991-05-15,7.5,7.8125,7.46875,7.65625,165600,0,0.0
1991-05-16,7.6875,7.75,7.625,7.75,116000,0,0.0
1991-05-17,7.6875,7.6875,7.3125,7.46875,864000,0,0.0
1991-05-20,7.5,7.75,7.46875,7.6875,174800,0,0.0
1991-05-21,7.90625,7.96875,7.71875,7.75,235200,0,0.0
1991-05-22,7.78125,7.875,7.75,7.875,53600,0,0.0
1991-05-23,7.875,7.875,7.6875,7.71875,24000,0,0.0
1991-05-24,7.75,7.84375,7.71875,7.8125,62400,0,0.0
1991-05-28,7.75,7.78125,7.625,7.75,46400,0,0.0
1991-05-29,7.78125,7.78125,7.625,7.625,183600,0,0.0
1991-05-30,7.625,7.625,7.4375,7.5625,306400,0,0.0
1991-05-31,7.5625,7.5625,7.46875,7.53125,36800,0,0.0
1991-06-03,7.5,7.6875,7.5,7.6875,257200,0,0.0
1991-06-04,7.71875,7.84375,7.65625,7.84375,110800,0,0.0
1991-06-05,7.84375,8.15625,7.84375,8.15625,266800,0,0.0
1991-06-06,8.125,8.25,8.125,8.15625,105200,0,0.0
1991-06-07,8.15625,8.25,8.125,8.1875,309200,0,0.0
1991-06-10,8.1875,8.34375,8.1875,8.34375,103200,0,0.0
1991-06-11,8.40625,8.4375,8.3125,8.40625,197600,0,0.0
1991-06-12,8.40625,8.4375,8.03125,8.03125,236400,0,0.0
1991-06-13,8.03125,8.03125,7.90625,7.9375,84800,0,0.0
1991-06-14,8.0,8.46875,8.0,8.375,298800,0,0.0
1991-06-17,8.375,8.6875,8.375,8.65625,348800,0,0.0
1991-06-18,8.625,8.6875,8.59375,8.65625,74800,0,0.0
1991-06-19,8.65625,8.65625,8.375,8.375,102400,0,0.0
1991-06-20,8.3125,8.3125,8.21875,8.25,51200,0,0.0
1991-06-21,8.3125,8.375,8.28125,8.3125,192800,0,0.0
1991-06-24,8.25,8.3125,8.09375,8.15625,128800,0,0.0
1991-06-25,8.0625,8.0625,7.90625,7.96875,137600,0,0.0
1991-06-26,7.90625,7.96875,7.8125,7.96875,235600,0,0.0
