Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.6995827045449536,0.6946386694908142,0.6946386694908142,4774,0.0,0.0
1980-03-18,0.0,0.6921665748821284,0.6847504668563391,0.6872225403785706,938038,0.0,0.0
1980-03-19,0.0,0.6872224928222143,0.6773343682289122,0.6773343682289124,202883,0.0,0.0
1980-03-20,0.0,0.6822784706758691,0.6723904013633729,0.6723904013633728,40577,0.0,0.0
1980-03-21,0.0,0.6723904013633729,0.6723904013633729,0.6723904013633728,83540,0.0,0.0
1980-03-24,0.0,0.6822784706758691,0.6674463104366705,0.6723904013633728,398606,0.0,0.0
1980-03-25,0.0,0.6723904013633729,0.6649742931085464,0.6723904013633728,167080,0.0,0.0
1980-03-26,0.0,0.682278115799667,0.6625019311904907,0.6625019311904907,625358,0.0,0.0
1980-03-27,0.0,0.6625015795431746,0.6526135206222534,0.6526135206222534,143212,0.0,0.0
1980-03-28,0.0,0.6674461960792543,0.6600301453655169,0.6674461960792542,451117,0.0,0.0
1980-03-31,0.0,0.6872225403785706,0.6723903805974445,0.6872225403785706,1515659,0.0,0.0
1980-04-01,0.0,0.6971101760864258,0.6822780255244448,0.6971101760864258,386672,0.0,0.0
1980-04-02,0.0,0.7069982902226165,0.6921661397654315,0.7020542025566101,1885623,0.0,0.0
1980-04-03,0.0,0.7144143905883961,0.7069983429420129,0.7119423747062683,69219,0.0,0.0
1980-04-07,0.0,0.7168864064705238,0.7119423747062683,0.7119423747062683,50124,0.0,0.0
1980-04-08,0.0,0.70947064087706,0.6921664665524002,0.6995825171470642,303132,0.0,0.0
1980-04-09,0.0,0.7218304457798667,0.6971101760864258,0.6971101760864258,293584,0.0,0.0
1980-04-10,0.0,0.7218305607654297,0.7069984078407288,0.7069984078407288,195723,0.0,0.0
1980-04-11,0.0,0.7119423747062683,0.7119423747062683,0.7119423747062683,644453,0.0,0.0
1980-04-14,0.0,0.7069984078407288,0.7020543193522107,0.7069984078407288,179015,0.0,0.0
1980-04-15,0.0,0.7168864722769117,0.7069984078407288,0.7069984078407288,880753,0.0,0.0
1980-04-16,0.0,0.7119423747062683,0.7069983429420129,0.7119423747062683,214818,0.0,0.0
1980-04-17,0.0,0.7069982902226165,0.7020542025566101,0.7020542025566101,310292,0.0,0.0
1980-04-18,0.0,0.6971100610214112,0.6921660304069519,0.6921660304069519,35803,0.0,0.0
1980-04-21,0.0,0.6971105532866242,0.6773343605934035,0.6822783946990967,436796,0.0,0.0
1980-04-22,0.0,0.7069982902226165,0.6872221083698422,0.7020542025566101,747088,0.0,0.0
1980-04-23,0.0,0.7119424400588202,0.7020543193522107,0.7069984078407288,1546688,0.0,0.0
1980-04-24,0.0,0.7168867588043213,0.6971105657573219,0.7168867588043213,233913,0.0,0.0
1980-04-25,0.0,0.7119423747062683,0.7069983429420129,0.7119423747062683,40577,0.0,0.0
1980-04-28,0.0,0.7168864064705238,0.7069983429420129,0.7119423747062683,355643,0.0,0.0
1980-04-29,0.0,0.7193584883859574,0.7020543193522107,0.7069984078407288,517949,0.0,0.0
1980-04-30,0.0,0.7094703316688538,0.6946381806733731,0.7094703316688538,102635,0.0,0.0
1980-05-01,0.0,0.7168862397496564,0.6921660304069519,0.6921660304069519,465438,0.0,0.0
1980-05-02,0.0,0.6971105532866242,0.6822783946990967,0.6822783946990967,887913,0.0,0.0
1980-05-05,0.0,0.6872222041547799,0.6526138670211152,0.6625019311904907,398606,0.0,0.0
1980-05-06,0.0,0.6723900516302914,0.6526138670211152,0.6625019311904907,88314,0.0,0.0
1980-05-07,0.0,0.6699177026748657,0.6674456315905831,0.6699177026748657,33416,0.0,0.0
1980-05-08,0.0,0.6723904013633729,0.6649742931085464,0.6723904013633728,38190,0.0,0.0
1980-05-09,0.0,0.6699178871932527,0.6600297689437866,0.6600297689437866,62058,0.0,0.0
1980-05-12,0.0,0.6674459903706023,0.6600299419425111,0.6649739742279053,202883,0.0,0.0
1980-05-13,0.0,0.6723900516302914,0.6625019311904907,0.6625019311904907,1613520,0.0,0.0
1980-05-14,0.0,0.6822784706758691,0.6526142064679261,0.6723904013633728,298358,0.0,0.0
1980-05-15,0.0,0.6748618483543396,0.6723898331153574,0.6748618483543396,221978,0.0,0.0
