Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,1.183066964149475,1.1691484043681521,1.183066964149475,111881,0.0,0.0
1980-03-18,0.0,1.2248214483261108,1.169147776673938,1.2248214483261108,88594,0.0,0.0
1980-03-19,0.0,1.2456996440887451,1.2248219416130273,1.2456996440887451,69356,0.0,0.0
1980-03-20,0.0,1.2665772681276466,1.2526588439941406,1.2526588439941406,36450,0.0,0.0
1980-03-21,0.0,1.2526582841521972,1.2248214483261108,1.2248214483261108,53663,0.0,0.0
1980-03-24,0.0,1.2317803663646152,1.190025120209217,1.1969845294952393,247556,0.0,0.0
1980-03-25,0.0,1.2039441230266583,1.1830665592906808,1.1900255680084229,21769,0.0,0.0
1980-03-26,0.0,1.2526588439941406,1.1830668577223329,1.2526588439941406,187819,0.0,0.0
1980-03-27,0.0,1.2317805900848016,1.196984746895686,1.2248214483261108,248569,0.0,0.0
1980-03-28,0.0,1.273536177874405,1.217862503369375,1.2665767669677734,174150,0.0,0.0
1980-03-31,0.0,1.2735365629196167,1.2456995828551094,1.2735365629196167,74419,0.0,0.0
1980-04-01,0.0,1.2804961204528809,1.2665775587301895,1.2804961204528809,43031,0.0,0.0
1980-04-02,0.0,1.2804954881739221,1.2526585128695444,1.2596179246902466,63281,0.0,0.0
1980-04-03,0.0,1.2804961204528809,1.2804961204528809,1.2804961204528809,28350,0.0,0.0
1980-04-07,0.0,1.273536681787982,1.2387405542563565,1.2526588439941406,90113,0.0,0.0
1980-04-08,0.0,1.2804957071389615,1.2596181400852176,1.2735365629196167,15694,0.0,0.0
1980-04-09,0.0,1.2804961204528809,1.2735369739872877,1.2804961204528809,115425,0.0,0.0
1980-04-10,0.0,1.2804961204528809,1.2735369739872877,1.2804961204528809,90619,0.0,0.0
1980-04-11,0.0,1.2665769118048318,1.2317807940623082,1.2387402057647705,135675,0.0,0.0
1980-04-14,0.0,1.238740437736845,1.1343520649610406,1.1482704877853394,41006,0.0,0.0
1980-04-15,0.0,1.1552292108535767,1.1482700691762806,1.1552292108535767,245025,0.0,0.0
1980-04-16,0.0,1.1552295602577711,1.1343519945157126,1.1413114070892334,91125,0.0,0.0
1980-04-17,0.0,1.1413118609434196,1.134352445602417,1.134352445602417,34931,0.0,0.0
1980-04-18,0.0,1.1482704164756519,1.1343519945157126,1.1413114070892334,24300,0.0,0.0
1980-04-21,0.0,1.1413114070892334,1.1273928507335933,1.1413114070892334,101250,0.0,0.0
1980-04-22,0.0,1.1552295602577711,1.1343519945157126,1.1413114070892334,245025,0.0,0.0
1980-04-23,0.0,1.134352002129105,1.1134743690490723,1.1134743690490723,144281,0.0,0.0
1980-04-24,0.0,1.1482702750501674,1.1134742244359375,1.1204335689544678,102769,0.0,0.0
1980-04-25,0.0,1.1343518548044755,1.1134742244359375,1.1204335689544678,95681,0.0,0.0
1980-04-28,0.0,1.1552300196466538,1.1204341525034287,1.134352445602417,173644,0.0,0.0
1980-04-29,0.0,1.16218900680542,1.14131144045305,1.16218900680542,349819,0.0,0.0
1980-04-30,0.0,1.1552296319996342,1.1273929207467457,1.1482704877853394,96188,0.0,0.0
1980-05-01,0.0,1.1482704545026081,1.1273928880691528,1.1273928880691528,68850,0.0,0.0
1980-05-02,0.0,1.1273928583002784,1.1134743690490723,1.1134743690490723,47588,0.0,0.0
1980-05-05,0.0,1.1273928880691528,1.1134743984504283,1.1273928880691528,59738,0.0,0.0
1980-05-06,0.0,1.134352445602417,1.1065156578108089,1.134352445602417,169594,0.0,0.0
1980-05-07,0.0,1.1413112665208478,1.1134742244359375,1.1204335689544678,91631,0.0,0.0
1980-05-08,0.0,1.1343520320817362,1.106515254437845,1.1273928880691528,144788,0.0,0.0
1980-05-09,0.0,1.1273928583002784,1.1134743690490723,1.1134743690490723,82519,0.0,0.0
1980-05-12,0.0,1.1204337144714516,1.1065152252202455,1.1134743690490723,12150,0.0,0.0
1980-05-13,0.0,1.1691482067108154,1.1134744473828522,1.1691482067108154,127575,0.0,0.0
1980-05-14,0.0,1.217862339274953,1.176107089022271,1.2109029293060303,124031,0.0,0.0
1980-05-15,0.0,1.2804961204528809,1.2248222767493733,1.2804961204528809,64294,0.0,0.0
1980-05-16,0.0,1.2804957071389615,1.2596181400852176,1.2735365629196167,52144,0.0,0.0
1980-05-19,0.0,1.2944146821755722,1.2735369739872877,1.2804961204528809,133144,0.0,0.0
1980-05-20,0.0,1.2944143763431994,1.2804958179090575,1.2874549627304077,160988,0.0,0.0
1980-05-21,0.0,1.2874549627304077,1.2735366730877076,1.2874549627304077,48094,0.0,0.0
1980-05-22,0.0,1.287455266918474,1.2665775587301895,1.2804961204528809,78469,0.0,0.0
1980-05-23,0.0,1.2874546312032518,1.2596179246902466,1.2596179246902466,20250,0.0,0.0
1980-05-27,0.0,1.2804961204528809,1.2804961204528809,1.2804961204528809,96694,0.0,0.0
1980-05-28,0.0,1.294414758682251,1.2804961961368997,1.294414758682251,17719,0.0,0.0
1980-05-29,0.0,1.3013736942454126,1.2804961204528809,1.2804961204528809,84038,0.0,0.0
1980-05-30,0.0,1.2735365629196167,1.2526587270744542,1.2735365629196167,57713,0.0,0.0
1980-06-02,0.0,1.2596179246902466,1.2596179246902466,1.2596179246902466,86063,0.0,0.0
1980-06-03,0.0,1.2874549627304077,1.2596182490492864,1.2874549627304077,89606,0.0,0.0
1980-06-04,0.0,1.2874548513583064,1.2735365629196167,1.2735365629196167,23288,0.0,0.0
1980-06-05,0.0,1.2944143763431994,1.2735366730877076,1.2874549627304077,49613,0.0,0.0
1980-06-06,0.0,1.2804957071389615,1.2526587270744542,1.2735365629196167,97706,0.0,0.0
1980-06-09,0.0,1.3292094469070435,1.2804950588477062,1.3292094469070435,86063,0.0,0.0
1980-06-10,0.0,1.3500874092255355,1.3152915608900082,1.3361691236495972,52650,0.0,0.0
