Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.05581219121813774,0.05581219121813774,0.05581219121813774,11391,0.0,0.0
1980-03-18,0.0,0.05348648215043025,0.05232361704111099,0.05232361704111099,28477,0.0,0.0
1980-03-19,0.0,0.05813738331198692,0.05348645785409254,0.05813738331198692,96820,0.0,0.0
1980-03-20,0.0,0.05697507783770561,0.05697507783770561,0.05697507783770561,17086,0.0,0.0
1980-03-21,0.0,0.05581219121813774,0.05581219121813774,0.05581219121813774,5695,0.0,0.0
1980-03-24,0.0,0.054649315949697866,0.053486451506614685,0.053486451506614685,45563,0.0,0.0
1980-03-25,0.0,0.0523235954861721,0.04999839514493942,0.04999839514493942,68344,0.0,0.0
1980-03-26,0.0,0.04883553832769394,0.04883553832769394,0.04883553832769394,5695,0.0,0.0
1980-03-27,0.0,0.04767268557390032,0.041858892887830734,0.041858892887830734,74039,0.0,0.0
1980-03-28,0.0,0.045347459614276886,0.044184595237260565,0.045347459614276886,130992,0.0,0.0
1980-03-31,0.0,0.046509820967912674,0.044184619838446765,0.046509820967912674,153773,0.0,0.0
1980-04-01,0.046509820967912674,0.046509820967912674,0.046509820967912674,0.046509820967912674,0,0.0,0.0
1980-04-02,0.0,0.04883553832769394,0.04883553832769394,0.04883553832769394,11391,0.0,0.0
1980-04-03,0.0,0.04883553832769394,0.0476726735113793,0.04883553832769394,34172,0.0,0.0
1980-04-07,0.04883553832769394,0.04883553832769394,0.04883553832769394,0.04883553832769394,0,0.0,0.0
1980-04-08,0.0,0.04767265170812607,0.04767265170812607,0.04767265170812607,5695,0.0,0.0
1980-04-09,0.0,0.04767265170812607,0.04767265170812607,0.04767265170812607,5695,0.0,0.0
1980-04-10,0.0,0.05116123706102371,0.04883550883303937,0.05116123706102371,68344,0.0,0.0
1980-04-11,0.0,0.05348648215043025,0.05232361704111099,0.05232361704111099,28477,0.0,0.0
1980-04-14,0.0,0.053486436369931604,0.05116123706102371,0.05116123706102371,56953,0.0,0.0
1980-04-15,0.0,0.0523235954861721,0.04999839514493942,0.04999839514493942,113906,0.0,0.0
1980-04-16,0.0,0.04767265170812607,0.04767265170812607,0.04767265170812607,5695,0.0,0.0
1980-04-17,0.0,0.04767268204523054,0.046509820967912674,0.046509820967912674,68344,0.0,0.0
1980-04-18,0.0,0.04883553832769394,0.04650981264222433,0.04883553832769394,56953,0.0,0.0
