Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1990-03-01,0.0,2.4375,1.96875,2.390625,17829600,0,0.0
1990-03-02,0.0,2.4375,2.25,2.25,2263200,0,0.0
1990-03-05,0.0,2.3125,2.21875,2.28125,741600,0,0.0
1990-03-06,0.0,2.34375,2.1875,2.234375,779200,0,0.0
1990-03-07,0.0,2.25,2.15625,2.15625,293600,0,0.0
1990-03-08,0.0,2.25,2.15625,2.21875,839200,0,0.0
1990-03-09,0.0,2.28125,2.15625,2.21875,360800,0,0.0
1990-03-12,0.0,2.21875,2.1875,2.1875,151200,0,0.0
1990-03-13,0.0,2.21875,2.15625,2.1875,204000,0,0.0
1990-03-14,0.0,2.1875,2.15625,2.171875,215200,0,0.0
1990-03-15,0.0,2.34375,2.15625,2.3125,880800,0,0.0
1990-03-16,0.0,2.40625,2.34375,2.34375,255200,0,0.0
1990-03-19,0.0,2.40625,2.34375,2.40625,146400,0,0.0
1990-03-20,0.0,2.40625,2.375,2.40625,69600,0,0.0
1990-03-21,0.0,2.40625,2.3125,2.34375,63200,0,0.0
1990-03-22,0.0,2.40625,2.25,2.25,182400,0,0.0
1990-03-23,0.0,2.3125,2.25,2.3125,12000,0,0.0
1990-03-26,2.34375,2.34375,2.28125,2.28125,18400,0,0.0
1990-03-27,2.296875,2.296875,2.21875,2.28125,141600,0,0.0
1990-03-28,2.1875,2.25,2.1875,2.21875,136800,0,0.0
1990-03-29,2.25,2.28125,2.21875,2.21875,164000,0,0.0
1990-03-30,2.21875,2.34375,2.21875,2.34375,453600,0,0.0
1990-04-02,2.28125,2.3125,2.25,2.3125,113600,0,0.0
1990-04-03,2.3125,2.3125,2.28125,2.28125,48800,0,0.0
1990-04-04,2.3125,2.3125,2.1875,2.1875,333600,0,0.0
1990-04-05,2.25,2.25,2.21875,2.25,15200,0,0.0
1990-04-06,2.1875,2.25,2.15625,2.1875,111200,0,0.0
1990-04-09,2.15625,2.1875,2.125,2.125,88800,0,0.0
1990-04-10,2.1875,2.1875,2.0625,2.125,356800,0,0.0
1990-04-11,2.15625,2.1875,2.125,2.171875,240000,0,0.0
1990-04-12,2.1875,2.21875,2.125,2.15625,120800,0,0.0
1990-04-16,2.21875,2.21875,2.125,2.125,84800,0,0.0
