Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-07-28,14.9375,21.125,14.75,19.5859375,18615200,0,0.0
2000-07-31,19.125,19.34375,15.75,17.5,2481800,0,0.0
2000-08-01,17.40625,20.0625,16.5,17.75,1216200,0,0.0
2000-08-02,16.8125,19.5,16.78125,19.0625,856400,0,0.0
2000-08-03,19.0625,23.875,18.5,22.125,1368000,0,0.0
2000-08-04,22.7421875,22.75,19.875,20.46875,1284200,0,0.0
2000-08-07,21.46875,24.125,19.5,21.125,565600,0,0.0
2000-08-08,21.09375,22.25,20.28125,20.4921875,329600,0,0.0
2000-08-09,20.84375,21.40625,20.0,21.40625,326800,0,0.0
2000-08-10,21.3125,23.625,20.75,22.5,657800,0,0.0
2000-08-11,22.46875,22.5,20.9375,20.9375,394800,0,0.0
2000-08-14,21.3125,21.375,19.8125,20.0,473400,0,0.0
2000-08-15,20.21875,20.5,19.5,20.0,307000,0,0.0
2000-08-16,21.03125,21.875,20.875,21.3125,554200,0,0.0
2000-08-17,21.1875,21.9375,20.9375,20.9375,487200,0,0.0
2000-08-18,20.9375,23.5,20.9375,22.0,164800,0,0.0
2000-08-21,22.0,23.875,22.0,22.59375,314400,0,0.0
2000-08-22,22.625,22.625,21.0625,21.0625,362600,0,0.0
2000-08-23,21.25,22.0,20.375,20.5625,332400,0,0.0
2000-08-24,20.625,20.9375,19.9375,20.0078125,214000,0,0.0
2000-08-25,20.03125,21.1875,20.03125,20.875,558400,0,0.0
2000-08-28,21.8125,21.875,20.375,20.8125,319200,0,0.0
2000-08-29,20.8125,21.25,20.6875,21.25,172400,0,0.0
2000-08-30,20.875,21.0,19.71875,20.0,842800,0,0.0
2000-08-31,19.9375,23.625,19.9375,22.375,890600,0,0.0
2000-09-01,23.0,23.5,21.75,23.3125,376200,0,0.0
2000-09-05,23.5625,23.71875,21.5,22.875,192000,0,0.0
2000-09-06,23.40625,23.40625,20.875,21.0,443000,0,0.0
2000-09-07,21.875,22.5,20.5625,22.5,324800,0,0.0
2000-09-08,22.5,22.5,21.1875,21.46875,353000,0,0.0
2000-09-11,21.5,22.0,20.1875,20.5625,601600,0,0.0
2000-09-12,20.625,20.8125,19.5,20.375,247800,0,0.0
2000-09-13,19.953125,20.5,17.5625,18.25,617400,0,0.0
2000-09-14,18.453125,18.8125,17.9375,18.5,275800,0,0.0
2000-09-15,18.5,19.0,18.25,18.875,232200,0,0.0
2000-09-18,17.75,18.5,16.09375,17.0,342000,0,0.0
2000-09-19,17.0,17.59375,16.5,16.65625,567200,0,0.0
2000-09-20,16.9375,17.59375,16.3125,17.0,483200,0,0.0
2000-09-21,17.71875,17.8125,17.4375,17.6875,72400,0,0.0
2000-09-22,17.03125,19.9375,17.03125,19.625,174400,0,0.0
2000-09-25,20.265625,20.4375,19.75,19.9375,534800,0,0.0
2000-09-26,20.0,20.0,19.5,19.90625,599200,0,0.0
2000-09-27,19.6875,21.375,19.6875,20.8125,148200,0,0.0
2000-09-28,20.375,21.9375,20.375,21.875,109800,0,0.0
2000-09-29,21.875,25.8125,21.5,22.6875,470000,0,0.0
2000-10-02,23.625,24.375,22.0,22.875,91600,0,0.0
2000-10-03,22.78125,23.15625,18.6875,20.0,161800,0,0.0
2000-10-04,19.8125,19.8125,17.625,18.0625,388000,0,0.0
2000-10-05,18.25,18.6875,17.75,17.8125,286200,0,0.0
2000-10-06,18.0,18.0,15.0,15.03125,543200,0,0.0
2000-10-09,16.0,16.46875,14.625,15.375,1147400,0,0.0
2000-10-10,15.445313453674316,16.375,15.125,16.25,689000,0,0.0
2000-10-11,16.0390625,16.75,15.75,16.0,149000,0,0.0
2000-10-12,16.25,16.375,15.5,16.125,310600,0,0.0
2000-10-13,16.0,17.5625,15.875,17.5625,56600,0,0.0
2000-10-16,18.0,20.0,17.65625,17.75,255600,0,0.0
2000-10-17,17.625,18.5625,17.5625,18.09375,228400,0,0.0
2000-10-18,17.25,17.75,16.5,17.375,92200,0,0.0
2000-10-19,17.84375,18.4375,16.25,17.3125,64400,0,0.0
2000-10-20,16.75,17.25,16.5,16.5,108000,0,0.0
2000-10-23,17.125,17.1875,16.0625,17.0,132200,0,0.0
2000-10-24,17.25,17.3125,16.625,17.0625,415200,0,0.0
2000-10-25,17.0625,19.0,16.40625,18.0,124200,0,0.0
2000-10-26,17.5625,19.4375,17.5625,19.375,502400,0,0.0
2000-10-27,20.0,20.1171875,18.25,18.25,463600,0,0.0
2000-10-30,18.25,18.25,15.5,16.25,160200,0,0.0
2000-10-31,16.25,16.5,15.9375,16.25,117000,0,0.0
2000-11-01,16.375,16.9375,16.0,16.78125,512400,0,0.0
2000-11-02,17.0,18.1875,16.6875,17.8125,337000,0,0.0
2000-11-03,17.125,18.625,17.125,18.25,119600,0,0.0
2000-11-06,19.0625,21.0,18.9375,20.3125,512200,0,0.0
2000-11-07,20.3671875,20.5,20.0,20.5,181200,0,0.0
2000-11-08,20.5625,20.5625,20.25,20.3125,46000,0,0.0
2000-11-09,20.3125,20.5,19.21875,19.4375,347000,0,0.0
2000-11-10,19.125,19.59375,19.0,19.0,159200,0,0.0
2000-11-13,19.0078125,19.0078125,16.125,18.5,170800,0,0.0
2000-11-14,18.6328125,18.9375,16.375,16.96875,81800,0,0.0
2000-11-15,16.75,17.0,15.75,15.875,226800,0,0.0
2000-11-16,16.25,16.25,12.6875,12.6875,524200,0,0.0
2000-11-17,12.757813453674316,13.4375,10.8125,11.4375,397400,0,0.0
2000-11-20,11.5,11.8125,10.6875,10.6875,415400,0,0.0
2000-11-21,10.6875,11.0625,10.65625,10.65625,2234000,0,0.0
2000-11-22,10.390625,10.8125,7.1875,8.0,474600,0,0.0
2000-11-24,8.0,10.3125,8.0,9.75,561400,0,0.0
2000-11-27,10.1875,10.1875,8.75,9.59375,646200,0,0.0
2000-11-28,9.5,9.6875,8.15625,8.875,408400,0,0.0
2000-11-29,8.875,9.3125,8.8125,9.03125,384000,0,0.0
2000-11-30,8.375,9.15625,7.53125,9.15625,208800,0,0.0
2000-12-01,9.5,10.0,9.3125,9.625,883000,0,0.0
2000-12-04,9.96875,10.09375,9.625,9.8125,146200,0,0.0
2000-12-05,10.5,12.5,10.1875,12.0625,412800,0,0.0
2000-12-06,12.0625,12.1875,11.4375,11.6875,199600,0,0.0
2000-12-07,11.375,12.125,11.125,11.625,463000,0,0.0
2000-12-08,11.75,11.875,10.34375,11.375,153400,0,0.0
2000-12-11,11.0,11.1875,10.5,10.5,120200,0,0.0
2000-12-12,10.28125,11.4375,10.25,10.9375,793800,0,0.0
2000-12-13,11.1875,12.0,11.125,11.28125,736800,0,0.0
2000-12-14,11.28125,11.28125,10.5,10.8125,110800,0,0.0
2000-12-15,11.679688453674316,11.6875,10.3125,11.5,96800,0,0.0
2000-12-18,11.390625,12.0625,11.375,11.8125,407800,0,0.0
2000-12-19,11.75,12.25,10.8125,10.875,459200,0,0.0
2000-12-20,10.25,10.25,8.5,8.9375,157400,0,0.0
2000-12-21,9.5,10.125,8.9375,9.0,539400,0,0.0
2000-12-22,9.648438453674316,10.875,9.1875,9.5,122400,0,0.0
2000-12-26,9.320313453674316,9.34375,8.875,8.9375,46400,0,0.0
2000-12-27,9.1875,9.3125,8.375,8.75,154600,0,0.0
2000-12-28,8.9375,9.0,8.25,8.5,183200,0,0.0
2000-12-29,8.5,8.5,7.6875,8.03125,470000,0,0.0
2001-01-02,8.0,8.25,7.5,7.625,145200,0,0.0
2001-01-03,7.617187976837158,7.625,5.875,6.90625,177800,0,0.0
2001-01-04,7.625,8.0,6.875,7.0625,632800,0,0.0
2001-01-05,7.0625,7.0625,5.75,5.96875,699000,0,0.0
2001-01-08,6.5,7.125,4.0625,4.4375,507600,0,0.0
2001-01-09,4.8125,5.03125,4.3125,4.3125,397200,0,0.0
2001-01-10,4.5625,5.25,4.3125,5.25,181600,0,0.0
2001-01-11,5.25,7.0625,5.25,6.6875,293600,0,0.0
2001-01-12,6.617187976837158,6.65625,6.1875,6.5,21400,0,0.0
