Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1991-04-02,22.0,23.25,20.75,21.125,2294100,0,0
1991-04-03,21.25,21.25,17.0,18.25,1716100,0,0
1991-04-04,18.25,19.5,17.75,18.0,810600,0,0
1991-04-05,18.5,18.5,17.75,17.75,238200,0,0
1991-04-08,18.0,18.0,17.5,17.625,200100,0,0
1991-04-09,18.0,18.0,16.0,16.0,319000,0,0
1991-04-10,16.0,16.25,15.5,15.875,582100,0,0
1991-04-11,16.0,16.5,14.75,14.75,319400,0,0
1991-04-12,14.75,16.5,14.75,16.25,329700,0,0
1991-04-15,16.5,16.75,16.0,16.125,171400,0,0
1991-04-16,16.375,16.375,16.0,16.125,130500,0,0
1991-04-17,16.375,16.375,15.25,15.25,187600,0,0
1991-04-18,15.5,15.5,14.5,15.25,320300,0,0
1991-04-19,15.25,15.25,14.625,14.875,68900,0,0
1991-04-22,14.875,14.875,14.125,14.125,79000,0,0
1991-04-23,14.125,14.75,14.125,14.25,335000,0,0
1991-04-24,14.625,14.75,14.375,14.75,90500,0,0
1991-04-25,14.375,14.75,14.375,14.5,115400,0,0
1991-04-26,14.5,14.5,14.0,14.375,122600,0,0
1991-04-29,14.375,14.375,12.375,12.5,183700,0,0
1991-04-30,13.0,13.0,12.0,12.625,330000,0,0
1991-05-01,12.75,13.875,12.5,13.5,237800,0,0
1991-05-02,14.0,14.125,13.25,13.5,153900,0,0
1991-05-03,13.25,13.625,13.0,13.375,65300,0,0
1991-05-06,13.375,13.625,12.75,13.625,163700,0,0
1991-05-07,13.875,14.125,13.375,13.375,146100,0,0
1991-05-08,14.0,14.125,13.25,13.25,162600,0,0
1991-05-09,13.625,13.625,13.25,13.625,25700,0,0
1991-05-10,13.25,13.625,12.75,12.75,125200,0,0
1991-05-13,13.0,13.0,11.375,11.5,137900,0,0
1991-05-14,11.75,12.125,11.5,11.875,173200,0,0
1991-05-15,12.125,12.125,10.25,10.75,186200,0,0
1991-05-16,10.75,11.5,10.375,11.25,230000,0,0
1991-05-17,11.625,12.125,11.125,11.75,75000,0,0
1991-05-20,11.75,11.875,11.0,11.375,83000,0,0
1991-05-21,11.375,12.25,11.25,12.25,139700,0,0
1991-05-22,11.875,12.375,11.625,12.125,184200,0,0
1991-05-23,12.5,12.75,11.875,11.875,135900,0,0
1991-05-24,11.875,12.25,11.875,12.25,14600,0,0
1991-05-28,12.25,12.25,11.875,12.0,16900,0,0
1991-05-29,12.0,12.75,12.0,12.625,245700,0,0
1991-05-30,12.875,13.25,12.125,12.25,253200,0,0
1991-05-31,12.5,12.5,12.125,12.25,85200,0,0
1991-06-03,12.5,12.5,11.5,11.75,102400,0,0
1991-06-04,12.0,12.125,11.625,12.125,59800,0,0
1991-06-05,12.125,12.125,11.875,11.875,48900,0,0
1991-06-06,11.875,12.125,11.875,11.875,13200,0,0
1991-06-07,12.125,12.125,11.5,11.625,32500,0,0
1991-06-10,11.5,11.875,11.125,11.625,69400,0,0
1991-06-11,11.625,11.625,11.125,11.625,26800,0,0
1991-06-12,11.5,11.5,10.75,11.0,113400,0,0
1991-06-13,11.0,11.0,10.25,10.375,59600,0,0
1991-06-14,10.75,11.0,10.375,11.0,152800,0,0
1991-06-17,10.875,11.25,10.875,10.875,20400,0,0
