Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1992-06-01,1.361274292974761,1.5490362644195557,1.361274292974761,1.5490362644195557,3012000,0.0,0.0
1992-06-02,1.549036300004418,1.595976793943946,1.5020958060648903,1.5725065469741821,1220800,0.0,0.0
1992-06-03,1.5959763037852752,1.8306787014007568,1.549035824262179,1.8306787014007568,1423200,0.0,0.0
1992-06-04,1.9245596604469495,1.9245596604469495,1.7837382218776605,1.8306787014007568,883200,0.0,0.0
1992-06-05,1.8306791492410608,1.8306791492410608,1.5959766942101556,1.7367981672286987,413600,0.0,0.0
1992-06-08,1.7367981672286987,1.7367981672286987,1.6429171852163367,1.7367981672286987,307200,0.0,0.0
1992-06-09,1.736798703670502,1.736798703670502,1.4551556706428528,1.502096176147461,175200,0.0,0.0
1992-06-10,1.5020955766950335,1.6429170370101929,1.5020955766950335,1.6429170370101929,70400,0.0,0.0
1992-06-11,1.6429170370101929,1.6429170370101929,1.5490360634667533,1.6429170370101929,120800,0.0,0.0
1992-06-12,1.6898576762225177,1.7367981672286987,1.6429171852163367,1.7367981672286987,151600,0.0,0.0
1992-06-15,1.7367975429484719,1.7837380170822144,1.6898570688147294,1.7837380170822144,238800,0.0,0.0
1992-06-16,1.7837386582348798,1.7837386582348798,1.666387430719427,1.7367981672286987,165200,0.0,0.0
1992-06-17,1.5959771871566775,1.6898581981658938,1.4551556706428528,1.502096176147461,322800,0.0,0.0
1992-06-18,1.5490359011150543,1.5959763829670255,1.4551549374111115,1.4786251783370972,112000,0.0,0.0
1992-06-19,1.5490364502458012,1.5959769487380981,1.5490364502458012,1.5959769487380981,26800,0.0,0.0
1992-06-22,1.5959771871566775,1.5959771871566775,1.4551556706428528,1.502096176147461,94800,0.0,0.0
1992-06-23,1.5959769487380981,1.5959769487380981,1.5490364502458012,1.5959769487380981,63200,0.0,0.0
1992-06-24,1.5959771871566775,1.5959771871566775,1.502096176147461,1.502096176147461,549600,0.0,0.0
1992-06-25,1.6429174472303951,1.6429174472303951,1.5490364502458012,1.5959769487380981,110800,0.0,0.0
1992-06-26,1.6429170370101929,1.6429170370101929,1.5490360634667533,1.6429170370101929,20000,0.0,0.0
1992-06-29,1.6429171852163367,1.7367981672286987,1.5959766942101556,1.7367981672286987,59600,0.0,0.0
1992-06-30,1.7367981672286987,1.7367981672286987,1.666387430719427,1.7367981672286987,26800,0.0,0.0
1992-07-01,1.7367981672286987,1.8306791492410608,1.6898576762225177,1.7367981672286987,644800,0.0,0.0
1992-07-02,1.8306792215867476,1.8306792215867476,1.4786255251277576,1.5490362644195557,1184400,0.0,0.0
1992-07-06,1.5959769487380981,1.5959769487380981,1.5020959517535042,1.5959769487380981,66400,0.0,0.0
1992-07-07,1.5959769910381685,1.5959769910381685,1.4551554918289182,1.4551554918289185,70000,0.0,0.0
1992-07-08,1.502096176147461,1.502096176147461,1.4082151651382446,1.502096176147461,523200,0.0,0.0
1992-07-09,1.5490362644195557,1.5490362644195557,1.502095771558357,1.5490362644195557,15600,0.0,0.0
1992-07-10,1.5490360634667533,1.6429170370101929,1.5490360634667533,1.6429170370101929,27200,0.0,0.0
1992-07-13,1.6429170370101929,1.6429170370101929,1.595976550238473,1.6429170370101929,42000,0.0,0.0
1992-07-14,1.595976550238473,1.6429170370101929,1.5490360634667533,1.6429170370101929,122000,0.0,0.0
1992-07-15,1.6429170370101929,1.783738497325352,1.595976550238473,1.6429170370101929,91200,0.0,0.0
1992-07-16,1.783738497325352,1.783738497325352,1.6429170370101929,1.6429170370101929,23600,0.0,0.0
1992-07-17,1.6429171852163367,1.7837386582348798,1.6429171852163367,1.7367981672286987,44000,0.0,0.0
1992-07-20,1.6898576762225177,1.7367981672286987,1.6429171852163367,1.7367981672286987,47200,0.0,0.0
1992-07-21,1.7837382218776605,1.8776191809238532,1.6898572628314679,1.8306787014007568,382800,0.0,0.0
1992-07-22,1.8306797146797182,1.8306797146797182,1.6898581981658938,1.6898581981658936,113200,0.0,0.0
1992-07-23,1.6429171931575721,1.7367981756237192,1.6429171931575721,1.6663874387741089,56400,0.0,0.0
1992-07-24,1.6898581981658938,1.6898581981658938,1.5959771871566775,1.6898581981658936,82000,0.0,0.0
1992-07-27,1.6898575237819125,1.7367980105536323,1.6429170370101929,1.6429170370101929,38800,0.0,0.0
1992-07-28,1.6898572628314679,1.8306787014007568,1.6898572628314679,1.8306787014007568,144000,0.0,0.0
1992-07-29,1.8306792497634887,1.924560236930847,1.7367982625961302,1.877619743347168,251200,0.0,0.0
1992-07-30,1.9245595932006838,1.9715000710836272,1.783738159551853,1.9245595932006836,152000,0.0,0.0
1992-07-31,1.9715000710836272,1.9715000710836272,1.8776191153177402,1.9245595932006836,216800,0.0,0.0
1992-08-03,1.9245604929469882,1.9715009927749636,1.877619993119013,1.9715009927749634,206400,0.0,0.0
1992-08-04,1.8776197433471677,1.9715007305145262,1.8776197433471677,1.877619743347168,29600,0.0,0.0
1992-08-05,1.8776197211686954,2.065381693285565,1.8776197211686954,2.0184412002563477,188000,0.0,0.0
1992-08-06,2.018441492602939,2.018441492602939,1.9715009927749636,1.9715009927749634,86000,0.0,0.0
1992-08-07,2.0184417668510886,2.065382273056928,1.92456075443941,1.994971513748169,72400,0.0,0.0
1992-08-10,2.0184412002563477,2.0184412002563477,2.0184412002563477,2.0184412002563477,10400,0.0,0.0
1992-08-11,2.018441492602939,2.0653819924309142,1.9245604929469882,1.9715009927749634,67600,0.0,0.0
1992-08-12,2.018440548966571,2.018440548966571,1.9245595932006838,1.9245595932006836,65200,0.0,0.0
1992-08-13,1.9245604929469882,1.9715009927749636,1.9245604929469882,1.9715009927749634,36400,0.0,0.0
1992-08-14,1.9715000710836272,1.9715000710836272,1.9245595932006838,1.9245595932006836,6400,0.0,0.0
1992-08-17,1.9715007072271302,2.0184412002563477,1.9245602141979128,2.0184412002563477,48400,0.0,0.0
1992-08-18,2.0184417366981506,2.065382242202759,1.9715012311935427,2.065382242202759,44800,0.0,0.0
1992-08-19,2.065382242202759,2.065382242202759,1.9715012311935427,2.065382242202759,198800,0.0,0.0
1992-08-20,2.1123221863147825,2.1123221863147825,2.0184412002563477,2.0184412002563477,78800,0.0,0.0
1992-08-21,2.0653819924309142,2.0653819924309142,1.877619993119013,1.9715009927749634,215600,0.0,0.0
1992-08-24,1.9245595932006838,1.9245595932006838,1.8776191153177402,1.9245595932006836,26400,0.0,0.0
1992-08-25,1.9245604929469882,1.9715009927749636,1.9010902430330006,1.9715009927749634,46800,0.0,0.0
1992-08-26,1.9715007305145262,1.9715007305145262,1.7837387561798095,1.877619743347168,207200,0.0,0.0
1992-08-27,1.9245604929469882,2.018441492602939,1.877619993119013,1.9715009927749634,242800,0.0,0.0
1992-08-28,2.0184413380093043,2.1123223304748535,1.9245603455437552,2.1123223304748535,282800,0.0,0.0
1992-08-31,2.1123223304748535,2.1592628267076277,2.065381834242079,2.1123223304748535,62800,0.0,0.0
1992-09-01,2.1123219313828843,2.1592624187469482,2.06538144401882,2.1592624187469482,192800,0.0,0.0
1992-09-02,2.1592628267076277,2.1592628267076277,2.065381834242079,2.1123223304748535,119200,0.0,0.0
1992-09-03,2.2062035252650576,2.347025026877721,2.112322524189949,2.2531440258026123,586800,0.0,0.0
1992-09-04,2.2531438240638146,2.440905809402466,2.2062033277291517,2.440905809402466,208800,0.0,0.0
1992-09-08,2.440905496185901,2.4878459864971685,2.3470245155633664,2.393965005874634,592400,0.0,0.0
1992-09-09,2.1123226404190065,2.347025156021118,2.1123226404190065,2.347025156021118,194000,0.0,0.0
1992-09-10,2.3000845263401666,2.3000845263401666,2.2062035252650576,2.2531440258026123,271200,0.0,0.0
1992-09-11,2.2531440258026123,2.3000845263401666,2.2531440258026123,2.2531440258026123,93200,0.0,0.0
1992-09-14,2.2531436219507337,2.3939650983226546,2.2531436219507337,2.300084114074707,172000,0.0,0.0
1992-09-15,2.347025156021118,2.440906162261963,2.2531441497802733,2.347025156021118,107600,0.0,0.0
1992-09-16,2.3000843203984775,2.67560829107578,2.3000843203984775,2.440905809402466,346000,0.0,0.0
1992-09-17,2.4409060044722124,2.5817275047302246,2.4409060044722124,2.5817275047302246,313600,0.0,0.0
1992-09-18,2.581726967119703,2.581726967119703,2.393965005874634,2.393965005874634,362000,0.0,0.0
1992-09-21,2.4878457387288413,2.5347862243652344,2.3939647674560547,2.5347862243652344,486400,0.0,0.0
1992-09-22,2.5347868020717916,2.5347868020717916,2.3939653130678034,2.440905809402466,216000,0.0,0.0
1992-09-23,2.4878466653823854,2.4878466653823854,2.3000846529006957,2.347025156021118,957600,0.0,0.0
1992-09-24,2.393964924858612,2.44090541358133,2.347024436135894,2.4174351692199707,179600,0.0,0.0
1992-09-25,2.440905496185901,2.440905496185901,2.300084025252099,2.393965005874634,196000,0.0,0.0
1992-09-28,2.2531437729344224,2.3470247634733568,2.2531437729344224,2.323554515838623,206000,0.0,0.0
1992-09-29,2.300084114074707,2.347024606198681,2.2531436219507337,2.300084114074707,124800,0.0,0.0
1992-09-30,2.300083713328585,2.300083713328585,2.1827325034648815,2.206202745437622,369200,0.0,0.0
1992-10-01,2.2062033229404023,2.253143819173177,2.065381834242079,2.1123223304748535,472800,0.0,0.0
1992-10-02,2.159263253211975,2.159263253211975,2.0184417366981506,2.065382242202759,407200,0.0,0.0
1992-10-05,2.1123221863147825,2.1123221863147825,1.830679228139478,2.0184412002563477,348400,0.0,0.0
1992-10-06,1.9245603455437552,2.1123223304748535,1.9245603455437552,2.1123223304748535,96800,0.0,0.0
1992-10-07,2.1123217775466596,2.206202745437622,2.0184408096556967,2.206202745437622,157600,0.0,0.0
1992-10-08,2.20620312982676,2.347024606198681,2.20620312982676,2.300084114074707,240000,0.0,0.0
1992-10-09,2.3000846529006957,2.3939656591415406,2.3000846529006957,2.347025156021118,87600,0.0,0.0
1992-10-12,2.3000846529006957,2.347025156021118,2.3000846529006957,2.347025156021118,31600,0.0,0.0
1992-10-13,2.300084114074707,2.3939650983226546,2.300084114074707,2.300084114074707,51200,0.0,0.0
1992-10-14,2.3939650983226546,2.3939650983226546,2.300084114074707,2.300084114074707,196800,0.0,0.0
1992-10-15,2.3939653130678034,2.4643760575697975,2.3470248167331405,2.440905809402466,95200,0.0,0.0
1992-10-16,2.4878463057371287,2.4878463057371287,2.3939653130678034,2.440905809402466,382400,0.0,0.0
1992-10-19,2.4878457387288413,2.5347862243652344,2.3939647674560547,2.5347862243652344,63600,0.0,0.0
1992-10-20,2.5347866292269723,2.5817271223608054,2.4409056429593066,2.4878461360931396,1140800,0.0,0.0
1992-10-21,2.6286685466766357,2.6286685466766357,2.4878470173903873,2.6286685466766357,90800,0.0,0.0
1992-10-22,2.5347870046442207,2.675608504902233,2.5347870046442207,2.5817275047302246,158000,0.0,0.0
1992-10-23,2.722549260672876,2.816430269661596,2.6756087561785162,2.7694897651672363,204800,0.0,0.0
1992-10-26,2.7694888993313436,2.7694888993313436,2.675607919692993,2.675607919692993,45200,0.0,0.0
1992-10-27,2.722549004988237,2.7694895050742407,2.5817275047302246,2.5817275047302246,225600,0.0,0.0
1992-10-28,2.5817269400546423,2.675607919692993,2.5817269400546423,2.675607919692993,489200,0.0,0.0
1992-10-29,2.675607919692993,2.8164293891505188,2.5817269400546423,2.675607919692993,227600,0.0,0.0
1992-10-30,2.816429376602173,2.816429376602173,2.6756079077720645,2.816429376602173,110800,0.0,0.0
1992-11-02,2.816430269661596,2.863370774155956,2.722549260672876,2.7694897651672363,118400,0.0,0.0
1992-11-03,2.8633694566529373,2.8633694566529373,2.722548007965088,2.722548007965088,220800,0.0,0.0
1992-11-04,2.7694884908610375,2.7694884908610375,2.675607525069138,2.722548007965088,224400,0.0,0.0
1992-11-05,2.6756073006060945,2.8164287374800994,2.6756073006060945,2.7929584980010986,168000,0.0,0.0
1992-11-06,2.816429376602173,2.816429376602173,2.7225483973821007,2.816429376602173,78000,0.0,0.0
1992-11-09,2.863370774155956,2.863370774155956,2.722549260672876,2.7694897651672363,124400,0.0,0.0
1992-11-10,2.7694892725668665,2.8633702648572688,2.7694892725668665,2.839900016784668,106400,0.0,0.0
1992-11-11,2.7694888993313436,2.8633698789696944,2.6286674298738175,2.675607919692993,343600,0.0,0.0
1992-11-12,2.722548007965088,2.816428973756987,2.628667042173188,2.722548007965088,2137200,0.0,0.0
1992-11-13,2.7694888993313436,2.7694888993313436,2.6286674298738175,2.675607919692993,46000,0.0,0.0
1992-11-16,2.722548007965088,2.722548007965088,2.628667042173188,2.722548007965088,54400,0.0,0.0
1992-11-17,2.7225495662008012,2.7225495662008012,2.6286685466766357,2.6286685466766357,24000,0.0,0.0
1992-11-18,2.6286682516841564,2.816430269661596,2.6286682516841564,2.7694897651672363,310400,0.0,0.0
1992-11-19,2.7694894844485867,2.9103109836578365,2.7225489847121698,2.910310983657837,200800,0.0,0.0
1992-11-20,2.8633688779977655,3.051130771636963,2.8633688779977655,3.051130771636963,209200,0.0,0.0
1992-11-23,3.0511324019993054,3.2388943959684933,2.9572514050147114,3.1919538974761963,400400,0.0,0.0
1992-11-24,3.238893985748291,3.3327749708424443,3.1450130006541377,3.238893985748291,228000,0.0,0.0
1992-11-25,3.2388926652761607,3.33277361209576,3.051130771636963,3.051130771636963,259600,0.0,0.0
1992-11-27,3.145013868808747,3.145013868808747,3.004192352294922,3.004192352294922,72400,0.0,0.0
1992-11-30,3.0511321449279785,3.0511321449279785,2.863370166778564,2.9337809085845947,724000,0.0,0.0
1992-12-01,3.0041908385261658,3.0041908385261658,2.910309874822223,2.9572503566741943,178800,0.0,0.0
1992-12-02,2.9103113412857056,3.0980733633041386,2.9103113412857056,3.004192352294922,1240800,0.0,0.0
1992-12-03,3.0980725399283475,3.0980725399283475,3.0041915538699127,3.0276618003845215,144400,0.0,0.0
1992-12-04,3.05113285779953,3.05113285779953,2.9103113412857056,3.004192352294922,260400,0.0,0.0
1992-12-07,2.957251030465831,3.238893985748291,2.957251030465831,3.238893985748291,1020000,0.0,0.0
1992-12-08,3.215423649465534,3.3327748775482178,3.191953403848997,3.3327748775482178,911600,0.0,0.0
1992-12-09,3.2858344782953677,3.2858344782953677,3.1919534932012144,3.238893985748291,895600,0.0,0.0
1992-12-10,3.238893985748291,3.238893985748291,3.1450130006541377,3.238893985748291,429200,0.0,0.0
1992-12-11,3.2388940818274197,3.2388940818274197,3.098072600008836,3.1450130939483643,344400,0.0,0.0
1992-12-14,3.2388940818274197,3.2388940818274197,3.098072600008836,3.1450130939483643,219600,0.0,0.0
1992-12-15,3.1450122840820796,3.1450122840820796,2.8633693929702515,2.9572503566741943,540800,0.0,0.0
1992-12-16,2.9572503566741943,2.9572503566741943,2.8633693929702515,2.9572503566741943,221600,0.0,0.0
1992-12-17,2.957251155853271,3.004191650390625,2.863370166778564,2.9337809085845947,998000,0.0,0.0
1992-12-18,3.0041902982271638,3.051130771636963,2.9103093514075646,3.051130771636963,346000,0.0,0.0
1992-12-21,2.957249824817364,3.051130771636963,2.957249824817364,3.051130771636963,217600,0.0,0.0
1992-12-22,3.0980712450467625,3.0980712450467625,2.957249824817364,3.051130771636963,96400,0.0,0.0
1992-12-23,3.05113285779953,3.05113285779953,2.9572518467903137,3.004192352294922,132400,0.0,0.0
1992-12-24,3.004192352294922,3.004192352294922,2.9572518467903137,3.004192352294922,38400,0.0,0.0
1992-12-28,3.004192352294922,3.004192352294922,2.9572518467903137,3.004192352294922,55200,0.0,0.0
1992-12-29,3.0980712450467625,3.145011718456562,3.051130771636963,3.051130771636963,222400,0.0,0.0
1992-12-30,3.1919534932012144,3.238893985748291,3.098072508107061,3.238893985748291,194000,0.0,0.0
1992-12-31,3.191954173094837,3.3797161832768867,3.191954173094837,3.309305429458618,168800,0.0,0.0
1993-01-04,3.2388939476013183,3.614417883555094,3.2388939476013183,3.5205368995666504,2780000,0.0,0.0
1993-01-05,3.567477391560872,3.614417883555094,3.473596407572428,3.5205368995666504,1222400,0.0,0.0
1993-01-06,3.520536842480512,3.520536842480512,3.3327748775482178,3.3327748775482178,446000,0.0,0.0
1993-01-07,3.4266559559365977,3.4266559559365977,3.238893985748291,3.238893985748291,204400,0.0,0.0
1993-01-08,3.3327745607921053,3.3327745607921053,3.191953100476946,3.2858340740203857,145600,0.0,0.0
1993-01-11,3.2858340740203857,3.379715047563825,3.191953100476946,3.2858340740203857,137600,0.0,0.0
1993-01-12,3.379715047563825,3.426655534335545,3.2858340740203857,3.2858340740203857,40800,0.0,0.0
1993-01-13,3.4266576766967773,3.4266576766967773,3.2858361283393758,3.4266576766967773,98400,0.0,0.0
