Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.12010930744218622,0.11793838890412225,0.1186622902750969,3527539,0.0,0.0
1980-03-18,0.0,0.1172147526630704,0.11576773699953999,0.11649125069379807,285466,0.0,0.0
1980-03-19,0.0,0.11432087289772501,0.11070292443037032,0.11070292443037033,149530,0.0,0.0
1980-03-20,0.0,0.11432080715894699,0.11070286077204801,0.11432080715894699,305856,0.0,0.0
1980-03-21,0.0,0.12083280086517333,0.11504432282899574,0.12083280086517334,190310,0.0,0.0
1980-03-24,0.0,0.11938574416320416,0.11504429578781128,0.11504429578781128,183514,0.0,0.0
1980-03-25,0.0,0.11432078678857048,0.11287377029657364,0.11287377029657364,163123,0.0,0.0
1980-03-26,0.0,0.11576785147190094,0.11432083437754616,0.11576785147190094,33984,0.0,0.0
1980-03-27,0.0,0.11432084492747857,0.10780886288952572,0.10925588011741638,618509,0.0,0.0
1980-03-28,0.0,0.11070292443037032,0.1099794215019088,0.11070292443037033,47578,0.0,0.0
1980-03-31,0.0,0.11215034066233788,0.109255906848446,0.11070292443037033,768038,0.0,0.0
1980-04-01,0.0,0.10997934528688989,0.10853231698274612,0.10853231698274612,95155,0.0,0.0
1980-04-02,0.0,0.11432080715894699,0.10997935825962772,0.11432080715894699,122342,0.0,0.0
1980-04-03,0.0,0.11576785147190094,0.11504433706222489,0.11576785147190094,203904,0.0,0.0
1980-04-07,0.0,0.11432087289772501,0.11070292443037032,0.11070292443037033,183514,0.0,0.0
1980-04-08,0.0,0.10997938364744186,0.10853235483857783,0.10997938364744186,190310,0.0,0.0
1980-04-09,0.0,0.10997938364744186,0.10853235483857783,0.10997938364744186,149530,0.0,0.0
1980-04-10,0.0,0.11504429578781128,0.11070284741241838,0.11504429578781128,421402,0.0,0.0
1980-04-11,0.0,0.1179383173584938,0.11359725676567156,0.1179383173584938,360230,0.0,0.0
1980-04-14,0.0,0.11938578699519814,0.11576785147190094,0.11576785147190094,1175846,0.0,0.0
1980-04-15,0.0,0.11432080715894699,0.11432080715894699,0.11432080715894699,6797,0.0,0.0
1980-04-16,0.0,0.11504429578781128,0.11359727921260226,0.11504429578781128,183514,0.0,0.0
1980-04-17,0.0,0.11504429578781128,0.11504429578781128,0.11504429578781128,20390,0.0,0.0
1980-04-18,0.0,0.11504429578781128,0.11504429578781128,0.11504429578781128,27187,0.0,0.0
1980-04-21,0.0,0.11504429578781128,0.11359727921260226,0.11504429578781128,135936,0.0,0.0
1980-04-22,0.0,0.11504431296966165,0.11142676512886238,0.11359729617834091,428198,0.0,0.0
1980-04-23,0.0,0.11504429578781128,0.11504429578781128,0.11504429578781128,448589,0.0,0.0
1980-04-24,0.0,0.11432078678857048,0.11287377029657364,0.11287377029657364,278669,0.0,0.0
1980-04-25,0.0,0.11432078678857048,0.11287377029657364,0.11287377029657364,13594,0.0,0.0
1980-04-28,0.0,0.11215028498135174,0.11070286946800494,0.11142677068710327,441792,0.0,0.0
1980-04-29,0.0,0.11432080715894699,0.1128737904091119,0.11432080715894699,54374,0.0,0.0
1980-04-30,0.0,0.11504429578781128,0.11504429578781128,0.11504429578781128,74765,0.0,0.0
1980-05-01,0.0,0.11504429578781128,0.11359727921260226,0.11504429578781128,67968,0.0,0.0
1980-05-02,0.0,0.11504430967136728,0.11359729292153219,0.11432080715894699,217498,0.0,0.0
1980-05-05,0.0,0.11721482872962953,0.11576781212705774,0.11721482872962952,367027,0.0,0.0
1980-05-06,0.0,0.12155625969171525,0.1179383259187326,0.12155625969171524,1243814,0.0,0.0
1980-05-07,0.0,0.1230032444000244,0.1208327147121065,0.12300324440002441,299059,0.0,0.0
1980-05-08,0.0,0.12372674933644906,0.12155621959840907,0.12227973341941833,863194,0.0,0.0
1980-05-09,0.0,0.12155625086887838,0.1179383173584938,0.1179383173584938,346637,0.0,0.0
1980-05-12,0.0,0.11866229027509691,0.11866229027509691,0.1186622902750969,27187,0.0,0.0
1980-05-13,0.0,0.12083269633390402,0.11649125069379805,0.11649125069379807,3228480,0.0,0.0
1980-05-14,0.0,0.12083280086517333,0.11938577222484693,0.12083280086517334,190310,0.0,0.0
1980-05-15,0.0,0.12083280086517333,0.12083280086517333,0.12083280086517334,135936,0.0,0.0
